gene_a,gene_b,weight
B2M,HLA-B,0.5254544615745544
KRT14,KRT17,0.49215587973594666
CLDN4,ELF3,0.46986815333366394
KRT14,KRT5,0.4650203287601471
MT-CO2,MT-CO3,0.45127391815185547
EPCAM,KRT7,0.43996739387512207
MT-CO3,MT-ND4,0.43567556142807007
COL6A1,COL6A2,0.40922337770462036
DENND4A,RNASEK,0.3910251557826996
CLDN4,MAL2,0.38590556383132935
KRT17,KRT5,0.3809134066104889
ADAM17,TIPARP,0.376077264547348
C1R,C1S,0.37568825483322144
EPCAM,KRT8,0.3679139018058777
MAPRE2,UTRN,0.35920119285583496
EPCAM,KRT18,0.3543115258216858
LHFPL6,SPARC,0.3376423418521881
CD24,KRT19,0.3364547789096832
COL1A1,COL1A2,0.330793172121048
KLHL20,TRPM7,0.3297443091869354
KRT7,KRT8,0.3261060118675232
LHFPL6,AEBP1,0.3248599171638489
GABPB1-AS1,SNRNP200,0.32340312004089355
CD74,HLA-DRA,0.317179799079895
ADAMTS4,LAMA4,0.3157978951931
LHFPL6,PLPP1,0.3138117790222168
ELF3,KRT7,0.3130815923213959
HLA-DRA,HLA-DRB1,0.3127375543117523
COL14A1,PCOLCE,0.310095876455307
CLDN4,CD24,0.30747488141059875
DENND4A,ZBTB1,0.30727383494377136
AZGP1,SLPI,0.30496224761009216
COL6A1,AEBP1,0.3026596009731293
CYB5D2,RRAGB,0.29864194989204407
KIN,RNF168,0.2976031005382538
CEP290,TSC2,0.29676252603530884
BAG3,KLF9,0.29288917779922485
COL6A1,C1S,0.2920169234275818
ELF3,MAL2,0.2886832654476166
ADAMTS4,COL18A1,0.28796783089637756
KRT17,KRT7,0.28661176562309265
CYB5D2,PDP1,0.2862573564052582
LAMA4,COL18A1,0.2861629128456116
IRF7,ISG15,0.28540804982185364
EPCAM,MAL2,0.2852576673030853
EAF1,PIKFYVE,0.28313159942626953
MT-CO2,MT-ND4,0.2809418737888336
TSC2,ANKRD49,0.2803150713443756
CKS2,PTTG1,0.2793315649032593
PLPP1,COL18A1,0.2784896790981293
KRT8,KRT18,0.2782100439071655
NDUFAF7,SNIP1,0.2780272364616394
ZBTB1,UHRF2,0.27689915895462036
C1R,AEBP1,0.2760692536830902
CALD1,MYL9,0.27589818835258484
KDM4C,ZBTB11,0.27561885118484497
COL18A1,DPYSL3,0.27138909697532654
KRT18,PERP,0.2711866497993469
CEP290,DCAF16,0.26992687582969666
ELF3,EPCAM,0.2634296715259552
SPARC,SPARCL1,0.26254501938819885
NAF1,PFKFB3,0.2624637186527252
DENND4A,WHAMM,0.26168569922447205
CDC42SE2,RNF166,0.2601079046726227
JADE1,TCF7,0.2601078152656555
KRT7,SFN,0.2597658336162567
BRD1,USP38,0.2595229744911194
C1S,COL1A2,0.25912097096443176
ATG14,PPP1R3E,0.2565964162349701
PCOLCE,FBN1,0.25561514496803284
MAL2,KRT19,0.253291517496109
GABPB1-AS1,GTF2B,0.2530384957790375
DDX19A,SACS,0.2529972195625305
LHFPL6,COL18A1,0.2502361536026001
COL1A2,PCOLCE,0.24868959188461304
ZBTB11,AP1G1,0.24806241691112518
KRT7,KRT18,0.24766242504119873
KRT7,DMKN,0.24554581940174103
COL6A2,AEBP1,0.2413073629140854
NFIA,NR2F2,0.24084149301052094
C1S,AEBP1,0.23891979455947876
COL1A2,FBN1,0.23819947242736816
PPP2R5C,SETD2,0.23717083036899567
SNRNP200,ZC3H8,0.23677389323711395
CLDN4,KRT19,0.23341190814971924
MYL9,TAGLN,0.23120839893817902
CEP290,MLH3,0.2305903434753418
NAF1,GTF2B,0.22834759950637817
C1S,COL14A1,0.2281768023967743
ELF3,KRT18,0.22763429582118988
HLA-DRB1,HLA-DPB1,0.2272694706916809
UBQLN2,VAMP4,0.2272440791130066
KRT14,KRT8,0.22542424499988556
SNRNP200,MRPL1,0.22542345523834229
HSP90AA1,HSPH1,0.22491063177585602
PCOLCE,CTSK,0.2215634286403656
NF1,TMEM245,0.218871608376503
DST,PALLD,0.21685685217380524
AMFR,ZBED5,0.21685628592967987
TCF7,AC005921.2,0.21650300920009613
TSC2,DCAF16,0.21426601707935333
