gene,weighted_degree,degree
KRT7,3.419452577829361,15
LHFPL6,3.20905664563179,17
ELF3,2.9480607137084007,14
EPCAM,2.864887975156307,13
C1S,2.756474144756794,14
CLDN4,2.6163225322961807,12
AEBP1,2.6157925128936768,14
C1R,2.6138617992401123,17
MYL9,2.440199963748455,14
MAL2,2.3633792102336884,11
COL1A2,2.3374284729361534,13
KRT8,2.325150191783905,11
KRT18,2.251412972807884,11
COL18A1,2.1549766063690186,11
GTF2B,2.0966103449463844,13
KRT17,2.0579042583703995,9
SPTY2D1,2.0325421392917633,13
SNRNP200,1.971941739320755,12
COL14A1,1.9430381879210472,12
KRT14,1.929057888686657,8
COL6A1,1.9166186302900314,9
MAP1B,1.8624977320432663,14
PCOLCE,1.8428442627191544,10
AP1G1,1.783835232257843,12
CTSK,1.682835392653942,11
COL6A2,1.678126759827137,9
ZBTB11,1.6174803152680397,10
GABPB1-AS1,1.599980190396309,10
CALD1,1.5572316274046898,10
FBN1,1.4931566417217255,9
KRT5,1.4353805556893349,6
VAMP4,1.4261147752404213,9
TRPM7,1.409861110150814,8
DENND4A,1.35117007791996,6
ADAMTS4,1.344648964703083,8
KRT19,1.326107531785965,7
PFKFB3,1.317180074751377,8
LAMA4,1.2952162325382233,7
DPYSL3,1.268851950764656,8
SPARC,1.261500395834446,7
RBMS3,1.2193939611315727,9
SFN,1.2122171521186829,8
COL1A1,1.204103671014309,8
CD24,1.169917732477188,6
ZBTB1,1.1546789705753326,7
UBQLN2,1.1000072658061981,7
USP38,1.0694633722305298,6
CYR61,1.0604919642210007,9
SOX9,1.0536101087927818,7
TPM1,1.0534962117671967,7
XPA,1.034265398979187,8
RAP2C,1.034252516925335,7
CEP95,1.029888965189457,7
TGFB1I1,1.0293212532997131,7
MIS12,1.0213787704706192,7
ANGPTL4,1.0141757652163506,7
NNMT,1.0128927901387215,6
CYB5D2,1.0100582167506218,5
MT-CO3,1.0051215961575508,3
PLPP1,1.0034953728318214,5
PERP,0.9947965666651726,6
S100A14,0.9903859719634056,7
PALLD,0.9875726476311684,6
CYBRD1,0.9853433221578598,7
CEP290,0.9842606335878372,4
IGFBP4,0.9841081947088242,7
RRAGB,0.9731249883770943,6
NAF1,0.972162090241909,6
TSC2,0.9650540053844452,4
CAVIN3,0.9503452852368355,7
MT-ND4,0.9501394703984261,4
RNASEK,0.9447025880217552,5
B2M,0.932370200753212,4
SLPI,0.9301488026976585,6
NFIA,0.9262355118989944,6
MT-CO2,0.9101026803255081,3
CSGALNACT2,0.9067800939083099,6
ZBED5,0.9052525609731674,6
OGT,0.901027001440525,6
CKS2,0.8902645856142044,5
ADAM17,0.884824588894844,5
S100A2,0.8649095892906189,5
ELF1,0.8404892906546593,6
NF1,0.8347575664520264,5
FBLN1,0.8246997967362404,6
TIPARP,0.8198873922228813,5
KDM4C,0.815852627158165,4
SERPINH1,0.8156876489520073,6
NR2F2,0.8027308508753777,5
JADE1,0.8000026643276215,4
CREBRF,0.7990192919969559,6
NDUFAF7,0.7951014935970306,5
PDP1,0.7930745705962181,4
ANKRD49,0.7927124351263046,4
INO80D,0.7918360978364944,6
DMKN,0.7865190505981445,5
VPS53,0.7804457396268845,5
KLHL20,0.7648837268352509,4
TPM2,0.7619754746556282,5
HLA-DRA,0.7557541131973267,3
AZGP1,0.7471452355384827,4
RANBP2,0.7358311042189598,5
ISG15,0.7290267795324326,4
MAFF,0.7238395661115646,6
SNIP1,0.719858817756176,4
ZC3H8,0.7160355895757675,5
TAGLN,0.7136256247758865,5
PHLDA3,0.7002052217721939,6
CLK4,0.7000400200486183,5
DCAF16,0.6843320429325104,3
CFH,0.6777835413813591,5
PIKFYVE,0.6749915257096291,4
KRT16,0.6686854064464569,5
PPP2R5C,0.668207436800003,4
TCF7,0.6664744764566422,3
AC005921.2,0.6476951986551285,4
HLA-DRB1,0.6444866880774498,3
RND3,0.6428571492433548,5
HLA-B,0.6308141499757767,2
PRPF39,0.6261794492602348,5
BGN,0.6182941719889641,5
MED17,0.6177474483847618,4
MMP14,0.5998089164495468,5
CCDC80,0.5918708816170692,4
CEMIP2,0.5811015665531158,4
COL16A1,0.5800042822957039,5
CDC42SE2,0.578869566321373,3
WFDC2,0.5738247931003571,5
CCDC84,0.5684476345777512,4
KLF9,0.5620055347681046,3
FEM1C,0.5608917772769928,4
MALT1,0.559117816388607,4
AMFR,0.5589194148778915,4
ZNF264,0.5553673952817917,5
ATG14,0.5319685637950897,3
MRPL1,0.5310821533203125,3
RIPK1,0.5263798981904984,4
EAF1,0.5193472728133202,3
RNF166,0.5178625732660294,3
SPARCL1,0.5105057582259178,3
BOD1L1,0.5104151144623756,4
ANP32E,0.5093212053179741,4
CTR9,0.5025004744529724,4
HLA-DPB1,0.5002056956291199,3
MGST1,0.49517709761857986,4
TMEM245,0.4897977337241173,3
CDK13,0.4873933792114258,4
LTBP1,0.4849805384874344,3
ZMYM2,0.4841776043176651,4
DDX19A,0.4791320711374283,3
WHAMM,0.4785299524664879,3
CPEB4,0.47656478732824326,3
ZFHX3,0.47001564502716064,4
MAPRE2,0.4665461555123329,2
CBLL1,0.4655211716890335,3
PIP4K2A,0.46504683047533035,3
TNFRSF12A,0.46070626378059387,4
HIVEP1,0.45278750360012054,3
DUSP1,0.45165613293647766,3
TTC39C,0.4387817308306694,3
IFI6,0.43788956105709076,3
FN1,0.4365045726299286,3
NXF1,0.4346999228000641,3
SDC4,0.4334918111562729,3
LACTB,0.43291454017162323,3
PCNA,0.42908839881420135,3
NFAT5,0.42630454897880554,3
ERRFI1,0.4250279664993286,3
TGFBR2,0.42453424632549286,3
CD74,0.4216594621539116,2
SMC4,0.4215575382113457,3
