gene_a,gene_b,weight
MT-ATP6,MT-ND4,0.2753879129886627
MYL9,TAGLN,0.2735406458377838
MT-CO2,MT-CO3,0.263727068901062
TAGLN,CALD1,0.26078325510025024
DNAJB1,HSPA1A,0.2596176266670227
KRT18,KRT19,0.2527998089790344
KRT18,KRT8,0.24634422361850739
HSPA1A,HSPA1B,0.24140490591526031
MT-ATP6,MT-ND3,0.24139918386936188
ELF3,FXYD3,0.22866190969944
ELF3,TACSTD2,0.22256720066070557
KRT19,KRT8,0.20988287031650543
ERBIN,REV1,0.2082074135541916
ELF3,CLDN4,0.19948869943618774
JUNB,ZFP36,0.1952410340309143
CD74,HLA-DRA,0.19420874118804932
MT-CO3,MT-CO1,0.1754516214132309
FXYD3,TACSTD2,0.1654718518257141
MT-ND4,MT-CO3,0.150832399725914
DNAJB1,HSPA1B,0.1443891078233719
MT-ND4,MT-CO1,0.14311571419239044
FOS,JUN,0.14222271740436554
ANKRD10,ARMCX3,0.14133219420909882
KRT8,GATA3,0.13958360254764557
MT-CO2,MT-CO1,0.13896946609020233
TACSTD2,CLDN4,0.13828045129776
MYL9,CALD1,0.1356826275587082
KRT8,KRT7,0.1354496031999588
ELF3,CLDN3,0.13037031888961792
FXYD3,CLDN4,0.1296500861644745
ATP13A3,RAB21,0.12749788165092468
KRT19,CD24,0.1253078132867813
KRT19,AZGP1,0.12384866178035736
FXYD3,AZGP1,0.12220167368650436
MT-ATP6,MT-CO3,0.12055574357509613
KRT8,FXYD3,0.11748585850000381
MT-ND4,MT-CO2,0.11537516117095947
HLA-DRA,HLA-DPB1,0.11186053603887558
TACSTD2,KRT7,0.10820861160755157
ERBIN,EP300,0.1076887845993042
ADAM17,IAH1,0.10454399883747101
FXYD3,KRT7,0.10353540629148483
BMPR2,HIP1,0.10233184695243835
