gene,weighted_degree,degree
FXYD3,0.8670067861676216,6
KRT8,0.848746158182621,5
ELF3,0.7810881286859512,4
KRT19,0.7118391543626785,4
MT-CO3,0.710566833615303,4
MT-ND4,0.6847111880779266,4
MT-ATP6,0.6373428404331207,3
TACSTD2,0.6345281153917313,4
TAGLN,0.5343239009380341,2
MT-CO2,0.5180716961622238,3
HSPA1A,0.501022532582283,2
KRT18,0.4991440325975418,2
CLDN4,0.46741923689842224,3
MT-CO1,0.45753680169582367,3
MYL9,0.409223273396492,2
DNAJB1,0.4040067344903946,2
CALD1,0.39646588265895844,2
HSPA1B,0.3857940137386322,2
KRT7,0.3471936210989952,3
ERBIN,0.3158961981534958,2
HLA-DRA,0.3060692772269249,2
AZGP1,0.24605033546686172,2
MT-ND3,0.24139918386936188,1
REV1,0.2082074135541916,1
ZFP36,0.1952410340309143,1
JUNB,0.1952410340309143,1
CD74,0.19420874118804932,1
FOS,0.14222271740436554,1
JUN,0.14222271740436554,1
ARMCX3,0.14133219420909882,1
ANKRD10,0.14133219420909882,1
GATA3,0.13958360254764557,1
CLDN3,0.13037031888961792,1
ATP13A3,0.12749788165092468,1
RAB21,0.12749788165092468,1
CD24,0.1253078132867813,1
HLA-DPB1,0.11186053603887558,1
EP300,0.1076887845993042,1
ADAM17,0.10454399883747101,1
IAH1,0.10454399883747101,1
BMPR2,0.10233184695243835,1
HIP1,0.10233184695243835,1
