gene_a,gene_b,weight
DCN,LUM,0.6468669176101685
COL4A1,COL4A2,0.5351417660713196
MT-CO1,MT-CO3,0.5060373544692993
MT-ATP6,MT-ND3,0.4914504587650299
HSPA1A,HSPA1B,0.42297542095184326
S100A8,S100A9,0.4059634804725647
ACTA2,TPM2,0.3561490774154663
CD24,KRT19,0.3552112281322479
LUM,COL6A3,0.3547881543636322
KRT18,KRT8,0.35343217849731445
DCN,COL6A3,0.3492499589920044
EP300,POLK,0.32147061824798584
FN1,TIMP2,0.3200004994869232
CD74,HLA-DRB1,0.31703734397888184
KRT8,TACSTD2,0.31131309270858765
HLA-DRB1,HLA-DRA,0.30789974331855774
KRT8,S100A14,0.29554483294487
HLA-DRB1,HLA-DPA1,0.29514220356941223
CD24,KRT8,0.29393717646598816
GEM,SERPINF1,0.2871047854423523
MT-CO3,MT-ATP6,0.2843829393386841
CD74,HLA-DRA,0.2753782868385315
KRT8,ELF3,0.26762381196022034
S100A14,CLDN4,0.26759663224220276
TACSTD2,KRT7,0.26441195607185364
CD24,CLDN4,0.2642523944377899
MT-CO3,MT-ND1,0.26292288303375244
CYTOR,MIR4435-2HG,0.26249516010284424
ELF3,FXYD3,0.2596333622932434
HLA-DRA,HLA-DQA1,0.2566005289554596
MYL9,TAGLN,0.25184932351112366
KRT8,KRT7,0.25029098987579346
ELF3,CLDN4,0.2500516474246979
HLA-DPA1,HLA-DPB1,0.24920417368412018
HLA-DRA,HLA-DPA1,0.24853280186653137
PODXL,TM4SF18,0.24312463402748108
ACTA2,TAGLN,0.23903723061084747
CD24,KRT18,0.23404060304164886
GIGYF1,MYSM1,0.23132461309432983
S100A14,FXYD3,0.23102787137031555
TIMP2,MMP2,0.22750955820083618
KRT8,CLDN4,0.22666671872138977
HLA-DPA1,HLA-DQA1,0.2260282039642334
SPARC,SPARCL1,0.22472849488258362
CD74,HLA-DQB1,0.2232132852077484
KRT8,FXYD3,0.22025619447231293
C1R,C1S,0.2160913199186325
FMNL3,SLC2A3,0.21578678488731384
