gene,weighted_degree,degree
KRT8,2.8140137791633606,12
CD24,2.211284041404724,10
ELF3,1.9758683443069458,10
FXYD3,1.9144594967365265,11
DCN,1.885755605995655,8
KRT18,1.8417158648371696,9
CLDN4,1.7104478478431702,9
TACSTD2,1.686335414648056,10
HLA-DRA,1.6003834754228592,7
LUM,1.5515895709395409,6
S100A14,1.55111525952816,8
HLA-DRB1,1.494353711605072,6
CD74,1.37076798081398,7
COL4A1,1.3618495762348175,7
KRT19,1.3380165249109268,8
HLA-DPA1,1.3352364599704742,6
CLDN3,1.3308087065815926,8
HLA-DQA1,1.2055507749319077,7
MT-CO3,1.1701875776052475,4
SPARC,1.159894198179245,8
SLC2A3,1.1542608067393303,8
HLA-DQB1,1.0360054820775986,6
BGN,1.0027537867426872,9
TAGLN,0.9830802232027054,5
COL6A3,0.9759698882699013,4
C1S,0.9169467836618423,6
MT-ATP6,0.8968186303973198,3
TIMP2,0.8965511173009872,5
FMNL3,0.8905324786901474,6
COL4A2,0.8882462233304977,4
HLA-DPB1,0.8742199167609215,5
KRT7,0.8630408570170403,5
MMP2,0.8540820926427841,6
WIPF1,0.7838275879621506,6
LHFPL6,0.7194064855575562,6
RARRES2,0.7109906375408173,5
SERPINF1,0.7027660310268402,4
ACTA2,0.7020861655473709,3
POLK,0.6937855556607246,4
CRISPLD2,0.6904197707772255,5
TPM2,0.6841248720884323,3
PODXL,0.6510796993970871,4
TIMP3,0.618394024670124,5
FN1,0.6167966723442078,3
MT-CO1,0.61163280159235,2
MT-ND3,0.6082948595285416,2
VCAN,0.5742743611335754,4
ZEB1,0.5742667987942696,4
HSPA1B,0.5617031455039978,2
TM4SF18,0.5444230288267136,3
CCDC80,0.5399588048458099,4
SH3KBP1,0.5321879461407661,4
ARHGAP29,0.5301737114787102,4
HLA-DMA,0.5106434300541878,4
EP300,0.5034412145614624,2
TGFB1,0.49955135583877563,4
MT-ND1,0.48950356245040894,3
COL18A1,0.4853093847632408,4
MYL9,0.4832470715045929,3
DOCK9,0.48317664861679077,3
