gene_a,gene_b,weight
MT-CO1,MT-CO3,0.6375714540481567
CLDN7,KRT23,0.6155455708503723
KRT7,S100A14,0.5666093826293945
KRT14,KRT5,0.5439285039901733
KRT7,TACSTD2,0.5230410695075989
KRT5,KRT17,0.5041875243186951
ECSCR,F2RL3,0.49995115399360657
KRT17,SFN,0.4979584515094757
IRF6,LAMB3,0.4950575530529022
AKR1C1,AKR1C2,0.4815155267715454
CLDN7,CLDN4,0.4744873642921448
KRT7,SFN,0.47329312562942505
PECAM1,VWF,0.470598429441452
F2RL3,CLDN5,0.4676871597766876
MT-CO3,MT-CO2,0.466467022895813
COL4A1,COL4A2,0.4608260989189148
SASH1,TCF4,0.4564073383808136
ENPEP,PDGFRB,0.4505937099456787
IRF6,KRT16,0.4467439651489258
KRT14,KRT17,0.4431455433368683
CD24,KRT19,0.43996918201446533
PPP1R15B,SLC20A1,0.43842417001724243
ECSCR,MYCT1,0.43579861521720886
DCN,LUM,0.43478500843048096
CLDN7,S100A14,0.4335418939590454
DCN,SERPINF1,0.42029979825019836
SFN,IRF6,0.41783756017684937
MYCT1,PTPRB,0.4075206518173218
TCF4,LRRC32,0.40459081530570984
ADAM17,TRPM7,0.40384310483932495
MT-CO3,MT-ND4,0.4019996225833893
C3,LGALS3BP,0.4007888436317444
HELZ,ZRANB1,0.3980921804904938
ENPEP,AGTR1,0.3973146080970764
CLDN4,ELF3,0.3940993845462799
KRT17,KRT6B,0.38655775785446167
CLDN4,MMP7,0.38079679012298584
CLDN7,ELF3,0.3751301169395447
F2RL3,PCAT19,0.3750423192977905
MYCT1,KDR,0.37333694100379944
C1R,C1S,0.37278133630752563
VWF,PTPRB,0.37178128957748413
KRT23,CLDN4,0.369323194026947
ADAMTS9,PNP,0.3688773512840271
CLDN7,MAL2,0.3671256899833679
S100A14,TACSTD2,0.36553794145584106
MT-CO1,MT-CO2,0.36518949270248413
IRF6,ITGB6,0.3628496825695038
CD24,ALDH1A3,0.36272764205932617
DNAJB1,HSPA1A,0.36236754059791565
IRF6,KRT6B,0.3598010838031769
ECSCR,S1PR1,0.3574396073818207
DYRK3,LHFPL6,0.35672712326049805
KRT5,KRT6B,0.3562076687812805
PECAM1,PTPRB,0.35599902272224426
S100A14,PRSS22,0.35559871792793274
MT-CO1,MT-ND4,0.35544508695602417
INO80D,SAMD4A,0.3533773720264435
SFN,PRSS22,0.35301321744918823
ACTN1,SDC4,0.35229364037513733
ECSCR,VWF,0.351460337638855
LAMB3,ITGB6,0.35075345635414124
ECSCR,PTPRB,0.3502923250198364
ECSCR,CLDN5,0.34950411319732666
ACKR1,PLVAP,0.34880557656288147
PDGFRB,MMP19,0.3484232723712921
S100A14,ELF3,0.348215252161026
CLDN7,TACSTD2,0.34608688950538635
VWF,MYCT1,0.3457159996032715
ANGPTL2,DLC1,0.3454119861125946
APOD,DPT,0.3449949324131012
SFN,KRT6B,0.34442630410194397
CD36,ESAM,0.34394073486328125
KRT23,S100A14,0.3416184186935425
KRT7,PRSS22,0.33947595953941345
S100A14,STC2,0.3392433524131775
KRT16,KRT8,0.3382023572921753
KLF5,SOX9,0.33809149265289307
HSPA1A,HSPA1B,0.33713117241859436
CYP1A1,HLA-DRB1,0.335992693901062
LUM,DPT,0.3359001576900482
PTPRB,RHOJ,0.3356204330921173
CNRIP1,PPARG,0.3354094624519348
CXCL2,CXCL3,0.3352784514427185
PTPRB,C2CD4B,0.33509519696235657
ITGB6,KRT8,0.3318784534931183
