gene,weighted_degree,degree
KRT7,7.683277428150177,32
MYCT1,7.320986866950989,35
PTPRB,7.224583834409714,35
ECSCR,7.045239306986332,30
S100A14,7.024728208780289,29
CLDN7,6.822206534445286,29
IRF6,6.749440126121044,29
VWF,6.406510315835476,31
SFN,6.375139385461807,29
F2RL3,6.291558645665646,28
TACSTD2,6.103382281959057,26
CALCRL,5.942486874759197,33
RHOJ,5.798803269863129,30
PECAM1,5.76975504308939,29
TCF4,5.67851810157299,33
KRT8,5.483824640512466,28
PDGFRB,5.152347177267075,29
ITGB6,5.149447709321976,29
CLDN5,5.0646474957466125,26
LAMB3,5.011201597750187,27
KRT6B,4.922859214246273,21
KRT16,4.891177900135517,27
S1PR1,4.843938626348972,27
KRT23,4.725304424762726,22
PRSS22,4.716159112751484,24
PPARG,4.681355573236942,27
PCAT19,4.586291007697582,26
CCRL2,4.539400197565556,30
KDR,4.385493986308575,22
ELF3,4.344877064228058,22
LRRC32,4.33781498670578,26
KRT17,4.316251486539841,17
ANGPT2,4.2131365314126015,24
CNRIP1,4.180554211139679,22
C2CD4B,4.137885443866253,26
CD36,4.053438805043697,23
CLDN4,4.045576512813568,19
ESAM,4.034590378403664,24
TPM1,3.8306832015514374,22
MMP19,3.7650405764579773,24
ENPEP,3.7111933901906013,20
KRT19,3.6679893136024475,18
MAL2,3.4894288033246994,19
ADGRL4,3.480319991707802,23
PLEKHG1,3.3195639327168465,20
DPT,3.3133051320910454,18
STC2,3.209558740258217,19
ITGA3,3.182466708123684,20
CTSL,3.1347606480121613,21
S100A2,3.094496861100197,18
TSHZ1,3.0899991914629936,19
APOD,3.065605007112026,19
PLIN2,3.01674997061491,21
ANXA3,2.970256023108959,18
PLXNA2,2.908787079155445,20
SASH1,2.900102563202381,18
BAG3,2.89882243424654,19
BGN,2.8849227130413055,20
EBF1,2.8689580783247948,19
WFDC2,2.837231867015362,19
ENG,2.8004356399178505,20
CCNL1,2.788602441549301,17
NID1,2.7855203449726105,19
KRT5,2.7801678255200386,11
RPGR,2.7593027874827385,19
SAA1,2.713460899889469,16
SDC4,2.69954252243042,17
LHFPL6,2.6938773915171623,17
SRPX,2.6931907385587692,18
DCN,2.668651945888996,13
MEDAG,2.6654758229851723,17
ADAMTS4,2.596345938742161,18
LUM,2.5916531831026077,13
IGFBP7,2.556428238749504,17
HELZ,2.5314370170235634,14
AGTR1,2.5257257893681526,15
IRX2,2.487650014460087,16
COL6A3,2.4873272329568863,16
TM4SF18,2.4493782743811607,16
MMP2,2.4298874139785767,18
EDNRB,2.416830874979496,15
DENND4A,2.4134822860360146,14
HEXIM1,2.3426599130034447,16
MCTP1,2.3416320830583572,15
DNAJB1,2.319624349474907,13
SFRP1,2.3170429691672325,14
TIMP3,2.31211207062006,17
SOX17,2.3006010353565216,14
VASN,2.3003420904278755,16
SOX9,2.2944400683045387,14
SOX7,2.2378751784563065,14
ACKR1,2.2337443605065346,13
MYLIP,2.2303903996944427,15
RAPGEF5,2.2047107592225075,16
FABP4,2.1929166465997696,14
PALLD,2.190872400999069,12
CRISPLD2,2.1856569349765778,14
LAMC2,2.18410387635231,16
HSPA2,2.1771407797932625,15
PLVAP,2.172083616256714,13
ZRANB1,2.1630532443523407,11
MMP7,2.154585026204586,11
C1S,2.148202605545521,13
ANGPTL2,2.1390158012509346,14
NUAK1,2.088253915309906,16
PRRX1,2.0827713012695312,15
DYRK3,2.0801143646240234,13
CD24,2.080011062324047,10
