gene_a,gene_b,weight
KRT14,KRT5,0.5016916394233704
KRT14,KRT17,0.4753914177417755
CLDN4,ELF3,0.4506235122680664
MT-CO2,MT-CO3,0.4300820529460907
KRT5,KRT17,0.42786332964897156
C1R,C1S,0.4063994884490967
MT-CO3,MT-ND4,0.38875433802604675
KRT7,KRT8,0.3799187242984772
CD24,KRT19,0.3610883057117462
KRT7,SFN,0.330895334482193
CLDN4,CD24,0.3175548315048218
CD74,HLA-DRA,0.29485398530960083
KRT17,SFN,0.28206107020378113
KRT8,KRT18,0.27995216846466064
ADAMTS4,LAMA4,0.2787535488605499
KRT7,S100A14,0.2757358253002167
KRT17,KRT7,0.2732752561569214
ELF3,KRT7,0.2730964720249176
MT-CO2,MT-ND4,0.26348695158958435
HLA-DRA,HLA-DRB1,0.2594265043735504
CLDN4,MAL2,0.25553837418556213
HSPA1A,HSPA1B,0.25267505645751953
MYL9,TAGLN,0.24399499595165253
AZGP1,SLPI,0.23866845667362213
CLDN4,KRT19,0.23847663402557373
DENND4A,ZBTB1,0.23007042706012726
HSP90AA1,HSPH1,0.2299579381942749
ELF3,KRT19,0.2284175157546997
ELF3,KRT8,0.21972250938415527
PALLD,TPM1,0.21656085550785065
SPARC,SPARCL1,0.21516485512256622
KRT5,S100A2,0.21488741040229797
ELF3,S100A14,0.21159523725509644
KRT8,KRT16,0.21101397275924683
SPARC,LHFPL6,0.2102607786655426
COL6A1,COL6A2,0.20987209677696228
KRT19,MAL2,0.20429493486881256
ELF3,MAL2,0.20028521120548248
LAMA4,COL18A1,0.19536013901233673
SFN,S100A2,0.19524352252483368
ELF3,KRT18,0.19471777975559235
LAMA4,IGFBP7,0.1879039704799652
SFRP1,SOX9,0.18493826687335968
SH3PXD2A,TPM2,0.18252339959144592
KRT17,S100A2,0.18174070119857788
MYL9,CALD1,0.18163537979125977
MAL2,AZGP1,0.17862389981746674
ELF3,WFDC2,0.176502525806427
KRT7,KRT18,0.1761954128742218
C1R,AEBP1,0.17469646036624908
CREBRF,SLC38A2,0.17455671727657318
IRF7,ISG15,0.1732485145330429
TPM1,CALD1,0.17159153521060944
LHFPL6,AEBP1,0.17070463299751282
KRT5,SFN,0.16916221380233765
KRT14,S100A2,0.16760598123073578
S100A14,WFDC2,0.16643451154232025
TAGLN,TPM2,0.16365139186382294
CLDN4,KRT7,0.16258604824543
SFN,TACSTD2,0.1622491478919983
SERPINF1,SERPING1,0.16117897629737854
CD24,SLPI,0.16031919419765472
KRT8,S100A14,0.15675154328346252
KRT7,WFDC2,0.1517682820558548
CDC42SE2,EPB41,0.15144960582256317
CD24,KRT18,0.15130457282066345
BAG3,KLF9,0.1504044234752655
LHFPL6,RBMS3,0.14951302111148834
SFN,S100A14,0.14951176941394806
KRT14,SFN,0.14934073388576508
ELF3,CD24,0.14853885769844055
KRT19,AZGP1,0.14731228351593018
HLA-DRB1,HLA-DPB1,0.14655902981758118
