gene,weighted_degree,degree
KRT7,2.859423078596592,15
ELF3,2.441114492714405,12
CLDN4,2.095841482281685,10
KRT8,1.9881362468004227,11
KRT17,1.901282474398613,7
MAL2,1.5888026058673859,10
KRT5,1.5562531799077988,6
SFN,1.5546894446015358,8
S100A14,1.4373067393898964,9
KRT19,1.4134139642119408,7
KRT14,1.3985354900360107,5
CD24,1.3841920271515846,7
KRT18,1.1882832944393158,7
S100A2,0.9948629215359688,6
LAMA4,0.8742669969797134,5
KRT16,0.8291628733277321,6
MT-CO3,0.8188363909721375,2
AZGP1,0.7921481505036354,5
MT-ND4,0.7674258053302765,3
WFDC2,0.7181518226861954,5
MT-CO2,0.693569004535675,2
C1R,0.6864046305418015,3
HLA-DRB1,0.6600964590907097,4
C1S,0.6545211598277092,3
LHFPL6,0.6508265808224678,4
SLPI,0.6315426602959633,4
CALD1,0.609975777566433,4
COL18A1,0.5926502123475075,4
HLA-DRA,0.5542804896831512,2
MYL9,0.5499278008937836,3
TAGLN,0.5460042357444763,3
TACSTD2,0.5446701943874359,4
SOX9,0.5398783311247826,4
ADAMTS4,0.5356092303991318,3
TPM1,0.5087066292762756,3
AEBP1,0.48587192595005035,3
TPM2,0.47047221660614014,3
PALLD,0.4702758714556694,3
SDC4,0.4683401957154274,4
CD74,0.43359969556331635,2
SPARC,0.4254256337881088,2
ZBTB1,0.36225496232509613,2
HSPA1A,0.35995079576969147,2
MGST1,0.3468106612563133,3
SPARCL1,0.3222033753991127,2
COL6A1,0.31752293556928635,2
IGFBP7,0.31363363564014435,2
SERPING1,0.29516826570034027,2
CREBRF,0.27980825304985046,2
CCDC80,0.2734264135360718,2
CYBRD1,0.25473498553037643,2
HSPA1B,0.25267505645751953,1
DPYSL3,0.25237491726875305,2
HLA-DPB1,0.2522599995136261,2
IGFBP6,0.24474580585956573,2
FN1,0.2335650622844696,2
DENND4A,0.23007042706012726,1
HSP90AA1,0.2299579381942749,1
HSPH1,0.2299579381942749,1
RNASE1,0.2210661843419075,2
KRT23,0.21955370903015137,2
COL6A2,0.20987209677696228,1
FOS,0.20873544365167618,2
SFRP1,0.18493826687335968,1
SH3PXD2A,0.18252339959144592,1
SLC38A2,0.17455671727657318,1
IRF7,0.1732485145330429,1
ISG15,0.1732485145330429,1
SERPINF1,0.16117897629737854,1
CDC42SE2,0.15144960582256317,1
EPB41,0.15144960582256317,1
BAG3,0.1504044234752655,1
KLF9,0.1504044234752655,1
RBMS3,0.14951302111148834,1
FXYD1,0.14572595059871674,1
BGN,0.14572595059871674,1
NFIA,0.13765473663806915,1
DST,0.13532400131225586,1
FBXO2,0.1331203281879425,1
UHRF2,0.13218453526496887,1
LGALS3BP,0.13091367483139038,1
C3,0.13091367483139038,1
SC5D,0.12565243244171143,1
GNPTAB,0.12565243244171143,1
ABCA1,0.12409650534391403,1
EFNA1,0.12271026521921158,1
OGT,0.12067317217588425,1
EPM2AIP1,0.12067317217588425,1
LIMA1,0.12055423855781555,1
DUSP1,0.11920376121997833,1
CSRNP1,0.11920376121997833,1
GSN,0.11708024889230728,1
MT-ND3,0.11518451571464539,1
TIMP2,0.10946855694055557,1
DOT1L,0.10890420526266098,1
ZBED5,0.10890420526266098,1
FOSB,0.10791654884815216,1
CSGALNACT2,0.10787054151296616,1
PIKFYVE,0.10787054151296616,1
DNAJB1,0.10727573931217194,1
SPRY1,0.10703852027654648,1
TCF4,0.10569033026695251,1
INO80D,0.10525153577327728,1
GTF2B,0.10336370021104813,1
NAF1,0.10336370021104813,1
MAST4,0.10132734477519989,1
NEDD9,0.10132734477519989,1
ATF3,0.10081889480352402,1
HEXIM1,0.10007506608963013,1
JUNB,0.10007506608963013,1
