gene_a,gene_b,weight
KRT7,KRT8,0.546766459941864
KRT14,KRT5,0.49907186627388
MT-ATP6,MT-ND3,0.4990011751651764
CLDN4,ELF3,0.49380460381507874
KRT14,KRT17,0.4925210177898407
C1R,C1S,0.478781521320343
CLDN4,CD24,0.44572821259498596
KRT8,FXYD3,0.4360816478729248
KRT8,KRT18,0.43199872970581055
ELF3,FXYD3,0.4194696843624115
CD74,HLA-DRA,0.41734302043914795
KRT5,KRT17,0.4074093997478485
KRT7,FXYD3,0.40382006764411926
CYTOR,MIR4435-2HG,0.39698314666748047
HLA-DRA,HLA-DRB1,0.3826409876346588
MT-CO2,MT-CO3,0.37767043709754944
CLDN4,FXYD3,0.36818188428878784
CD74,HLA-DRB1,0.3528151214122772
MT-CO3,MT-ND4,0.3351544737815857
CD24,KRT19,0.3175654411315918
GABRP,MAL2,0.3082834482192993
KRT7,ELF3,0.30613425374031067
MYL9,TAGLN,0.30042168498039246
ADAMTS4,LAMA4,0.2947787046432495
MTRNR2L12,MTRNR2L8,0.29421836137771606
KRT7,SFN,0.2932031452655792
ELF3,KRT19,0.29277679324150085
ELF3,CD24,0.2917003929615021
CD24,FXYD3,0.2878595292568207
FXYD3,WFDC2,0.28283190727233887
SERPINF1,SERPING1,0.28012633323669434
CD24,GABRP,0.2737293839454651
SPARC,SPARCL1,0.2715221643447876
CCDC80,IGFBP6,0.27094095945358276
CD24,MAL2,0.2701728045940399
MT-ATP6,MT-CO2,0.25966325402259827
ADAMTS4,IGFBP7,0.2559455633163452
KRT8,ELF3,0.2533661425113678
ATAD2B,ZC3H4,0.24823708832263947
FXYD3,KRT18,0.24561530351638794
KRT7,KRT17,0.24550577998161316
CD24,KRT18,0.24306483566761017
MT-CO2,MT-ND4,0.24278828501701355
HSPA1A,HSPA1B,0.24092435836791992
LAMA4,IGFBP7,0.23541909456253052
CD24,S100A1,0.23516134917736053
KRT17,SFN,0.23319146037101746
KRT8,DSP,0.23298151791095734
KRT5,S100A2,0.23267418146133423
ELF3,WFDC2,0.2315182089805603
MT-ND4,MT-ND1,0.23143203556537628
BGN,CRISPLD2,0.23090136051177979
KRT5,SFN,0.23075197637081146
KRT7,WFDC2,0.2292221188545227
MAL2,S100A1,0.2264302372932434
KRT19,GABRP,0.22332969307899475
CLK4,POLK,0.22288942337036133
CCDC80,AEBP1,0.21710553765296936
BGN,FXYD1,0.21604807674884796
KRT7,CLDN4,0.21591486036777496
SPARC,LHFPL6,0.21586421132087708
MED27,METTL8,0.21420133113861084
TAOK2,TBCD,0.21381348371505737
KDM6A,ZNF654,0.21232295036315918
KRT8,CLDN4,0.21095126867294312
CD24,SLPI,0.21057666838169098
C1R,IGFBP6,0.2096206247806549
MT-ATP6,MT-CO3,0.20787569880485535
MT-ATP6,MT-ND4,0.20747272670269012
LHFPL6,RBMS3,0.20317867398262024
SH3PXD2A,TPM2,0.20305831730365753
POLK,CASP3,0.20148859918117523
CLDN4,GABRP,0.20137906074523926
CLDN4,KRT19,0.20075155794620514
