gene,weighted_degree,degree
CD24,3.5806064307689667,16
KRT7,3.5711492523550987,16
KRT8,3.3667901530861855,15
FXYD3,3.2493626475334167,12
CLDN4,3.1955707743763924,14
ELF3,3.091035597026348,13
KRT18,2.185446485877037,12
KRT19,2.0352435559034348,10
KRT17,1.9270931631326675,8
MAL2,1.8977036476135254,10
KRT5,1.858783446252346,8
SFN,1.6768564656376839,10
GABRP,1.6119139418005943,9
WFDC2,1.6061743199825287,9
C1R,1.3626499846577644,7
C1S,1.3416270837187767,7
KRT14,1.3087128251791,4
S100A14,1.2791216671466827,8
CCDC80,1.1841741502285004,7
S100A1,1.1782299876213074,7
MT-ATP6,1.1740128546953201,4
AZGP1,1.1477431878447533,8
MT-ND4,1.1269051060080528,5
MT-CO3,1.0779851824045181,4
MT-CO2,1.0279359966516495,4
IGFBP6,0.9987553656101227,6
SLPI,0.9890839979052544,7
S100A2,0.9890521690249443,6
CRISPLD2,0.9873207062482834,7
HLA-DRA,0.9593517035245895,3
BGN,0.9397754967212677,6
SOX9,0.9379958808422089,7
HLA-DRB1,0.9123460352420807,3
LAMA4,0.8918041288852692,5
CD74,0.8859152346849442,3
AEBP1,0.838409885764122,5
S100P,0.8320293948054314,6
KRT16,0.8265804722905159,6
POLK,0.788651630282402,5
ADAMTS4,0.7774966582655907,4
DSP,0.7724819853901863,5
MT-ND3,0.7568727806210518,3
LHFPL6,0.74969582259655,4
SPARC,0.749340757727623,4
CALD1,0.7291299924254417,5
SERPING1,0.6826485991477966,4
MYL9,0.6196737885475159,3
CLK4,0.6186939254403114,4
MGST1,0.6139418706297874,5
TPM2,0.6102934777736664,4
TPM1,0.5852221921086311,4
SACM1L,0.5801784247159958,4
ZC3H4,0.5681499987840652,3
HLA-DPB1,0.5653423517942429,4
TAGLN,0.541654072701931,3
TACSTD2,0.5129378885030746,4
CASP3,0.5086366236209869,3
CDC42SE2,0.4970289468765259,4
IGFBP7,0.49136465787887573,2
B2M,0.4481397569179535,3
FRYL,0.44025959074497223,3
RBMS3,0.4355429410934448,3
PARP14,0.43282344937324524,4
SPARCL1,0.4033481627702713,2
CYTOR,0.39698314666748047,1
MIR4435-2HG,0.39698314666748047,1
SERPINF1,0.39544589072465897,2
COL18A1,0.38974587619304657,3
MT-ND1,0.38871660828590393,2
FXYD1,0.38261352479457855,2
RARRES2,0.37915967404842377,3
ZNF654,0.3718104362487793,2
DMTF1,0.3655668869614601,3
METTL8,0.36448001861572266,2
ATAD2B,0.3606129437685013,2
TBCD,0.35578861832618713,2
ZNF276,0.3453484922647476,2
POU2F1,0.3435369208455086,3
CD9,0.343464158475399,3
PDZK1IP1,0.32486146688461304,3
PHYKPL,0.32234814763069153,2
KDM6A,0.32199813425540924,2
GIGYF1,0.3151509389281273,2
IFI6,0.30332350730895996,2
MIA,0.3025591969490051,2
MTRNR2L12,0.29421836137771606,1
MTRNR2L8,0.29421836137771606,1
SPRY1,0.2901117354631424,2
COL6A2,0.28837599605321884,2
PALLD,0.28433313965797424,2
MAP3K1,0.2720300853252411,2
KDM6B,0.2636507377028465,2
MTR,0.26212091743946075,2
ZFAND2A,0.2563755586743355,2
NFKB1,0.252301923930645,2
FGF7,0.24768894165754318,2
PDP1,0.24277257174253464,2
HSPA1B,0.24092435836791992,1
HSPA1A,0.24092435836791992,1
FBXO2,0.23957858234643936,2
DPYSL3,0.23883146047592163,2
PIK3CA,0.23208444565534592,2
CREBRF,0.22493568062782288,2
VOPP1,0.21873266994953156,2
MED27,0.21420133113861084,1
TAOK2,0.21381348371505737,1
EFNA1,0.20832791924476624,2
CLDN3,0.2074195146560669,2
SH3PXD2A,0.20305831730365753,1
IFI27,0.18933194875717163,1
SP100,0.18287840485572815,1
HSPH1,0.17648062109947205,1
HSP90AA1,0.17648062109947205,1
ZBTB1,0.17272135615348816,1
DENND4A,0.17272135615348816,1
COL6A1,0.1688627004623413,1
FAM208A,0.15948748588562012,1
SP140L,0.1591804176568985,1
IFI35,0.1591804176568985,1
CLK1,0.1540631204843521,1
IGFBP4,0.15255947411060333,1
ISG15,0.151269793510437,1
ZNF7,0.15027868747711182,1
DCP2,0.14197513461112976,1
SLC39A6,0.14122484624385834,1
NEDD9,0.13936564326286316,1
MAST4,0.13936564326286316,1
JMJD6,0.13861919939517975,1
NXF1,0.13861919939517975,1
PODXL,0.1371231973171234,1
DOCK9,0.1371231973171234,1
SLC12A6,0.13058003783226013,1
CARD8,0.13058003783226013,1
TMX4,0.1299963891506195,1
KAT6B,0.1299963891506195,1
SDF2L1,0.1291712522506714,1
MANF,0.1291712522506714,1
TACC1,0.1281374990940094,1
NR3C1,0.1281374990940094,1
ID1,0.12340514361858368,1
HEY1,0.12340514361858368,1
TGFBR3,0.12292566895484924,1
DDR2,0.12292566895484924,1
ABCA1,0.12252150475978851,1
PER1,0.12250037491321564,1
TSPYL2,0.12250037491321564,1
FOS,0.12232407182455063,1
GADD45B,0.12232407182455063,1
LIMA1,0.12196127325296402,1
ATP11B,0.11864958703517914,1
EPB41,0.11864139884710312,1
NFIB,0.11770159751176834,1
CRIM1,0.11770159751176834,1
JUNB,0.11735479533672333,1
HEXIM1,0.11735479533672333,1
ITPRIP,0.11713951081037521,1
SFRP1,0.11568252742290497,1
SLC39A8,0.11565203964710236,1
PARP4,0.11565203964710236,1
SNX14,0.11558260768651962,1
ERBIN,0.11558260768651962,1
MALT1,0.11548852175474167,1
SLC38A2,0.1154288798570633,1
LEMD3,0.11343485862016678,1
CSRNP1,0.11343011260032654,1
SOCS3,0.11343011260032654,1
ADAM17,0.11342024058103561,1
MTMR3,0.11342024058103561,1
ECE1,0.11334466189146042,1
HIP1,0.11334466189146042,1
SRGN,0.11332763731479645,1
CSGALNACT2,0.11291661858558655,1
PIKFYVE,0.11291661858558655,1
VPS13C,0.11288765072822571,1
PLPP1,0.11232113838195801,1
RGS3,0.11232113838195801,1
TCF4,0.11219584941864014,1
LRBA,0.1119796633720398,1
SDC4,0.10969296097755432,1
PTBP2,0.10967518389225006,1
ZBED5,0.10961183160543442,1
CEP68,0.10961183160543442,1
HECA,0.10950680077075958,1
SLC5A3,0.10879412293434143,1
HIVEP1,0.10879412293434143,1
FBXO32,0.10835058987140656,1
BRD1,0.10689440369606018,1
COG3,0.10689440369606018,1
PRDM2,0.10579069703817368,1
RBBP5,0.10550185292959213,1
UBE2W,0.10550185292959213,1
CYBRD1,0.10520904511213303,1
GSN,0.10520904511213303,1
CFLAR,0.10497264564037323,1
FN1,0.10460666567087173,1
LGALS1,0.10460666567087173,1
TAP1,0.10365571081638336,1
ESCO1,0.10355804115533829,1
ING5,0.10320877283811569,1
ZNF431,0.10320877283811569,1
KIAA1551,0.1028486043214798,1
PJA2,0.10252006351947784,1
ID2,0.10231243818998337,1
DDHD1,0.10198058187961578,1
HERC1,0.10176583379507065,1
NPHP3,0.10176583379507065,1
LMCD1,0.10170352458953857,1
MSL2,0.10018501430749893,1
SUPV3L1,0.10018501430749893,1
