gene_a,gene_b,weight
KRT14,KRT5,0.6546869874000549
MT-CO1,MT-CO2,0.6475659608840942
KRT17,SFN,0.6071375012397766
KRT5,SFN,0.5694323778152466
KRT14,KRT17,0.5664862394332886
KRT5,KRT17,0.5650679469108582
S100A8,S100A9,0.5596444010734558
MT-ATP6,MT-ND4,0.5139025449752808
HSPA1A,HSPA1B,0.492626816034317
S100A14,TACSTD2,0.49015626311302185
ELF3,WFDC2,0.4802699685096741
ELF3,FXYD3,0.47964027523994446
SAA1,SAA2,0.47705087065696716
MT-CO2,MT-ND4,0.47307321429252625
S100A14,KRT16,0.46393638849258423
CD24,KRT19,0.45225536823272705
MT-CO1,MT-ND4,0.45096492767333984
S100A14,SAA1,0.43088293075561523
SFN,S100A2,0.4235017001628876
SFN,TACSTD2,0.4227848947048187
SFN,KRT16,0.4216480553150177
WFDC2,FXYD3,0.4162592589855194
SFN,SAA1,0.4126051366329193
ELF3,KRT8,0.41019406914711
TACSTD2,SAA1,0.4055764973163605
FXYD3,KRT8,0.40122392773628235
S100A14,WFDC2,0.39901164174079895
KRT8,KRT7,0.39442506432533264
C1ORF56,CDC42SE1,0.3930833637714386
FXYD3,KRT23,0.3928517699241638
SFN,S100A14,0.38956955075263977
S100A14,FXYD3,0.388459712266922
KRT14,SFN,0.3882380723953247
FXYD3,SAA1,0.3859260380268097
TACSTD2,CLDN4,0.38460013270378113
CD74,HLA-DRA,0.38111311197280884
MYL9,TAGLN,0.37157362699508667
HSP90AA1,HSPH1,0.3675442039966583
KRT17,SAA1,0.3651430904865265
GTF2A1,TTC14,0.3633261024951935
KRT16,KRT23,0.34994208812713623
S100A14,KRT23,0.3472456634044647
KRT5,S100A2,0.34322813153266907
TACSTD2,KRT7,0.3401257395744324
WFDC2,CLDN4,0.3390563428401947
S100A14,ELF3,0.33576491475105286
S100A14,KRT7,0.3355834484100342
KRT17,S100A2,0.3339378535747528
CLDN4,PDZK1IP1,0.33317217230796814
HELZ,KIDINS220,0.3308475613594055
ELF3,CLDN4,0.3289942741394043
KRT23,CLDN4,0.32313910126686096
TACSTD2,KRT16,0.3228198289871216
IGFBP7,LAMA4,0.3227710723876953
KRT23,CLDN7,0.3225599229335785
WFDC2,KRT23,0.32011878490448
KRT17,KRT16,0.3180624544620514
S100A14,CLDN4,0.31555065512657166
ELF3,KRT23,0.3115805685520172
CD24,KRT23,0.3107849359512329
SFN,KRT7,0.307239830493927
SAA2,CHI3L2,0.3068966567516327
HLA-DRA,HLA-DPA1,0.30231526494026184
CYTOR,MIR4435-2HG,0.2986144423484802
SAA1,ITGB6,0.29767900705337524
KRT5,SAA1,0.2961033284664154
SAA2,PDZK1IP1,0.295169472694397
FXYD3,KRT16,0.2923491895198822
DCN,LUM,0.2897491455078125
KRT8,ITGB6,0.2877780795097351
TACSTD2,WFDC2,0.2864910662174225
S100A14,ITGB6,0.28239378333091736
C1R,C1S,0.28050270676612854
LAMA4,ADAMTS4,0.27726471424102783
FXYD3,CD24,0.2771499752998352
KRT14,S100A2,0.2754802405834198
LUM,RARRES2,0.2750212252140045
S100A14,CLDN7,0.27430322766304016
CD74,HLA-DRB1,0.2736358940601349
PODXL,TM4SF18,0.27327221632003784
TACSTD2,ELF3,0.27310383319854736
FXYD3,CLDN4,0.27306997776031494
ELF3,CD24,0.27254870533943176
TAGLN,ACTA2,0.27173155546188354
IGFBP7,ADAMTS4,0.2714666724205017
