gene,weighted_degree,degree
S100A14,7.705968126654625,33
FXYD3,6.983077421784401,31
SAA1,6.739939212799072,28
SFN,6.676632739603519,27
ELF3,6.4400938004255295,29
TACSTD2,6.143885441124439,27
WFDC2,6.016643762588501,29
KRT23,5.781336203217506,27
CLDN4,5.565383166074753,28
KRT8,5.515078619122505,26
CLDN7,5.3817741721868515,32
KRT16,5.154283165931702,23
KRT7,4.943122021853924,26
KRT17,4.79744828492403,18
ITGB6,4.661586187779903,25
PDZK1IP1,4.6272148340940475,24
SAA2,4.252105183899403,23
CD24,4.079523243010044,19
SOX9,4.073144115507603,28
KRT5,3.9241226613521576,15
S100A2,3.5226427987217903,18
KRT19,3.3317211717367172,17
KRT18,2.9376461505889893,17
KRT14,2.814534790813923,10
MAL2,2.4285693019628525,15
MGST1,2.38314101845026,16
TFAP2C,2.319178804755211,15
LCN2,2.24934583902359,13
CLDN3,2.14027052372694,14
MIA,2.1099269166588783,13
SMIM22,1.897204965353012,12
BRAF,1.8598362654447556,12
MT-ND4,1.7854416370391846,5
KIDINS220,1.743531472980976,11
MMP7,1.7119244486093521,12
SDC4,1.6928601488471031,12
HLA-DRA,1.649587795138359,7
S100A9,1.6262908056378365,9
SLPI,1.5416025593876839,10
POLK,1.5293010473251343,11
ATP1B1,1.521359644830227,11
TPM1,1.5000602677464485,10
CD74,1.4803200587630272,7
HLA-DPA1,1.448604702949524,6
MT-ATP6,1.4400218576192856,5
CHI3L2,1.4105206355452538,9
LAMA4,1.401760257780552,7
MT-CO1,1.3890753239393234,4
HELZ,1.3705751597881317,9
MT-CO2,1.3537747412919998,3
IGFBP7,1.320921666920185,7
ZC3H4,1.2844773456454277,9
INO80D,1.2256470620632172,8
TIMP3,1.2152090668678284,8
MT1X,1.2118134498596191,9
DNAJB1,1.2066351026296616,7
SFRP1,1.2035633996129036,9
HSPA1A,1.1287189573049545,4
CCDC80,1.0757618695497513,8
BGN,1.073863908648491,7
C1R,1.04143787920475,7
HLA-DRB1,1.0357222184538841,5
LUM,0.9992082864046097,5
ADAMTS4,0.9876786470413208,6
TAGLN,0.9875233024358749,4
PODXL,0.9874141961336136,6
HLA-DQB1,0.9842546582221985,5
TM4SF18,0.9806656464934349,6
DSP,0.9801968336105347,8
USP42,0.9314109236001968,6
NAA16,0.9243044555187225,7
DPP8,0.9007986783981323,6
DCN,0.8979513198137283,5
FHL2,0.8780795335769653,5
HSPH1,0.8733819350600243,4
TPM2,0.8643739297986031,6
GTF2A1,0.8634569421410561,4
ATAD2B,0.8618902415037155,6
CALD1,0.839291624724865,5
ITGA5,0.8379029259085655,6
MYL9,0.8224915340542793,4
HLA-DQA1,0.8198564425110817,5
S100A8,0.7888305261731148,3
IL1R1,0.7809230387210846,6
HSP90AA1,0.7779010906815529,4
JUN,0.7706603780388832,4
TTC14,0.7630718350410461,4
ATF7IP,0.7449691444635391,5
STC2,0.7441559433937073,6
CREBRF,0.7353033050894737,5
ARHGAP29,0.7297772541642189,5
PRRX1,0.7221799045801163,5
AZGP1,0.7214631214737892,5
FOS,0.720257580280304,5
TOR1AIP1,0.7199969962239265,5
HLA-DPB1,0.7092766091227531,4
CRISPLD2,0.7034785151481628,5
INHBB,0.7024309188127518,5
STC1,0.6991744413971901,4
LAMB3,0.6910076886415482,5
HSPA1B,0.6786803305149078,2
FTX,0.6753624007105827,5
UHRF2,0.6753186956048012,5
TIMP2,0.6740893572568893,5
MT-ND1,0.6717841029167175,4
MARF1,0.6687659546732903,5
BEX2,0.6619159877300262,5
RARRES2,0.6596598103642464,4
CSRP1,0.6580875590443611,4
ACTA2,0.6285430192947388,4
DPYSL3,0.6185409873723984,4
C1S,0.6155998408794403,3
GATA3,0.6024749875068665,5
MEF2D,0.6015605181455612,4
FBXO32,0.5830439701676369,3
ATF3,0.5792698785662651,4
DEFB1,0.5784879773855209,5
CCNT1,0.5722581744194031,3
TINAGL1,0.5676618739962578,3
MIB1,0.5627516582608223,4
KRT15,0.5623458623886108,5
PIK3R3,0.5515176653862,4
LASP1,0.541997417807579,4
SERPINB9,0.5401562824845314,4
C5ORF46,0.5391079634428024,3
VPS13C,0.5343642681837082,4
BCAM,0.53016597032547,3
SPARC,0.5230166614055634,4
COL4A2,0.5079240500926971,4
MCF2L,0.5047575384378433,4
MAST4,0.5010940954089165,4
FAM208A,0.5009193569421768,3
SH2B3,0.49548643082380295,4
ID4,0.4937354326248169,3
KLF9,0.48776019364595413,4
TCF4,0.4711330607533455,4
DOCK9,0.4668760150671005,4
BTBD7,0.46450233459472656,4
JUNB,0.45357828587293625,4
CTSS,0.44564933329820633,3
EGR1,0.44156618416309357,3
ZNF263,0.43856751918792725,3
DENND4A,0.4305630847811699,3
NUP210,0.4254017770290375,3
LNPEP,0.4193054363131523,3
FMNL3,0.41897717118263245,3
FAM193A,0.4136519283056259,3
SLC2A3,0.4123350977897644,3
MT-ND3,0.4021761864423752,2
AHR,0.3994538262486458,3
LENG8,0.39897026121616364,3
PRKD3,0.39720551669597626,2
CREBZF,0.3939264640212059,3
CDC42SE1,0.3930833637714386,1
C1ORF56,0.3930833637714386,1
RBP1,0.3912135511636734,3
NR2C2,0.3909275755286217,3
TNRC6C,0.39091646671295166,3
GABARAPL1,0.3894767165184021,3
HLA-DMA,0.38854439556598663,3
ZBTB1,0.3876119703054428,2
ACSL5,0.3839622139930725,3
ADAMTS1,0.3819259777665138,3
HECA,0.38141612708568573,2
DST,0.3813295438885689,3
MKLN1,0.3766243904829025,3
CRYAB,0.369159072637558,2
CASP3,0.36666736751794815,3
WIPF1,0.3663385808467865,3
MEX3C,0.3601017966866493,3
ZMYM5,0.357678085565567,3
CPNE8,0.35583391785621643,2
SLC9A3R2,0.3537924066185951,3
FN1,0.35069042444229126,3
ACTN1,0.35068123042583466,3
TCEAL9,0.34947511553764343,3
ZNF493,0.3479113429784775,2
KRT81,0.3459617421030998,3
PDLIM1,0.3415116146206856,3
ID3,0.3403944820165634,3
FOSB,0.3376176580786705,3
STIM2,0.33238735795021057,3
SDC1,0.3308088183403015,2
CLEC2B,0.33078742027282715,2
BAG3,0.32957957684993744,2
CSRP2,0.32858091592788696,2
ZNF430,0.32844340801239014,2
TMX3,0.32405130565166473,2
RPRD2,0.32316754758358,2
ECE1,0.32304949313402176,3
AL121944.1,0.322060227394104,2
PALLD,0.3201601505279541,2
TUT7,0.31844089180231094,2
ATXN1,0.31043919920921326,2
CAMK2D,0.30843906849622726,2
MIR4435-2HG,0.2986144423484802,1
CYTOR,0.2986144423484802,1
PIK3R1,0.28815554082393646,2
DCP2,0.28520913422107697,2
DAPP1,0.28149881958961487,2
ZNF331,0.2812615782022476,2
MMP2,0.2754736468195915,2
ARID5B,0.2753434032201767,2
ZFAND2A,0.2744652032852173,2
LIMA1,0.2716866508126259,2
A2M,0.270118311047554,2
TGFB1,0.2675742357969284,2
IGFBP5,0.26625484973192215,2
MPZL3,0.265183225274086,2
EVA1C,0.2646096423268318,2
PCNX1,0.26355335861444473,2
MT1G,0.2574754059314728,1
FGF7,0.2557940036058426,2
ADD3,0.2544988542795181,2
EHD4,0.25399336963891983,2
GMFG,0.2522582933306694,2
EFNA1,0.24854065477848053,2
PREX1,0.2478286251425743,2
CASK,0.2474011927843094,2
CSRNP1,0.2461075484752655,2
CRIM1,0.24220915883779526,2
AEBP1,0.24093101173639297,2
CLK4,0.24052932113409042,2
ARID4A,0.23993413150310516,2
CRIP2,0.23881761729717255,2
CXCL2,0.23828786611557007,1
CXCL3,0.23828786611557007,1
CHI3L1,0.23800744116306305,2
RPGR,0.2379341796040535,2
ITPRIP,0.23774097859859467,2
SMARCA2,0.23485201597213745,2
LAMB1,0.23431742191314697,2
JMY,0.23306354880332947,2
VCAN,0.23285146057605743,2
DNAJB14,0.2286328375339508,2
ARHGAP26,0.22783513367176056,2
NRP2,0.22652903199195862,1
MEF2A,0.22637778520584106,2
MEF2C,0.225816011428833,2
CBLB,0.2253926917910576,2
SERPINF1,0.21684502065181732,1
NECAP1,0.21428561210632324,1
SLC20A1,0.2141265720129013,1
PPP1R15B,0.2141265720129013,1
HIF1A,0.209066703915596,2
ZBED5,0.2055380940437317,1
SACM1L,0.2055380940437317,1
AKAP10,0.20475679636001587,1
NBPF19,0.20475679636001587,1
TLE4,0.20366647094488144,2
EGR3,0.20134399831295013,1
FSTL1,0.2003071904182434,1
LAMC1,0.2003071904182434,1
SSBP3,0.1894862800836563,1
SDC2,0.18676048517227173,1
KLHL9,0.18415731191635132,1
ENG,0.17408160865306854,1
RASA2,0.1740383356809616,1
PHYKPL,0.17403241991996765,1
DMTF1,0.17403241991996765,1
TP53BP1,0.17187130451202393,1
SHPRH,0.17187130451202393,1
OGT,0.1691577434539795,1
ESCO1,0.16702412068843842,1
CYP20A1,0.16702412068843842,1
BTN2A1,0.16025154292583466,1
GADD45B,0.15981508791446686,1
MYSM1,0.15842293202877045,1
C3,0.15821696817874908,1
LGALS3BP,0.15821696817874908,1
SIK3,0.1577819436788559,1
GIGYF1,0.1577819436788559,1
TAOK2,0.15343168377876282,1
TBCD,0.15343168377876282,1
DAB2,0.15195202827453613,1
RECQL,0.15168729424476624,1
EP300,0.1501363068819046,1
VCPKMT,0.14969775080680847,1
ETV3,0.14969775080680847,1
RASGRP3,0.1466267704963684,1
HHEX,0.1466267704963684,1
CTGF,0.14427189528942108,1
PRKCH,0.14301633834838867,1
NEDD9,0.14239616692066193,1
C3ORF58,0.14187616109848022,1
H2AFX,0.14187616109848022,1
PER1,0.14063555002212524,1
MSL2,0.139926016330719,1
MFGE8,0.1391160786151886,1
PLPP1,0.13909463584423065,1
NR4A3,0.13684073090553284,1
PLPP3,0.1349390149116516,1
AHI1,0.13470785319805145,1
WDFY1,0.13470780849456787,1
HOTAIRM1,0.13267405331134796,1
FAM126A,0.1293048858642578,1
FAM241A,0.12874023616313934,1
NPHP3,0.12758101522922516,1
LY96,0.12661023437976837,1
C9ORF3,0.12645727396011353,1
RBM15,0.12520267069339752,1
CDC42EP3,0.12473931163549423,1
JAG1,0.12373416125774384,1
CDH13,0.12373416125774384,1
SWAP70,0.12338091433048248,1
PTPRE,0.12338091433048248,1
CITED2,0.12268255650997162,1
NUDT4,0.12268255650997162,1
MT-ND2,0.12249460816383362,1
FAM76B,0.1204952746629715,1
KIAA2026,0.1200752705335617,1
SNAI2,0.12005951255559921,1
FGFR1,0.12005951255559921,1
DGKE,0.12003404647111893,1
HIST1H2BD,0.1189059466123581,1
ACTG2,0.11867601424455643,1
TARSL2,0.11836136877536774,1
MTA2,0.11835804581642151,1
HEXIM1,0.1182849332690239,1
PCF11,0.1182849332690239,1
RORA,0.11808188259601593,1
FNDC3A,0.11727239191532135,1
ACSL4,0.11727239191532135,1
RASA3,0.11708852648735046,1
PXK,0.11708852648735046,1
BAMBI,0.11658795922994614,1
FCER1G,0.1165386363863945,1
ZEB2,0.1165386363863945,1
RP2,0.11596930772066116,1
PLXNA2,0.11564186215400696,1
AL031777.3,0.11533094942569733,1
HIST1H2BG,0.11533094942569733,1
KCTD12,0.11471245437860489,1
GTF3C1,0.11464550346136093,1
SENP1,0.11464550346136093,1
FBRS,0.1144535094499588,1
RNF213,0.11410801112651825,1
SLFN5,0.11410801112651825,1
LHFPL6,0.11399394273757935,1
COG3,0.11398466676473618,1
SLC39A6,0.11392604559659958,1
TRPS1,0.11392604559659958,1
KIAA0319L,0.11384677141904831,1
HEG1,0.11379041522741318,1
LMCD1,0.11283601820468903,1
LIX1L,0.11188596487045288,1
MGAT4A,0.11184563487768173,1
TNF,0.11176688969135284,1
PKIG,0.11166629940271378,1
PGF,0.11124788224697113,1
C1ORF54,0.11076076328754425,1
RAI14,0.1107359230518341,1
UBXN7,0.11048358678817749,1
CPE,0.10989271104335785,1
FRYL,0.10944558680057526,1
GRK5,0.10891459137201309,1
SRGAP2C,0.10891459137201309,1
RGS3,0.10882329940795898,1
WSB1,0.10851579904556274,1
NR4A1,0.10844739526510239,1
MAGEH1,0.10816029459238052,1
RARRES1,0.10793831199407578,1
APOD,0.10762520134449005,1
CYYR1,0.10737898200750351,1
S100PBP,0.10725151002407074,1
MAP4K4,0.10688648372888565,1
PLEKHM2,0.10688648372888565,1
IL3RA,0.10679316520690918,1
FLT1,0.10679316520690918,1
PLIN2,0.10643882304430008,1
SH3KBP1,0.10643882304430008,1
SERPING1,0.10613398253917694,1
SIN3A,0.10601728409528732,1
HERC1,0.10594949871301651,1
SLC35E3,0.10594949871301651,1
YPEL2,0.105527862906456,1
PARP14,0.10511893779039383,1
KIAA1551,0.10496288537979126,1
MAGI1,0.1048247441649437,1
CHORDC1,0.10471697896718979,1
DDIT3,0.1047007143497467,1
MLLT6,0.1046934500336647,1
DUSP1,0.10417729616165161,1
PTPN9,0.1041552796959877,1
FOXP1,0.1039687916636467,1
NFAT5,0.1039687916636467,1
HIPK3,0.10394776612520218,1
UCP2,0.10306991636753082,1
BAZ2B,0.10244989395141602,1
RND3,0.10204894840717316,1
RLF,0.10197976976633072,1
SLC25A37,0.10196775943040848,1
EPAS1,0.10189981013536453,1
MTUS1,0.10184658318758011,1
SERPINH1,0.10111140459775925,1
COL6A1,0.10022864490747452,1
COL6A2,0.10022864490747452,1
