gene_a,gene_b,weight
KRT14,KRT17,0.5900783538818359
ELF3,FXYD3,0.5726513266563416
AURKA,NUF2,0.564277172088623
NUF2,TOP2A,0.5580440163612366
CD74,HLA-DRA,0.5572105646133423
MT-CYB,MT-ND4,0.556958019733429
COL6A2,SPARC,0.5493290424346924
MT-ATP6,MT-CO2,0.540065348148346
CNN3,S100A16,0.537090539932251
KRT14,KRT5,0.5345569252967834
MT-CYB,MT-CO2,0.5134668350219727
FXYD3,KRT8,0.4632185101509094
CALD1,CYR61,0.4626888632774353
IFI6,ISG15,0.4571603536605835
MT-ND4,MT-CO2,0.4556460380554199
SFN,WFDC2,0.44817054271698
GRN,PSAP,0.44517582654953003
CDK1,CDKN3,0.4343326985836029
CD24,MAL2,0.4331517815589905
C1R,NNMT,0.4314402639865875
TOP2A,GTSE1,0.42352965474128723
NUF2,GTSE1,0.4209533929824829
CAVIN1,UACA,0.42003852128982544
COL1A2,PCOLCE,0.417299747467041
SPARC,PRSS23,0.41394278407096863
CYTOR,MIR4435-2HG,0.41373515129089355
GTSE1,CCNB2,0.4052875339984894
MYL9,TPM2,0.403990238904953
MT-CYB,MT-ATP6,0.4033483564853668
KRT17,KRT5,0.40095916390419006
EFNA1,TM4SF1,0.39490872621536255
TOP2A,MKI67,0.3926282525062561
KRT14,S100A2,0.392444372177124
TOP2A,CCNB2,0.3897184133529663
NNMT,BGN,0.3891278803348541
ATXN2L,C15ORF40,0.3889763057231903
HLA-DRA,HLA-DRB1,0.3861972987651825
MKI67,HMMR,0.3854491412639618
ELF3,KRT8,0.3834723234176636
HLA-DRA,HLA-DPB1,0.3830956518650055
CCNA2,CCNB1,0.38185960054397583
KRT8,KRT7,0.37889525294303894
FXYD3,WFDC2,0.3713398575782776
MYL9,TAGLN,0.36780187487602234
ELF3,SOX9,0.36753082275390625
KRT17,FXYD3,0.36050695180892944
DPYSL3,LAMA4,0.3588099777698517
DSP,PERP,0.3566032350063324
KRT8,KRT18,0.35484182834625244
HMMR,RRM2,0.35191234946250916
KRT7,KRT18,0.3509303033351898
CCNB2,TK1,0.35029706358909607
NUF2,CDCA8,0.3489183485507965
IGFBP4,TIMP1,0.34877195954322815
ELF3,CLDN4,0.3475983142852783
HSPG2,IGFBP7,0.34656694531440735
CD74,HLA-DRB1,0.3458397686481476
KRT7,PERP,0.3437930643558502
MT-ND4,MT-ND1,0.341183066368103
TOP2A,CCNB1,0.3399059474468231
CALD1,TPM2,0.33881470561027527
TOP2A,RRM2,0.3384113907814026
CDC20,ZWINT,0.33755525946617126
CALD1,MYL9,0.33743536472320557
CORO1A,HCST,0.33666694164276123
HCST,CD37,0.33431753516197205
COL1A2,COL1A1,0.3342977464199066
CDK1,CDC20,0.33104634284973145
TOP2A,CCNA2,0.33083733916282654
CALD1,TGFB1I1,0.3288486897945404
NUF2,MKI67,0.32777541875839233
COL16A1,FBLN1,0.32767948508262634
LAMA4,ADAMTS4,0.3265758752822876
MYL9,TPM1,0.3255760371685028
CALD1,UACA,0.3254898488521576
C15ORF40,SLC16A1-AS1,0.3240397572517395
HCST,FMNL1,0.31913256645202637
CD24,KRT19,0.3164036273956299
NNMT,TPM1,0.316356360912323
CALD1,CAVIN1,0.3136797845363617
PALLD,SDC2,0.3133058547973633
ELF3,KRT7,0.31114789843559265
KRT5,KRT16,0.3107207417488098
AURKA,TOP2A,0.3106794059276581
CD74,HLA-DPB1,0.3086753189563751
CDC20,BIRC5,0.30826687812805176
FXYD3,SOX9,0.3080217242240906
KRT8,EPCAM,0.3077892065048218
CDK11A,SLC5A3,0.3061962127685547
DNAJC24,KANSL3,0.30499011278152466
RRM2,CENPF,0.3044082522392273
EEFSEC,ZNF335,0.3042701184749603
TK1,CDC20,0.3029218018054962
KRT18,CLDN4,0.30284062027931213
MT-ATP6,MT-ND3,0.30278390645980835
CDK11A,ZC3H8,0.3027690649032593
CALD1,TPM1,0.3020853102207184
TOP2A,CENPF,0.29966697096824646
FAM160B1,SMG6,0.2992914915084839
MIA,S100A14,0.2991001605987549
CMTM3,TNFSF12,0.29797977209091187
CD37,FMNL1,0.2962552607059479
CDCA8,CDC20,0.29563894867897034
MKI67,RRM2,0.2947057783603668
NNMT,DPYSL3,0.29383930563926697
FXYD3,CLDN4,0.2935042381286621
