gene,weighted_degree,degree
TOP2A,6.831787317991257,26
CALD1,6.216751262545586,30
FXYD3,6.030670553445816,25
NUF2,5.951687350869179,24
DPYSL3,5.428027763962746,29
NNMT,4.829741217195988,26
KRT8,4.58393557369709,22
ELF3,4.445616900920868,19
CCNB2,4.420727543532848,24
MKI67,4.232912451028824,17
C1R,4.154682874679565,21
RRM2,4.095154069364071,21
PRSS23,4.077946424484253,23
LAMA4,4.013552308082581,22
UBE2C,3.98567146807909,23
CLDN4,3.89492679387331,19
CDC20,3.8529150784015656,19
CENPF,3.8060430958867073,20
CYR61,3.788184367120266,20
WFDC2,3.778824031352997,18
PERP,3.7075660079717636,19
SPARC,3.690714970231056,19
KRT17,3.680719032883644,17
MYL9,3.6353242248296738,17
KRT7,3.5585041865706444,16
BGN,3.5575850754976273,21
GTSE1,3.5103277564048767,17
KRT14,3.48678956925869,15
TGFB1I1,3.4546387121081352,22
KRT18,3.4466257989406586,16
CTGF,3.3847241029143333,19
CDCA8,3.349942810833454,19
HMMR,3.303484544157982,16
UACA,3.2388836443424225,19
IGFBP7,3.169062525033951,18
HSPG2,3.1452804133296013,17
CD24,3.0904369577765465,14
TPM1,3.0805049166083336,17
BIRC5,3.071580544114113,17
CCNB1,3.0614970922470093,17
AURKA,3.0481050089001656,15
SOX9,3.0162649527192116,17
TPX2,2.9973564073443413,16
RAI14,2.9753482788801193,20
CCNA2,2.951495438814163,14
LAMC1,2.8978982865810394,18
MAP1B,2.856737293303013,18
DSP,2.8172021731734276,16
EPCAM,2.8135973140597343,15
CDK1,2.7229359820485115,14
NUSAP1,2.6985506117343903,17
KRT5,2.640688195824623,11
SFN,2.6059933975338936,14
CAVIN3,2.5368525311350822,16
CNN3,2.4660683646798134,11
IGFBP4,2.4647007137537003,15
FBN1,2.4404697865247726,14
PDZK1IP1,2.4024203717708588,13
TK1,2.357869930565357,12
CAVIN1,2.351261079311371,12
S100A16,2.3456479609012604,14
CFH,2.3338686525821686,14
NDC80,2.3047988787293434,16
CCDC80,2.2416946291923523,15
DMKN,2.2407721132040024,14
COL6A2,2.20625863969326,11
CENPE,2.1898672357201576,13
HCST,2.17962883412838,12
MT-CYB,2.0940162762999535,6
EFEMP2,2.086188092827797,15
TPM2,2.0666958019137383,11
MAL2,2.0573884397745132,10
AEBP1,1.9964861050248146,12
PPIC,1.9928835555911064,13
CD59,1.9757975861430168,12
MT-ND4,1.933837778866291,6
ZC3H7A,1.9211467653512955,14
ZWINT,1.879402570426464,11
ZC3H4,1.8751619160175323,10
CRYAB,1.814363680779934,12
ADAMTS4,1.801614798605442,10
LENG8,1.7833445742726326,9
ATAD2,1.7675010338425636,12
TAGLN,1.7578371912240982,11
MT-CO2,1.742042824625969,4
TCTN3,1.7389909848570824,10
S100A2,1.7153999358415604,7
ISLR,1.694790557026863,11
SLPI,1.6807333752512932,10
UBE2T,1.6328522562980652,11
S100A14,1.6325854882597923,10
PCLAF,1.6028174832463264,12
COL1A1,1.59459038823843,10
C2ORF49,1.5389515459537506,9
KRT16,1.5351029857993126,8
CDKN3,1.5158199146389961,9
RARRES2,1.5140508487820625,11
MT-ATP6,1.5140270590782166,4
CWF19L1,1.4963079318404198,9
CYB5D2,1.4859909862279892,8
COL16A1,1.453172154724598,9
COL6A1,1.4363171756267548,9
PCOLCE,1.4129727110266685,7
CDK11A,1.4058726206421852,8
JAK1,1.3928677663207054,10
CALML5,1.3803224712610245,8
SENP7,1.374887689948082,10
SERPINH1,1.364722564816475,9
C1S,1.3638728559017181,10
EXOSC6,1.3608112335205078,8
CORO1A,1.3435535952448845,8
EFNA1,1.3430477604269981,8
GAS1,1.3401639685034752,10
SMG6,1.330804467201233,8
FMNL1,1.3282303512096405,8
HLA-DRA,1.3265035152435303,3
CD74,1.3198994845151901,4
C15ORF40,1.3165840208530426,6
COL1A2,1.2875659689307213,6
CRIP2,1.2847997322678566,8
CREBRF,1.2562357932329178,9
CD37,1.2561293095350266,6
COL5A2,1.236938253045082,7
SLC9A3R2,1.2246952056884766,9
FBLN1,1.212189421057701,7
IL6ST,1.211301214993,8
LHFPL6,1.1993301287293434,9
KRT19,1.1922089084982872,7
OTULIN,1.184725046157837,9
ATAD2B,1.1796157211065292,7
PPP1R12C,1.1794764921069145,7
SELENOM,1.1335428357124329,7
KPNA2,1.1016123816370964,9
CHFR,1.0937207788228989,7
ZC3H8,1.0788002535700798,7
LYST,1.0724917575716972,8
SPRY1,1.0677129328250885,8
HLA-DPB1,1.065413162112236,4
MIA,1.060021311044693,7
EFHD2,1.051515057682991,6
ITPKB,1.0380525290966034,6
HLA-DRB1,1.0361619144678116,4
JAG1,1.0291908383369446,7
PTTG1,1.0280964747071266,7
PALLD,1.0225316658616066,6
DCP2,1.0195594727993011,7
PPP1R18,1.0106859356164932,7
CD9,1.0092035308480263,8
FAM160B1,1.0006345510482788,5
TACSTD2,0.9800710529088974,5
SLC16A1-AS1,0.9726930931210518,6
CLASP1,0.9622977524995804,6
ADIRF,0.9520745128393173,5
IPO8,0.9379498362541199,7
ARHGDIB,0.9290598854422569,7
DMTF1,0.9246970266103745,5
PSAP,0.9234969466924667,4
SACM1L,0.9234480038285255,6
ZBTB1,0.9193616434931755,6
LNPEP,0.9135263189673424,7
MT-ND3,0.9053766950964928,4
TSC22D1,0.9046188741922379,6
RNF213,0.8790206611156464,5
ATXN2L,0.8729335218667984,4
MMP14,0.8709960430860519,5
MT-ND1,0.869441956281662,3
HMGB2,0.8693820908665657,6
TIMP1,0.8427125886082649,5
ADGRE5,0.831531897187233,5
CDKN1B,0.829462893307209,6
FBLN2,0.8225015178322792,6
LOXL1,0.8222518414258957,5
MTUS1,0.8169628083705902,5
SAMHD1,0.8009945303201675,6
ITGAV,0.8003809899091721,6
GSN,0.7985735237598419,6
EEFSEC,0.79805988073349,5
UBE2S,0.7934690937399864,5
GABPB1-AS1,0.7914686053991318,6
TM4SF1,0.7883708626031876,3
MFSD1,0.7794967666268349,5
RASA2,0.775191031396389,6
GK,0.7746342271566391,5
SEMA4D,0.7729142159223557,5
TYMS,0.7718798667192459,6
LGALS9,0.7672651633620262,5
RIN2,0.7567825838923454,5
ZNF224,0.7522683963179588,4
TIMP2,0.7499216496944427,4
CTSB,0.7467695996165276,5
SLC5A3,0.7432187721133232,4
CBLB,0.7415982335805893,6
KDM4B,0.7348248213529587,4
WHAMM,0.7319480329751968,5
MGST1,0.7099175453186035,6
PHC3,0.703670546412468,5
TMEM161B,0.699579544365406,6
IFITM2,0.6926067098975182,4
NCOA1,0.6920493319630623,4
ASPM,0.6907051652669907,5
GRN,0.6895238533616066,3
ZBTB25,0.6891531124711037,5
HLA-A,0.6887647435069084,5
EMP1,0.6858555823564529,4
HIVEP2,0.6840625926852226,4
PLPP1,0.6830893978476524,6
GABARAPL1,0.6821528002619743,5
PARP14,0.681110143661499,4
ARHGAP30,0.6745313033461571,4
TRIM22,0.6658309325575829,3
AHR,0.661154255270958,5
MAST4,0.6508646979928017,4
INO80D,0.6486392244696617,5
CALCOCO2,0.6432788148522377,4
ANP32E,0.63770791888237,4
LINC00513,0.6351663917303085,4
SH3PXD2A,0.6345329731702805,5
VPS13A,0.6296514421701431,4
PCNX1,0.61385178565979,5
GALM,0.6128971874713898,4
ZNF430,0.6096719056367874,5
UHRF2,0.6091373413801193,4
FAM83D,0.6038816124200821,5
GRK6,0.6027437224984169,5
GPSM3,0.6017905846238136,4
CRISPLD2,0.595904678106308,5
MYLK,0.5921049490571022,3
LPXN,0.5903400927782059,3
CRIM1,0.5887443795800209,4
SLC25A37,0.5882286801934242,5
THBS2,0.5803311243653297,4
ADD1,0.5742484480142593,4
ACAP1,0.5742071196436882,4
LIMA1,0.5734865516424179,4
IFITM3,0.5734052956104279,4
ISG15,0.5731125697493553,2
STMN1,0.569686695933342,4
MT-ND2,0.5693168863654137,3
ID4,0.5684017464518547,4
AKNA,0.5622122585773468,4
CTSK,0.5614388734102249,4
ZNF335,0.5573024302721024,3
ARHGEF12,0.5554210841655731,3
CKS2,0.5552110373973846,4
NSUN6,0.5535078793764114,4
CSGALNACT2,0.5521942675113678,3
DUSP1,0.5457413494586945,3
ATP2B1-AS1,0.5456753075122833,4
SMCR5,0.5378647893667221,4
SOX4,0.5377898067235947,4
GLUL,0.5303750038146973,4
ORC2,0.5291021764278412,3
SRGN,0.5277476534247398,4
MALT1,0.5271345600485802,4
TUBA1B,0.5263263434171677,4
STK17B,0.5228836238384247,4
RUNX3,0.5226870477199554,4
PMP22,0.5145115554332733,3
PTK2B,0.5138690322637558,3
PLEKHM2,0.5137878656387329,3
FGF7,0.5126919820904732,4
ID1,0.5114231035113335,4
FCGR2A,0.5079517364501953,3
PAN3,0.5068595856428146,4
NR3C1,0.5046377778053284,4
TDRD3,0.5018834248185158,4
EPS8,0.501403272151947,4
SMC4,0.5010928511619568,4
PHYKPL,0.5006410181522369,3
CNOT6L,0.4992024749517441,3
WDR54,0.49580932408571243,4
CD14,0.4957382455468178,4
PER1,0.4950055032968521,3
AC008105.3,0.4946663975715637,3
RASGRP1,0.4944615289568901,3
ZDHHC18,0.49372946470975876,3
CTSS,0.4898458495736122,3
MAFB,0.4882347285747528,3
UTRN,0.4875645637512207,4
MRPL10,0.4867219924926758,3
SLC7A6,0.48471561819314957,3
DHX38,0.48184001445770264,3
TRPM7,0.47940143942832947,3
SDC4,0.46875181049108505,3
GNB5,0.4677117243409157,4
BIN2,0.46615952998399734,3
MED17,0.4608883038163185,3
WDR44,0.46016229689121246,3
FRYL,0.45978955924510956,3
RPS6KA5,0.4586908146739006,4
IFI6,0.4571603536605835,1
MIB2,0.45377450436353683,3
RASGEF1B,0.4530123174190521,2
ZNF281,0.45280369371175766,4
TNFRSF12A,0.4497839957475662,3
RGS3,0.4494808092713356,4
TRIM41,0.44722558557987213,3
CSTB,0.44478994607925415,3
AKAP10,0.44388117641210556,3
RND3,0.44263066351413727,3
RPS6KA3,0.44173452258110046,3
NUP214,0.4415207505226135,3
IKBKB,0.43985531479120255,3
FYN,0.4326948821544647,3
TXN,0.4324546456336975,3
CEP78,0.43094056844711304,3
SLFN5,0.4299056604504585,4
IGFBP5,0.42911216616630554,3
PTPRE,0.4282074570655823,3
NIFK-AS1,0.42789775133132935,3
NFIA,0.42739586532115936,4
CDK17,0.4254603385925293,3
RBPJ,0.4244387149810791,3
MMP11,0.4237278550863266,3
CABIN1,0.42252109199762344,3
SP100,0.42176923900842667,3
ZNF44,0.4191211014986038,3
SH3BGRL3,0.4175218343734741,3
ABCD4,0.4163223132491112,3
FAM160B2,0.4140254706144333,2
MIR4435-2HG,0.41373515129089355,1
CYTOR,0.41373515129089355,1
KANSL3,0.4118843376636505,2
SERPING1,0.40902097523212433,2
ACP5,0.4081502854824066,2
ADCY7,0.4070844277739525,3
C19ORF66,0.40326887369155884,3
HIPK1,0.4026168882846832,3
CKS1B,0.4001210480928421,3
NPW,0.3999126926064491,3
AP1G1,0.39948713779449463,2
SCAI,0.3993365243077278,3
METTL8,0.39850909262895584,3
NMT2,0.39826343953609467,3
ELF1,0.3932758569717407,3
PCNA,0.3915291130542755,3
