condition,source_conditions,selected_power,community_id,n_nodes,n_internal_edges,mean_internal_edge_weight,top_hub_genes,top_hub_1,top_hub_2,top_hub_3
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,1,75,195,0.15871896885144404,LHFPL6 | C1S | AEBP1,LHFPL6,C1S,AEBP1
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,2,46,101,0.15798255321708055,GTF2B | SPTY2D1 | SNRNP200,GTF2B,SPTY2D1,SNRNP200
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,3,45,67,0.1460535320550648,VAMP4 | TRPM7 | UBQLN2,VAMP4,TRPM7,UBQLN2
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,4,29,97,0.19275695976522778,KRT7 | ELF3 | EPCAM,KRT7,ELF3,EPCAM
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,5,23,26,0.13477696994176275,CYBRD1 | NFIA | NR2F2,CYBRD1,NFIA,NR2F2
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,6,21,29,0.15648611763427997,USP38 | CYB5D2 | RRAGB,USP38,CYB5D2,RRAGB
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,7,12,17,0.14326830427436266,NDUFAF7 | SNIP1 | RIPK1,NDUFAF7,SNIP1,RIPK1
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,8,11,14,0.1648820069219385,CEP95 | JADE1 | TCF7,CEP95,JADE1,TCF7
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,9,9,9,0.12784077227115626,TGFBR2 | TPP1 | TACC1,TGFBR2,TPP1,TACC1
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,10,9,8,0.13387866690754888,DUSP1 | FOS | FOSB,DUSP1,FOS,FOSB
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,11,8,7,0.1560628350291933,ATG14 | NFAT5 | NBL1,ATG14,NFAT5,NBL1
