condition,source_conditions,gene_a,gene_b,weight
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,B2M,HLA-B,0.5254544615745544
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT14,KRT17,0.4921558797359466
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CLDN4,ELF3,0.4698681533336639
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT14,KRT5,0.4650203287601471
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,MT-CO2,MT-CO3,0.4512739181518554
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,EPCAM,KRT7,0.439967393875122
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,MT-CO3,MT-ND4,0.43567556142807
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL6A1,COL6A2,0.4092233777046203
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,DENND4A,RNASEK,0.3910251557826996
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CLDN4,MAL2,0.3859055638313293
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT17,KRT5,0.3809134066104889
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ADAM17,TIPARP,0.376077264547348
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,C1R,C1S,0.3756882548332214
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,EPCAM,KRT8,0.3679139018058777
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,MAPRE2,UTRN,0.3592011928558349
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,EPCAM,KRT18,0.3543115258216858
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,LHFPL6,SPARC,0.3376423418521881
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CD24,KRT19,0.3364547789096832
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL1A1,COL1A2,0.330793172121048
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KLHL20,TRPM7,0.3297443091869354
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT7,KRT8,0.3261060118675232
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,LHFPL6,AEBP1,0.3248599171638489
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,GABPB1-AS1,SNRNP200,0.3234031200408935
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CD74,HLA-DRA,0.317179799079895
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ADAMTS4,LAMA4,0.3157978951931
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,LHFPL6,PLPP1,0.3138117790222168
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ELF3,KRT7,0.3130815923213959
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,HLA-DRA,HLA-DRB1,0.3127375543117523
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL14A1,PCOLCE,0.310095876455307
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CLDN4,CD24,0.3074748814105987
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,DENND4A,ZBTB1,0.3072738349437713
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,AZGP1,SLPI,0.3049622476100921
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL6A1,AEBP1,0.3026596009731293
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CYB5D2,RRAGB,0.298641949892044
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KIN,RNF168,0.2976031005382538
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CEP290,TSC2,0.2967625260353088
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,BAG3,KLF9,0.2928891777992248
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL6A1,C1S,0.2920169234275818
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ELF3,MAL2,0.2886832654476166
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ADAMTS4,COL18A1,0.2879678308963775
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT17,KRT7,0.2866117656230926
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CYB5D2,PDP1,0.2862573564052582
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,LAMA4,COL18A1,0.2861629128456116
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,IRF7,ISG15,0.2854080498218536
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,EPCAM,MAL2,0.2852576673030853
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,EAF1,PIKFYVE,0.2831315994262695
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,MT-CO2,MT-ND4,0.2809418737888336
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,TSC2,ANKRD49,0.2803150713443756
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CKS2,PTTG1,0.2793315649032593
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,PLPP1,COL18A1,0.2784896790981293
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT8,KRT18,0.2782100439071655
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,NDUFAF7,SNIP1,0.2780272364616394
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ZBTB1,UHRF2,0.2768991589546203
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,C1R,AEBP1,0.2760692536830902
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CALD1,MYL9,0.2758981883525848
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KDM4C,ZBTB11,0.2756188511848449
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL18A1,DPYSL3,0.2713890969753265
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT18,PERP,0.2711866497993469
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CEP290,DCAF16,0.2699268758296966
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ELF3,EPCAM,0.2634296715259552
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,SPARC,SPARCL1,0.2625450193881988
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,NAF1,PFKFB3,0.2624637186527252
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,DENND4A,WHAMM,0.261685699224472
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CDC42SE2,RNF166,0.2601079046726227
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,JADE1,TCF7,0.2601078152656555
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT7,SFN,0.2597658336162567
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,BRD1,USP38,0.2595229744911194
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,C1S,COL1A2,0.2591209709644317
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ATG14,PPP1R3E,0.2565964162349701
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,PCOLCE,FBN1,0.2556151449680328
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,MAL2,KRT19,0.253291517496109
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,GABPB1-AS1,GTF2B,0.2530384957790375
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,DDX19A,SACS,0.2529972195625305
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,LHFPL6,COL18A1,0.2502361536026001
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL1A2,PCOLCE,0.248689591884613
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ZBTB11,AP1G1,0.2480624169111251
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT7,KRT18,0.2476624250411987
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT7,DMKN,0.245545819401741
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL6A2,AEBP1,0.2413073629140854
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,NFIA,NR2F2,0.2408414930105209
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,C1S,AEBP1,0.2389197945594787
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL1A2,FBN1,0.2381994724273681
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,PPP2R5C,SETD2,0.2371708303689956
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,SNRNP200,ZC3H8,0.2367738932371139
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CLDN4,KRT19,0.2334119081497192
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,MYL9,TAGLN,0.231208398938179
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CEP290,MLH3,0.2305903434753418
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,NAF1,GTF2B,0.2283475995063781
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,C1S,COL14A1,0.2281768023967743
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ELF3,KRT18,0.2276342958211898
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,HLA-DRB1,HLA-DPB1,0.2272694706916809
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,UBQLN2,VAMP4,0.2272440791130066
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT14,KRT8,0.2254242449998855
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,SNRNP200,MRPL1,0.2254234552383422
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,HSP90AA1,HSPH1,0.224910631775856
