community,n_nodes
1,114
2,66
3,64
4,57
5,46
6,45
7,45
8,37
9,37
10,34
11,32
12,31
13,30
14,28
15,25
16,21
17,15
18,14
19,12
20,10
21,9
22,9
23,8
24,8
25,8
26,7
27,6
28,6
29,6
30,6
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
