gene_a,gene_b,weight
TMEM176B,TMEM176A,0.6863982677459717
HLA-A,HLA-B,0.4493292570114136
EFCAB14,PRRC2B,0.4468485116958618
WDR43,LUC7L2,0.4291330873966217
IAH1,MED10,0.41379570960998535
ATG12,GGNBP2,0.4097772240638733
ZC3H6,USP47,0.40931981801986694
BDP1,PPP2R2A,0.4026036858558655
PPP2R2A,AGO3,0.4014855921268463
CALD1,TAGLN,0.38784703612327576
ZNRD1,LSM8,0.3862110674381256
SCNM1,DKC1,0.36799171566963196
MRPS5,FAM204A,0.36658817529678345
IAH1,ZNF207,0.36434754729270935
HNRNPR,TPR,0.36382097005844116
KRT18,KRT19,0.36252278089523315
KRT19,KRT8,0.3601629436016083
ZFX,XIAP,0.35936516523361206
TLK1,TCTN3,0.35803940892219543
USP47,TLK1,0.35633859038352966
PTPN12,IL13RA1,0.35622990131378174
TAF15,ILF3,0.3532137870788574
MYH9,PTTG1IP,0.3525676429271698
HNRNPR,MARCH6,0.34973692893981934
ARID1B,CDK12,0.3434767723083496
SRRM1,NASP,0.34253960847854614
SRRM1,SYF2,0.3409512937068939
PPP2R2A,RBM6,0.33211442828178406
APBB2,NR2F2,0.3312488794326782
RAB21,RDH11,0.3301204442977905
WDR43,GON4L,0.32748210430145264
KIAA1217,TJP1,0.3271532654762268
ZC3H6,TRAPPC2,0.3263537287712097
SSR4,SELENOS,0.32555970549583435
LUC7L2,GON4L,0.32540765404701233
HNRNPR,EMC10,0.32316121459007263
USP47,TRAPPC2,0.3218676447868347
FAM204A,SYNCRIP,0.3206465542316437
SUPT16H,GMFB,0.31995880603790283
IAH1,RAB6A,0.3197067379951477
SRRM1,MRPL54,0.31614062190055847
NUDCD3,ZADH2,0.3138866126537323
MCL1,PPP1R10,0.3116537630558014
SDHA,C21orf2,0.3093128204345703
SETD5,PFDN1,0.308837890625
DYNC1I2,ACTN4,0.30851027369499207
TAF1D,TERF2IP,0.3081023395061493
PKN2,POGZ,0.30716389417648315
EFCAB14,CCNY,0.3058047294616699
CDK12,UBE2G2,0.30496203899383545
PPP2R2A,RNF115,0.3046759366989136
ZNF207,MCL1,0.30414214730262756
RBM26,SUZ12,0.30410540103912354
SRPRB,SSR3,0.3030789792537689
PFDN1,PWP1,0.3022382855415344
USP47,TCTN3,0.30215299129486084
ZRANB2,EBLN3P,0.3021397888660431
RAB6A,UBE2H,0.30179086327552795
PRPF40A,PSMC1,0.3016090989112854
LSM8,NSUN5,0.30155622959136963
C1orf123,RBMX2,0.3006114363670349
JAK1,ACAP2,0.3003270924091339
LNPEP,TNKS2,0.3002757728099823
KDM1A,SCAF4,0.2981746792793274
LRPPRC,CCAR1,0.29807254672050476
ATAD1,STRN3,0.29801684617996216
HECTD1,KDSR,0.29785141348838806
DHX36,RNMT,0.2961162328720093
ARID1B,UBE2G2,0.2961057126522064
ISG20L2,LGALS8,0.29399678111076355
MT-ND4,MT-CYB,0.2932067811489105
