gene,weighted_degree,degree
ZNF207,5.388654604554176,29
IAH1,5.1782869547605515,28
PPP2R2A,4.924919426441193,25
SRRM1,4.3268396109342575,23
MED10,3.870035119354725,23
BDP1,3.6159327402710915,20
ARMCX3,3.600355513393879,20
USP9X,3.4992229118943214,19
RAB6A,3.475695885717869,20
BBX,3.4643785059452057,24
HNRNPR,3.406985566020012,17
KDM5A,3.374337449669838,21
ACAP2,3.327929101884365,18
AGO3,3.2770870327949524,15
CCAR1,3.0444240123033524,16
LSM8,3.033317483961582,16
ZNRD1,3.0034212172031403,15
MCL1,2.9534673765301704,16
SYF2,2.9266294315457344,20
EMC10,2.8531306087970734,15
ANKRD10,2.8101432099938393,19
RNF115,2.7776728868484497,14
IFT20,2.728309653699398,17
GOPC,2.705106668174267,17
NUDCD3,2.6433071568608284,16
KIAA1217,2.6369256898760796,17
TM2D3,2.6316263377666473,15
EIF2S1,2.616822011768818,17
RBM6,2.5987593680620193,14
LUC7L2,2.5664516761898994,14
JAK1,2.562496155500412,15
PHIP,2.522139683365822,16
RAB21,2.5124916657805443,18
DHX36,2.5061554685235023,14
POGZ,2.4811873883008957,15
PRPF4B,2.3652133494615555,16
WDR43,2.3611527159810066,12
USP47,2.3519281297922134,10
MARCH6,2.25337366014719,13
PPP1R10,2.2420666441321373,14
INTS11,2.2340596690773964,14
TJP1,2.2189198061823845,13
TERF2IP,2.2141188755631447,14
USP34,2.2085492461919785,14
EFCAB14,2.205711103975773,12
ORMDL1,2.1971834748983383,16
PFDN1,2.1965874284505844,13
TPR,2.1602191478013992,13
TLK1,2.1398266181349754,11
VGLL4,2.109547480940819,15
SHOC2,2.1057013422250748,13
LRPPRC,2.105619341135025,11
DKC1,2.1038710102438927,12
PKN2,2.0317656323313713,13
TCTN3,2.016032449901104,10
UBE2H,2.007870852947235,12
C16orf72,2.002178743481636,13
GIGYF2,1.9957487359642982,15
ARID1B,1.9913449957966805,11
RYK,1.9844147711992264,14
