gene_a,gene_b,weight
CD53,CD48,0.7905991077423096
WIPF1,SH3KBP1,0.7867246270179749
SELPLG,AC004687.1,0.7759370803833008
AIF1,TYROBP,0.7517210245132446
DOK2,BIN2,0.6894028186798096
DOK2,CYTH4,0.677703320980072
MT-ATP6,MT-ND3,0.667136549949646
HLA-DRB1,HLA-DPA1,0.6369760632514954
CD53,SELPLG,0.6307507753372192
NCKAP1L,GPR65,0.6246614456176758
CDK19,ELMSAN1,0.6236398816108704
ZFYVE16,RASA1,0.620964765548706
LUM,DCN,0.6198304891586304
DOK2,SASH3,0.6187593936920166
BIN2,SASH3,0.5994910001754761
GPR65,JAML,0.5966140031814575
SPTBN1,SNTB2,0.5859824419021606
HLA-DPA1,HLA-DPB1,0.5847822427749634
BIN2,CYTH4,0.5837573409080505
PHF3,EP300,0.5801329016685486
FBLN2,FBN1,0.5784247517585754
CD48,SELPLG,0.5772671699523926
DCN,COL1A2,0.5650880932807922
JAML,SPN,0.5645712614059448
COL1A2,COL3A1,0.5613627433776855
DCN,COL1A1,0.5605161190032959
DENND6A,PTAR1,0.5599538087844849
AIF1,FCER1G,0.5559855103492737
RRM2,CDK1,0.5477169156074524
PBX2,ZNF836,0.5452454090118408
WWTR1,TNS2,0.5444660186767578
CYTH4,SASH3,0.5362710356712341
TYROBP,LST1,0.5357117056846619
CD84,PLEK,0.5354310870170593
AP5Z1,FXR2,0.5333782434463501
CD53,RGS1,0.5322773456573486
IFI16,CCDC82,0.5320017337799072
SELPLG,DOCK2,0.5314972996711731
IGFBP7,SPARC,0.5286176204681396
SPARCL1,COX7A1,0.5280330181121826
HLA-DRB1,HLA-DRA,0.5260712504386902
SELPLG,FERMT3,0.5218830108642578
TYROBP,FCER1G,0.5211745500564575
LTBP1,FRMD6,0.5203007459640503
HLA-DPB1,HLA-DRA,0.5202151536941528
SHC1,PLEKHA1,0.520173192024231
MT-ATP6,MT-CO3,0.5167673230171204
CD24,KRT8,0.5143006443977356
FBN1,LAMC1,0.5113998055458069
CYR61,TEAD1,0.5101247429847717
WWTR1,SVIL,0.5083866715431213
UIMC1,ASH2L,0.5074493288993835
VWA1,MAGI1,0.507291316986084
TEAD1,SH3PXD2B,0.5054951310157776
TACC3,MKI67,0.504742443561554
SELPLG,CD37,0.5021236538887024
WIPF1,TGFB1,0.5016046762466431
CYTH4,DOCK2,0.4991537928581238
OSMR,GGT5,0.49835288524627686
ZNF654,SLC25A46,0.4973057508468628
EP300,PNPLA8,0.4972839653491974
JAML,DOCK2,0.4960346817970276
CD53,AC004687.1,0.49551162123680115
FCGR3A,C3AR1,0.49544310569763184
GPR65,SPN,0.4951905310153961
SPARC,MMP2,0.4932166039943695
LUM,COL6A3,0.4929535388946533
CD48,SPN,0.49250292778015137
HLA-DRB1,HLA-DPB1,0.4902035892009735
CD53,FERMT3,0.4892020523548126
SASH3,SPN,0.4873450696468353
GPR65,SASH3,0.4873315095901489
RIT1,ADAM17,0.487070232629776
AIF1,LST1,0.4847290813922882
FBN1,COL4A2,0.4827616810798645
WWTR1,CRIM1,0.48216044902801514
AC004687.1,DOCK2,0.47946566343307495
COX7A1,FSTL1,0.47827932238578796
FN1,TIMP2,0.4780782461166382
CD48,FERMT3,0.4765596091747284
COX7A1,CAV2,0.47606730461120605
JMY,U2AF1L4,0.47524958848953247
ARHGEF9,ERCC6L2,0.47491100430488586
TGFB1,SLC2A3,0.4748977720737457
MOB1A,ACTR3,0.4740368127822876
SPN,DOCK2,0.4737304151058197
COL4A2,COL4A1,0.4713321030139923
TBC1D15,FBRS,0.4709436893463135
SLC2A3,FMNL3,0.46933242678642273
VWA1,PALMD,0.46674540638923645
HLA-DPB1,HLA-DQB1,0.46620091795921326
DOK2,DOCK2,0.4656296670436859
C1QB,FPR3,0.46509161591529846
NCKAP1L,JAML,0.46470752358436584
SPARCL1,COL4A1,0.46440887451171875
