gene,weighted_degree,degree
DOCK2,13.098911419510841,39
SPN,11.02662818133831,32
JAML,10.962821170687675,35
CD48,10.080114886164665,28
GPR65,10.077547535300255,32
SELPLG,9.9011599868536,27
CD53,9.152412980794907,26
TEAD1,9.023217141628265,31
COX7A1,8.520939484238625,27
FBN1,8.091270700097084,27
FSTL1,7.744064480066299,26
CD37,7.690879985690117,24
NCKAP1L,7.495778024196625,25
AC004687.1,7.299754500389099,22
WWTR1,7.260321214795113,24
SPARCL1,7.155105486512184,22
BIN2,7.057560548186302,21
FBRS,7.001906931400299,24
SASH3,6.895127952098846,20
MAP1B,6.807700127363205,24
BGN,6.78680245578289,23
DOK2,6.737885072827339,19
SPARC,6.635943382978439,22
CYTH4,6.5136958211660385,20
HERC1,6.28909595310688,23
COL4A2,6.10960179567337,19
FERMT3,6.100708842277527,19
TYROBP,6.099980428814888,18
GPX8,6.087739646434784,22
MAGI1,6.0416902005672455,22
IL2RG,6.039280652999878,22
PLEK,5.889243632555008,19
MKI67,5.88075764477253,19
PTPRC,5.824747905135155,23
COL4A1,5.730413064360619,18
IKZF1,5.711299911141396,20
AIF1,5.615374848246574,16
PHF21A,5.281832933425903,20
GPR183,5.261755660176277,21
LAMC1,5.078269213438034,17
VWA1,4.99940624833107,16
C1orf162,4.994619250297546,19
CAVIN1,4.990237787365913,16
MAFK,4.946537882089615,18
CAV2,4.902339681982994,17
PLEKHA1,4.845211952924728,17
LST1,4.8203558921813965,14
COL18A1,4.756808027625084,17
CYR61,4.74890998005867,17
UBE2C,4.7085279524326324,16
PLPP3,4.6866937428712845,19
CD52,4.672502219676971,16
MACF1,4.651265248656273,18
DPYSL3,4.637669667601585,18
MYO1G,4.611157938838005,17
ITGB2,4.592683866620064,17
MYLK,4.539420396089554,18
HAVCR2,4.535494312644005,17
TNS2,4.531267583370209,16
TMUB2,4.515391409397125,17
SH3PXD2B,4.493189916014671,16
HCST,4.480874344706535,16
PRSS23,4.47093753516674,17
DPP8,4.430495545268059,14
SAMSN1,4.383202075958252,16
FCER1G,4.37781897187233,14
CCNB2,4.370171323418617,15
VPS39,4.3638008534908295,17
CTDSPL2,4.358511373400688,17
TGFB1,4.356853663921356,13
EP300,4.323834538459778,13
MYO1B,4.281879052519798,15
IL10RA,4.280198037624359,15
SETX,4.248054996132851,15
FBLN2,4.24527733027935,15
CCL4,4.243678525090218,16
ZDHHC17,4.19270133972168,14
SVIL,4.183659940958023,14
PNPLA8,4.175676420331001,14
IGFBP7,4.151430889964104,15
AKAP11,4.122685074806213,15
VPS53,4.015437945723534,15
RBMS2,3.994776651263237,16
UTRN,3.933008059859276,13
NUF2,3.9282396733760834,13
BIRC5,3.915442392230034,14
MMP2,3.8796425610780716,13
CENPF,3.878053843975067,13
FKBP9,3.8622921258211136,14
CD84,3.7858615815639496,13
HSPG2,3.7650216370821,14
ADAM17,3.7620231807231903,12
LAMB2,3.7025837004184723,14
TLNRD1,3.6523996591567993,13
ZBED5,3.6017684787511826,11
POLK,3.6004411727190018,12
SPTBN1,3.549512282013893,14
UBLCP1,3.5021967589855194,13
PLCB2,3.4615042358636856,12
TBC1D15,3.444811299443245,11
PLEC,3.4385863691568375,12
ALOX5AP,3.4353815466165543,14
RAI14,3.418937996029854,12
PTPN14,3.414262756705284,12
SH3KBP1,3.407588690519333,10
RGS1,3.38869908452034,10
SLC2A3,3.337900146842003,11
EFEMP2,3.333551451563835,13
SMC6,3.3289192765951157,11
ELMSAN1,3.3220256716012955,11
PBX2,3.282730907201767,10
SHC1,3.279208183288574,11
KIAA1109,3.2746983021497726,12
STK24,3.255628451704979,12
SPI1,3.2496552169322968,11
RASA1,3.2400301545858383,11
SBNO2,3.225326821208,13
C1QB,3.2064149081707,10
TYMS,3.2025459557771683,12
GYPC,3.1220448166131973,11
WDR44,3.067924901843071,11
GMFG,3.0505758225917816,11
RETREG3,3.0474985986948013,11
CRIM1,3.000670939683914,11
ASPM,2.988064557313919,10
MYL9,2.983036056160927,11
NNMT,2.9647639244794846,11
HLA-DPB1,2.9551413357257843,7
GGT5,2.9310719072818756,11
ARHGAP29,2.9078917652368546,11
PHF3,2.8940451592206955,9
SMAD1,2.8919381350278854,11
CLASP1,2.8910356014966965,10
COL1A2,2.8825319707393646,8
HLA-DPA1,2.853879064321518,7
RBL2,2.848097547888756,11
TIMP3,2.8373977541923523,11
ELK4,2.8268135488033295,11
COL6A2,2.82246096432209,11
CTGF,2.8070700764656067,10
LUM,2.8040062189102173,7
TNKS,2.7661280035972595,11
KRT18,2.7628306597471237,9
HLA-DQB1,2.7600154280662537,8
HLA-DRB1,2.7534021586179733,6
DCN,2.747540205717087,6
LTBP1,2.7206279635429382,8
CST7,2.662494793534279,11
SKI,2.659441724419594,9
MS4A6A,2.6161465495824814,10
MSN,2.604845628142357,10
PRPF8,2.599684625864029,10
CDC20,2.5992594063282013,10
PCLAF,2.5933081209659576,10
ARHGAP30,2.5817352682352066,9
TINAGL1,2.5728199630975723,10
WIPF1,2.5652806013822556,7
HGSNAT,2.545853838324547,11
MEMO1,2.541817381978035,10
RUNX3,2.5252674520015717,10
PPP1R12A,2.5185781121253967,9
MAP4K4,2.5098992586135864,9
ZNF836,2.5034651309251785,8
