gene_a,gene_b,weight
LUM,DCN,0.675021231174469
VWF,CDH5,0.662185788154602
TACSTD2,KRT8,0.6497331857681274
LUM,DPT,0.6088716387748718
COL4A1,COL4A2,0.6071035861968994
DCN,DPT,0.6051158308982849
SFN,KRT17,0.60297691822052
ENPEP,MMP19,0.5964884757995605
MT-CO1,MT-CO3,0.5953778028488159
TMEM45B,TMC5,0.5863897800445557
BCL6B,PECAM1,0.5856489539146423
KRT5,KRT14,0.5834367871284485
KRT5,TNS4,0.5779713988304138
HSPA1B,DNAJB1,0.5734954476356506
KRT17,KRT5,0.5387545824050903
TACSTD2,KRT7,0.5335649251937866
SFN,KRT7,0.532313346862793
SFN,IRF6,0.5275387167930603
SFN,KRT5,0.526475191116333
DLC1,SLC2A3,0.5263423323631287
ACKR1,PLVAP,0.5262241363525391
KRT7,S100A14,0.514420747756958
KRT8,KRT7,0.5138707160949707
CLDN7,KRT23,0.5068241953849792
MT-CO1,MT-CO2,0.5036409497261047
PECAM1,RHOJ,0.493612676858902
SFN,KRT6B,0.49358707666397095
C1R,SERPINF1,0.492512047290802
CDH5,ECSCR,0.4832068383693695
CLDN7,CLDN4,0.48306140303611755
AKR1C1,AKR1C2,0.4755636751651764
DCN,GFPT2,0.4753466248512268
C1R,C1S,0.475121408700943
TPM2,ACTA2,0.4731067717075348
LRRC32,TCF4,0.47308626770973206
PECAM1,GIMAP6,0.47043970227241516
PECAM1,PTPRB,0.4686901867389679
F2RL3,CLDN5,0.46509361267089844
LAMA4,EDNRB,0.46371588110923767
IRF6,TFAP2C,0.4633357524871826
PDGFRB,FXYD1,0.46202534437179565
VWF,PECAM1,0.46158504486083984
CDH5,BCL6B,0.4608786404132843
TCF4,SASH1,0.4586578607559204
ST3GAL6,PRKCH,0.4572789669036865
IRF6,LAMB3,0.4561117887496948
GIMAP6,ADCY4,0.4523886442184448
PLVAP,CD93,0.45068398118019104
FAM193A,EP300,0.44987231492996216
MMP19,ZEB2,0.4479650855064392
SDC1,CDH1,0.44770359992980957
KRT19,WFDC2,0.44554510712623596
KRT17,KRT14,0.4434760510921478
CDH5,PTPRB,0.4428647458553314
ENPEP,PDGFRB,0.4419286847114563
BCL6B,RHOJ,0.43992942571640015
SFN,TNS4,0.4374205470085144
AGTR1,SSTR2,0.4340944290161133
CDH5,GIMAP6,0.43327078223228455
CDH5,F2RL3,0.4296804368495941
PDGFRB,ZEB2,0.42951294779777527
S100A9,S100A8,0.42817482352256775
VWF,BCL6B,0.42777374386787415
KRT17,KRT6B,0.4252982437610626
SHROOM3,TFAP2A,0.42525696754455566
CCRL2,FLT1,0.4247604310512543
CLDN7,CD24,0.42141804099082947
NID1,MEDAG,0.4204520881175995
DPT,GFPT2,0.4189005494117737
CLDN7,ELF3,0.41789349913597107
BCL6B,F2RL3,0.41770073771476746
CLDN7,KRT19,0.4175439476966858
KRT8,S100A14,0.4157094359397888
KRT19,CD24,0.4155885577201843
CLDN5,TMEM255B,0.4149719476699829
CDH5,PECAM1,0.41483446955680847
CLDN4,ELF3,0.4143574833869934
BCL6B,GIMAP6,0.41407546401023865
ENPEP,KCNE4,0.41287747025489807
KRT5,KRT6B,0.4128556251525879
HGF,CTSL,0.41159069538116455
POU2F1,BRAF,0.41092056035995483
MEDAG,HGF,0.41052666306495667
GIMAP6,PTPRB,0.4097028970718384
HSPA1B,HSPA1A,0.408332884311676
KRT7,CDCP1,0.408158540725708
THAP2,CRISPLD2,0.4076533019542694
ENPEP,ZEB2,0.40602537989616394
ACKR1,SELE,0.4038700759410858
TACSTD2,S100A14,0.403463214635849
GFPT2,MMP2,0.3993384838104248
CNRIP1,GNG11,0.3988625109195709
ERBIN,POLK,0.3987184166908264
TMEM45B,AZGP1,0.3970421254634857
SFN,S100A2,0.39573729038238525
GIMAP6,MYCT1,0.39524099230766296
ADGRF5,APOLD1,0.3951990306377411
S1PR1,PCAT19,0.3948921859264374
PECAM1,ADCY4,0.3948591649532318
KRT7,KRT16,0.39449912309646606
S100A14,FXYD3,0.3936978280544281
