gene,weighted_degree,degree
KRT7,10.136209234595299,35
IRF6,9.827674075961113,35
SFN,9.488858297467232,29
KRT8,9.44685284793377,36
S100A14,9.388797953724861,33
PECAM1,9.142500400543213,32
CDH5,9.114610195159912,28
BCL6B,8.567882269620895,29
TACSTD2,8.49843342602253,30
CLDN7,8.120700359344482,29
VWF,8.104259416460991,29
GIMAP6,7.526184752583504,27
PTPRB,7.448660954833031,28
DCN,7.297563150525093,26
CDH3,7.2889678329229355,31
CD24,7.064357340335846,30
ECSCR,6.827151879668236,23
F2RL3,6.470445841550827,23
LAMB3,6.462187364697456,27
FXYD1,6.22847093641758,25
COL6A3,6.132445856928825,25
TFAP2C,5.918631657958031,26
ADGRL4,5.902199178934097,24
DPT,5.895320922136307,21
GFPT2,5.890014484524727,25
CLDN5,5.885029092431068,21
CDCP1,5.860028058290482,24
PARD6B,5.857820317149162,26
VAMP8,5.83371177315712,24
KRT16,5.778648719191551,24
TMEM40,5.758465588092804,24
ANGPT2,5.738210126757622,25
KRT19,5.652931064367294,22
MYCT1,5.641194209456444,22
KRT6B,5.622267544269562,22
FXYD3,5.578004494309425,22
ENPEP,5.480323895812035,18
KRT23,5.449134439229965,21
TPM1,5.244869098067284,26
TNS4,5.2118275463581085,18
GIMAP7,5.177419483661652,21
TRIM29,5.132744178175926,20
PRSS22,4.991484493017197,20
CLDN4,4.9288142919540405,19
KRT5,4.9273602068424225,14
TIE1,4.896760419011116,21
ITGB6,4.887622505426407,20
S1PR1,4.822299808263779,20
EP300,4.762660726904869,18
ERBIN,4.75907726585865,20
MMP19,4.734526351094246,17
ADCY4,4.717550203204155,17
NID1,4.659654006361961,20
TMEM30B,4.588890686631203,20
PDGFRB,4.572011306881905,16
ANXA3,4.551828637719154,19
CRISPLD2,4.461748033761978,17
SERPINF1,4.395400255918503,17
LUM,4.372860625386238,16
KDR,4.353920176625252,18
ZNF276,4.34685717523098,19
KLK5,4.311617374420166,20
ELF3,4.267909288406372,15
POLK,4.258956626057625,19
CALCRL,4.139066889882088,19
TCF4,4.108531713485718,16
AZGP1,4.0482974499464035,17
RHOJ,4.012996256351471,14
KRT17,3.9613833725452423,13
SAA1,3.925422355532646,16
FAM193A,3.923458993434906,15
FGF7,3.8811071664094925,17
SLC2A3,3.849365249276161,15
S100A2,3.846930593252182,14
ZEB2,3.8237878680229187,14
THAP2,3.821406438946724,15
WFDC2,3.8165403008461,14
CNRIP1,3.814060017466545,16
PLIN2,3.7886934727430344,17
PCAT19,3.781892031431198,15
CTSL,3.7560594379901886,16
ITGA3,3.750937044620514,18
NEDD4L,3.7508935630321503,17
SRPX,3.6989404261112213,16
MCTP1,3.638705626130104,17
LAMA4,3.552265241742134,14
EBF1,3.5496315211057663,16
NR2C2,3.5380055904388428,16
KLK10,3.5133387595415115,16
HHEX,3.4821949303150177,16
SSTR2,3.472750946879387,13
CDH1,3.417906269431114,14
POU2F1,3.4112893491983414,15
GEM,3.376734972000122,15
MEDAG,3.3730079233646393,13
BRAF,3.334744319319725,12
FLT1,3.3123705834150314,14
TFAP2A,3.255501687526703,15
TMC5,3.133793532848358,12
ADGRF5,3.132937803864479,12
RASGRP3,3.1223431527614594,14
HGF,3.099647894501686,12
RBM10,3.096952587366104,14
MMP2,3.080804780125618,13
SDC1,3.038263961672783,14
MMP7,2.9822381287813187,13
EDNRB,2.905468910932541,11
IGFBP7,2.869114026427269,13
TMEM255B,2.8521429151296616,12
REV1,2.8460216373205185,12
ZG16B,2.844305321574211,14
