gene_a,gene_b,weight
CTSK,OGN,0.8071584105491638
ODR4,SIAH1,0.7953400611877441
MAL2,CLDN7,0.7926270365715027
ADAM17,NFAT5,0.7789126038551331
ODR4,SPART,0.7714467644691467
UTP25,TRNT1,0.7673898339271545
USP38,BRD1,0.7585487365722656
FBXO30,ADNP2,0.7550983428955078
B3GALNT2,RBFOX2,0.7539156675338745
B3GALNT2,BEX3,0.7510713338851929
RBFOX2,BEX3,0.7468565106391907
CLDN7,KRT23,0.7461923360824585
RBFOX2,SNHG10,0.736555278301239
RLIM,KIN,0.7175408005714417
SIAH1,SPART,0.7146827578544617
TRNT1,NUP88,0.7044361233711243
Z97200.1,S1PR3,0.7021425366401672
FBXO8,FAM193B,0.6971157193183899
SLC25A25,ZBTB21,0.6966838836669922
GLMN,CDK5RAP1,0.6961060762405396
TOP1MT,ANKRD54,0.6959252953529358
ECSCR,EGFL7,0.6953591108322144
EMCN,MYCT1,0.6890633702278137
USP38,RPRD2,0.6890244483947754
NUP88,ZNF143,0.6841958165168762
MT-CO1,MT-CO3,0.6825957894325256
BRD1,RPRD2,0.67779141664505
ASAP2,RNF217,0.6765431761741638
EGFL7,MYCT1,0.675376296043396
SIAH1,UBR5,0.6747993230819702
RRP12,DDX28,0.6725733876228333
RC3H1,RFX1,0.6709452867507935
RBFOX2,HEATR1,0.6704322695732117
SNHG10,HEATR1,0.6701734066009521
CHORDC1,MAFF,0.669623076915741
ODR4,UBR5,0.6669665575027466
ECSCR,F2RL3,0.6654242873191833
KIN,CLP1,0.6637431979179382
MAL2,KRT23,0.6606166362762451
OXSR1,HELZ,0.6606085896492004
MYCT1,RHOJ,0.6602537035942078
MAP1B,EEA1,0.6575100421905518
SLC20A1,NUP153,0.6574212312698364
SART3,CCP110,0.6572739481925964
ECI2,SMARCE1,0.6553219556808472
SIAH1,ZBTB21,0.653037428855896
MAP1B,TCEAL9,0.6498962044715881
UTP25,KIN,0.6489315629005432
SLC7A8,MEIS3,0.6476426720619202
CCNT2,PRPF39,0.6434353590011597
PLEKHG1,PTPRB,0.6432969570159912
NFAT5,SLK,0.6428631544113159
CDC23,RFC2,0.6423032283782959
MLLT11,PDGFRB,0.6406804323196411
ARID2,SIN3A,0.6389898657798767
CHORDC1,CTR9,0.6382832527160645
GTF2B,REL,0.6356655955314636
SIAH1,EID2,0.6356078386306763
LEMD3,TMEM251,0.6339481472969055
UTP25,RLIM,0.6313115358352661
RCL1,FAM208B,0.6307765245437622
OXSR1,CCDC66,0.6307334303855896
GATAD2B,CEMIP2,0.6294424533843994
TERF1,PKNOX1,0.6282954216003418
HSPB11,UPF3B,0.6281681656837463
ADAM17,SLK,0.6280665993690491
SLK,SIN3A,0.627148449420929
REV1,MORC3,0.6268817782402039
FAM208B,TFRC,0.6267016530036926
RLIM,TFB2M,0.6259155869483948
LRRC8A,AMFR,0.6247735023498535
FAM208B,PKNOX1,0.6242057085037231
LRRC8A,PXDC1,0.6239215731620789
S100A14,KRT7,0.6238027811050415
ADH5,FAS,0.6235344409942627
PUM2,ZBTB7A,0.6218929886817932
GIMAP7,GIMAP4,0.6214637756347656
CREBRF,ZC3HAV1,0.6213663220405579
ITGA3,DMKN,0.6207059621810913
IRF6,MAP7,0.6204824447631836
RRP12,HYPK,0.6197828650474548
TCEAL9,ARL13B,0.6195883750915527
RCHY1,FBXO21,0.6191017627716064
UTP25,NUP88,0.6183561086654663
TRNT1,RPAP3,0.6180884838104248
NFAT5,SIN3A,0.6179684996604919
SIAH1,SLC25A25,0.6177048087120056
FBXO30,HEATR1,0.6169998645782471
ZBTB21,UBR5,0.6168665289878845
USP1,USP7,0.6140334010124207
B3GALNT2,AMFR,0.6138781309127808
EGFL7,RHOJ,0.6135441660881042
RASSF8,PEAK1,0.6132350564002991
SIN3A,TMEM263,0.6115670800209045
LMBR1L,EZH1,0.6113418340682983
RC3H1,TRIM24,0.609775185585022
DNAJB4,CCNL1,0.6077330708503723
ZFC3H1,ASXL1,0.6073213815689087
RBM15,CBLL1,0.6047996878623962
KLF9,NFIL3,0.604038655757904
PPARG,LRRC32,0.6037278175354004
ZBTB21,MLF1,0.603373646736145
SLC38A6,ALKBH1,0.602851927280426
RRAGB,ZBED5,0.6023483872413635
TPP2,CTDSPL2,0.6022055149078369
RLF,HEXIM1,0.6020799875259399
UBR5,MKLN1,0.6020184755325317
SLF1,MALT1,0.6011626124382019
HEATR1,TMEM185B,0.601065993309021
BGN,HAS1,0.6008903384208679
TCF7L1,BCAR1,0.600723922252655
TMEM184C,ZNF383,0.6005252599716187
CDK5RAP1,SMG6,0.6005072593688965
PHC3,WDR55,0.6004084944725037
NUP88,RPAP3,0.6000704765319824
EPM2AIP1,PTEN,0.5996204018592834
AC097376.2,NFX1,0.5992289185523987
LRRC8A,SLCO3A1,0.5987505316734314
EMCN,CALCRL,0.598705530166626
LRRC8A,BCAR1,0.5970301628112793
IPO9,SGTA,0.5970290899276733
ZBTB7A,TOB2,0.5965819358825684
PIKFYVE,EAF1,0.5962926149368286
KPNA5,ATG14,0.5957311987876892
KLF9,TACC1,0.5957235097885132
NUP153,PCF11,0.5952914953231812
CREB5,AXL,0.5944014191627502
ZFC3H1,PCF11,0.5942323803901672
RBM33,PPP2R2D,0.5941523909568787
BCAR1,SGMS2,0.5940782427787781
TSC22D2,TIPARP,0.5928575992584229
RANBP2,TBC1D15,0.5924956798553467
MAFF,CEBPD,0.5920249223709106
ZNF143,ERVK3-1,0.5914702415466309
SEMA4C,ZFHX3,0.5910794734954834
RANBP2,OGT,0.5908722281455994
USP53,PLIN3,0.5905183553695679
TRNT1,KIN,0.5898317694664001
ZNF638,BAG4,0.5894232988357544
HELZ,NF1,0.589372456073761
BAG3,HSPH1,0.5886936187744141
NUP88,CLP1,0.5886756181716919
TOP1MT,ZNF324,0.5886417031288147
CNST,SNN,0.5885127782821655
DDR2,EXT1,0.5881792902946472
NFIA,BHLHE40,0.5879834890365601
ANKRD54,ZNF324,0.5876226425170898
CBLL1,MON2,0.5874230265617371
ZNF638,IQCB1,0.5871602296829224
OXSR1,NF1,0.5863876342773438
EXT1,SRGAP1,0.5863219499588013
ZRANB1,DENND4A,0.5858587026596069
ODR4,EID2,0.5858569145202637
TRNT1,ERVK3-1,0.5852564573287964
C8orf88,CCND2,0.5852396488189697
TFRC,KAT8,0.5850290060043335
SIAH1,MLF1,0.5844336152076721
CWC22,SLC36A4,0.584334135055542
RCL1,TFRC,0.5843030214309692
TRPM7,THOC1,0.5839797258377075
IAH1,SPTY2D1,0.5834410786628723
MICU3,PI4K2A,0.5820304751396179
FBXO21,CWC22,0.5820194482803345
PIP5K1A,IRS2,0.5816844701766968
LARP7,THUMPD1,0.5815843939781189
OTUD7B,SERTAD2,0.5815512537956238
ZNF638,ATL2,0.5815156698226929
INTS4,USPL1,0.5810094475746155
RNF168,FAM193A,0.5808880925178528
CRABP2,PHLDA3,0.5807642936706543
PPARG,CNRIP1,0.580676794052124
ARL3,CRKL,0.5804890394210815
SNN,C1orf21,0.5795252323150635
MYCT1,C2CD4B,0.5792204141616821
RLIM,LINC02001,0.5791409611701965
NOL8,GPATCH2L,0.5790855884552002
IRF6,KRT16,0.5789195895195007
TPP2,EAF1,0.5787593126296997
HSPD1,UTP4,0.5787352323532104
TMEM41B,AP1G1,0.5786511898040771
RBM15,MON2,0.5778368711471558
AMPD2,LIPT1,0.5772102475166321
ZFC3H1,ANP32E,0.5771663784980774
SPART,ZBTB21,0.5770783424377441
KCNQ1OT1,TWSG1,0.5767514109611511
ECSCR,MYCT1,0.576593816280365
SART3,FAM193A,0.5761824250221252
RLIM,ETV3,0.5757970213890076
EGFLAM,COL14A1,0.5750942826271057
MMD,AC010618.3,0.5750150084495544
ADAM17,TRPM7,0.5749399662017822
SMARCE1,ARID2,0.5745701193809509
SIN3A,SFXN5,0.5736666321754456
C1orf21,RIT1,0.5735878944396973
UBR5,CEP89,0.5729526877403259
PDE12,PRPF4,0.571999728679657
ZNF143,RPAP3,0.571811854839325
LRRC32,GRASP,0.5710300803184509
THOC1,HSF2,0.5709953904151917
TRNT1,RLIM,0.5705227255821228
HOXA5,CALD1,0.5702964663505554
PKNOX1,USP7,0.5698034167289734
ISG15,IRF7,0.5695750117301941
ORC4,CLCF1,0.569570779800415
NFAT5,TSC22D2,0.5692077875137329
SART3,SMARCE1,0.5687960982322693
CDKN2C,NR4A3,0.5687193870544434
REV1,STRN3,0.5680865049362183
NFAT5,TIPARP,0.5674668550491333
RLF,KCNQ1OT1,0.567401111125946
LHFPL2,TPBG,0.5672361850738525
ADH5,ADAL,0.5667282342910767
RCL1,HSPD1,0.5665485858917236
HSPB11,XPA,0.5664332509040833
HEG1,COX7A1,0.566022515296936
BAG4,CRKL,0.5655142068862915
MKLN1,CEP89,0.5650662779808044
TIPARP,NXF1,0.5650277733802795
ADNP2,NFIA,0.5649688839912415
MYCT1,KDR,0.5647322535514832
SLK,MYADM,0.5645023584365845
CNRIP1,A4GALT,0.564157247543335
ID4,SH3PXD2A,0.563481867313385
PXDC1,COX7A1,0.5632762312889099
BEX3,NFIA,0.5627982020378113
NF1,FTX,0.5623340606689453
MLF1,NOC3L,0.5622064471244812
HELZ,TRAPPC6B,0.5621830224990845
KIN,TFB2M,0.5620878338813782
KIN,NUP88,0.5620391964912415
SNX18,RRM1,0.5610353350639343
PTBP2,AL035071.1,0.5602747797966003
B3GALNT2,TRIP6,0.5600847005844116
FBXO30,RBM4B,0.5599867701530457
PTPRB,C2CD4B,0.5598610043525696
ODR4,ZBTB21,0.559757649898529
MAFF,CTR9,0.5596175193786621
UTP25,TFB2M,0.5592011213302612
ADNP,VAPB,0.5591119527816772
CHORDC1,HSPD1,0.5590590834617615
RICTOR,BRWD1,0.558544397354126
ATG14,OSBPL11,0.5584627985954285
HSPB11,TOB2,0.5579407811164856
USP33,TTBK2,0.5577487349510193
UCN,SRL,0.5577134490013123
ANKRD54,TOM1,0.5571106672286987
NFIL3,IGFBP4,0.5567531585693359
ZBTB7A,PPTC7,0.5566407442092896
B3GALNT2,ORC4,0.5565741062164307
MT-CO3,MT-CO2,0.5563391447067261
TRAPPC6B,SHPRH,0.5560353398323059
ECSCR,RHOJ,0.5559772849082947
PCF11,LARP7,0.5559533834457397
PKNOX1,PPRC1,0.5558520555496216
IQCB1,ATL2,0.5557265281677246
SPTY2D1,BAG5,0.5553023219108582
IGF2R,RAE1,0.5550177693367004
CPE,VASN,0.5546016097068787
TRNT1,ZNF143,0.5539323091506958
GPSM2,VCPKMT,0.5538564920425415
NR2F1-AS1,NR2F1,0.55381840467453
TRNT1,SART3,0.5537633299827576
RNF139,CRY1,0.5533031821250916
PER3,SETBP1,0.5517473816871643
UBR5,CCNT2,0.5514916777610779
METTL14,DMAC2,0.5512245297431946
B3GALNT2,SNHG10,0.5511595606803894
BEX3,SNHG10,0.5510231852531433
ADAM17,SMARCE1,0.5509277582168579
SACS,CDC42EP4,0.5504668354988098
Z97200.1,VASN,0.550059974193573
RCHY1,IPO9,0.5497890710830688
HSPD1,PDE12,0.5497208833694458
B3GALNT2,NME7,0.5493594408035278
WDR26,SLC38A2,0.5492416620254517
PXDC1,BCAR1,0.5489786267280579
HELZ,AFTPH,0.5488083958625793
FBXO21,RANBP2,0.5487968921661377
SLC20A1,ASXL1,0.548726499080658
CHORDC1,RCL1,0.5483922362327576
NUP88,THOC1,0.5483447313308716
ZBTB7A,ARID1A,0.5479084253311157
YY1AP1,CSPP1,0.5478013753890991
SACS,RHOQ,0.5476617813110352
FBXO21,GPATCH2L,0.547531247138977
BAG5,AFTPH,0.5475268959999084
CREBRF,ZRANB1,0.5472915172576904
NFAT5,MYADM,0.5471388697624207
KLF7,SWAP70,0.5467860698699951
ODR4,CSTF2T,0.5466212034225464
RBFOX2,CLCF1,0.5463613271713257
SLC20A1,RLF,0.546353280544281
METTL14,NUP107,0.5463435649871826
CRY1,ATF1,0.5461418628692627
HEATR1,ORC4,0.5460737347602844
USP7,FAM210A,0.5460448861122131
IDI1,NECAP1,0.545765221118927
SLC20A1,TLE4,0.5450922846794128
GLMN,SMG6,0.5449158549308777
WDR26,INO80D,0.5448428392410278
PHYH,AC020765.2,0.5443556308746338
ELK4,CRNKL1,0.5440453290939331
NFAT5,SMARCE1,0.5439781546592712
SLC20A1,HEXIM1,0.5436917543411255
GTF2B,PKNOX1,0.5433143377304077
UBR4,DNMT1,0.5431534647941589
ADNP2,PDP1,0.5430940389633179
RPA3,MTIF3,0.5430446267127991
KIN,LINC02001,0.5426666736602783
IPO9,VPS53,0.5426016449928284
PIP5K1A,IER5,0.542077362537384
ANP32E,FEM1C,0.5417765974998474
SLC37A3,RBM12,0.5415828824043274
MKLN1,DCLRE1C,0.5413981676101685
NFIA,BCL6,0.541057825088501
FBXO30,TPST1,0.5409743785858154
WRN,DOT1L,0.5407177209854126
TMEM47,SPRED1,0.5403891205787659
SLK,BMP2K,0.5403167605400085
MYADM,IER5,0.5399252772331238
IPO9,SHPRH,0.5397112965583801
UBR5,DCLRE1C,0.5395699739456177
THUMPD1,TRAPPC6B,0.5395298004150391
EMCN,CLEC14A,0.5395195484161377
ARNTL,DGKE,0.5390332341194153
PXDC1,SLC41A1,0.5389106273651123
KRT19,PI3,0.538858950138092
USP1,SPTY2D1,0.5388317704200745
NFATC3,CBX1,0.5387294292449951
CHORDC1,PCNA,0.5386214852333069
PDE12,SMAD5,0.5385562181472778
NF1,SNRNP200,0.5384963154792786
MYCT1,PTPRB,0.5382791757583618
HELZ,SHPRH,0.5382298827171326
THUMPD1,AFTPH,0.5381371974945068
ADAM17,SIN3A,0.5381004810333252
RAD1,IL4R,0.5375684499740601
SMAD5,GABPB1-AS1,0.5373252630233765
PIK3CA,TULP3,0.5373077392578125
UTP25,CLP1,0.5372938513755798
IRF6,LAMB3,0.53714919090271
METTL6,FOXJ2,0.5371468663215637
SLIT2,C1S,0.5370616912841797
PIK3CA,MGA,0.536740779876709
TRNT1,THOC1,0.536579430103302
RPAP3,THOC1,0.5365744829177856
CDC42EP4,DNAJA4,0.5363313555717468
SMARCE1,FAM193A,0.5361984968185425
WDR26,CCDC93,0.5358082056045532
PCF11,THUMPD1,0.535732090473175
OSGIN1,SOGA1,0.5356000065803528
PUM2,ZBTB43,0.5355338454246521
ZFC3H1,SPTY2D1,0.5352743864059448
SLK,CAMK2D,0.5349535346031189
SIN3A,CAMK2D,0.5348199605941772
RNF217,BCAR1,0.5347913503646851
SMARCE1,RNF168,0.5347288846969604
PCGF1,CXorf56,0.5344905257225037
USP7,BAG5,0.534322202205658
TMEM263,TRPM7,0.5342367887496948
RRP12,NOC3L,0.5338574051856995
ATP6V1H,CCNT1,0.5337740182876587
