gene,weighted_degree,degree
FBXO30,17.20397460460663,37
USP7,14.34587100148201,31
NFAT5,13.986646145582199,29
ADAM17,13.120291978120804,28
SLK,12.47550943493843,26
THUMPD1,12.199215978384018,26
ZFC3H1,12.008793443441391,26
CHORDC1,11.920926064252853,24
SIN3A,11.913232415914536,24
B3GALNT2,11.70679396390915,23
NF1,11.585698962211609,25
RBFOX2,11.551361173391342,23
RLIM,11.449552953243256,23
SMARCE1,11.246384292840958,23
TRNT1,10.847242325544357,21
TIPARP,10.764437437057495,23
LRRC8A,10.46599367260933,22
NUP88,10.438922315835953,21
ADNP2,10.28326764702797,22
RCHY1,10.261966496706009,22
ATF1,10.204842448234558,23
PKNOX1,10.015172123908997,21
HEATR1,9.984823882579803,20
FBXO21,9.57278522849083,20
BEX3,9.540047436952591,20
NFIA,9.473301500082016,20
ODR4,9.365841001272202,18
UBR5,9.351748257875443,18
RNF168,9.325353652238846,20
IPO9,9.079154193401337,19
AFTPH,9.066731929779053,20
PDE12,9.052872389554977,20
TRPM7,9.009631663560867,19
RCL1,8.867436677217484,19
PIP5K1A,8.858085244894028,19
KIN,8.827229231595993,17
ZBTB7A,8.764049738645554,19
WDR26,8.741409659385681,19
PCF11,8.712965935468674,18
ASXL1,8.654845148324966,19
PXDC1,8.547593474388123,18
ORC4,8.51543390750885,18
BAG5,8.401205271482468,18
SPART,8.373503416776657,17
SART3,8.29127824306488,17
OXSR1,8.175914406776428,17
USP1,8.132776468992233,18
HCG18,8.082727909088135,17
TSC22D2,8.047881662845612,17
SGTA,8.026657521724701,18
TRAPPC6B,7.907513052225113,17
ZBED5,7.8827038407325745,17
RANBP2,7.863017052412033,17
HSPD1,7.849285393953323,17
SIAH1,7.760554820299149,14
PUM2,7.748513758182526,17
CDK13,7.700077086687088,17
ZBTB21,7.694301575422287,15
NXF1,7.67562797665596,17
ZBTB43,7.640955597162247,17
MAFF,7.528261780738831,16
HELZ,7.326486557722092,15
FAM208B,7.282038331031799,15
SHPRH,7.093525260686874,15
MLF1,7.088069558143616,15
AMFR,7.080375999212265,15
ZNF143,7.0603296756744385,14
EMCN,7.014730095863342,14
MYCT1,7.008944481611252,13
REL,6.899184435606003,15
TOB2,6.8789046704769135,15
MYADM,6.796986758708954,14
PPTC7,6.744322419166565,15
TLE4,6.7123109102249146,15
GTF2B,6.632615268230438,14
SLC20A1,6.617362976074219,13
SPTY2D1,6.616975396871567,14
NOC3L,6.57757043838501,14
HSPB11,6.483139902353287,13
EEA1,6.464446485042572,14
COX7A1,6.40927666425705,14
INO80D,6.390947639942169,14
SNHG10,6.335590422153473,13
TERF1,6.256309300661087,14
SACS,6.099850028753281,13
ZC3H14,6.048609614372253,14
ANP32E,6.04294952750206,13
VPS53,6.00039529800415,13
PDP1,5.997390896081924,13
RHOJ,5.930096447467804,12
UTP25,5.9143149852752686,11
CLP1,5.88483864068985,12
CAMK2D,5.85285410284996,13
BCAR1,5.770140051841736,12
TFRC,5.757071256637573,12
PCNA,5.717682898044586,13
SAMD8,5.689159333705902,13
ERVK3-1,5.688599705696106,12
SNRNP200,5.68615061044693,12
CTR9,5.683567553758621,12
CCNT2,5.643643409013748,12
ARID2,5.575707882642746,12
ZRANB1,5.569243162870407,12
OGT,5.558905094861984,12
LARP7,5.5419831573963165,12
TFB2M,5.493405044078827,11
BAIAP2,5.471297413110733,12
RPAP3,5.457486093044281,11
NUP153,5.453386425971985,11
UBQLN2,5.341023504734039,12
ATG14,5.336917698383331,11
CENPT,5.312656283378601,12
RLF,5.2587867975234985,11
PLEKHG1,5.241939723491669,11
KAT8,5.220968157052994,11
GPATCH2L,5.207253962755203,11
CCP110,5.1975633800029755,11
PGRMC1,5.133340358734131,11
ECSCR,5.12471866607666,10
TOPORS,5.123391509056091,12
CCDC66,5.069540560245514,11
REV1,5.042820125818253,11
RBM4B,4.954915553331375,11
SPRTN,4.816680073738098,11
ADNP,4.805191278457642,11
CLCF1,4.800586581230164,10
EAF1,4.7904039323329926,10
F2RL3,4.783917456865311,10
TCEAL9,4.7098166942596436,10
FAM210A,4.704195916652679,11
PPRC1,4.701987117528915,10
DNAJA4,4.685014694929123,10
FOXC1,4.635297358036041,11
NECAP1,4.6297551691532135,10
DGKE,4.587374657392502,10
UPF3B,4.567647367715836,10
VAMP4,4.564109414815903,10
SLC25A25,4.5469584465026855,9
TPP2,4.529537409543991,10
SMAD5,4.51136639714241,10
ZNF638,4.509806931018829,9
THOC1,4.46203750371933,9
NOL9,4.456796884536743,10
FEM1C,4.45121693611145,10
SNAPC1,4.4372976422309875,10
SLC38A2,4.434677213430405,10
PRPF4,4.427213221788406,10
RIT1,4.4248091876506805,10
EGFL7,4.412690341472626,8
MED17,4.40675762295723,10
WRN,4.403768330812454,10
EID2,4.390355616807938,9
FAM193A,4.381315052509308,9
CEP89,4.368515640497208,9
MSH6,4.327768802642822,10
PTPRB,4.2698284685611725,9
NME7,4.181989133358002,9
SNIP1,4.152809530496597,9
ANKRD54,4.1297567486763,8
MKLN1,4.121247261762619,8
SGMS2,4.111543506383896,9
IAH1,4.093788385391235,9
EPM2AIP1,4.065500974655151,9
OTUD7B,4.0644809901714325,9
CTDSPL2,4.064456552267075,9
RBM12,4.062474757432938,9
ERICH1,4.055362701416016,9
ZSWIM6,4.0388253927230835,9
ZCCHC8,4.016287475824356,9
PTEN,4.012889087200165,9
IER5,3.948487788438797,8
BRWD1,3.946217358112335,9
KCNQ1OT1,3.822525769472122,8
BAG4,3.8067223131656647,8
CRY1,3.8053760826587677,8
HEXIM1,3.8029211461544037,8
C3orf58,3.716336250305176,8
RRAGB,3.7060221135616302,8
SLC41A1,3.6784815192222595,8
TRIP6,3.6731878519058228,8
RC3H1,3.6336967647075653,7
MIR4458HG,3.6248205304145813,8
NBL1,3.6063837110996246,8
PHACTR4,3.5997071266174316,8
YY1AP1,3.5818290412425995,8
USP38,3.577218621969223,7
STK3,3.564058840274811,8
TSHZ2,3.562995880842209,8
SEMA4C,3.5527264773845673,8
TAPT1,3.543842166662216,8
PISD,3.5421073138713837,8
NUP107,3.539585381746292,8
ISCA1,3.5387197732925415,8
UBR4,3.4952202439308167,8
RBM15,3.475074976682663,7
TMEM263,3.4601814448833466,7
DCLRE1C,3.430987447500229,7
GABPB1-AS1,3.417585015296936,7
CWC22,3.394241213798523,7
IRF6,3.3928558826446533,7
CPE,3.387966811656952,7
ARL3,3.3710680305957794,7
C2CD4B,3.349006801843643,7
ECI2,3.342788130044937,7
DENND4A,3.3306758105754852,7
ETV3,3.262241244316101,7
TACC1,3.23524871468544,7
TMEM185B,3.232475221157074,7
ARID1A,3.2308493554592133,7
MAL2,3.1947193443775177,6
OFD1,3.1879303455352783,7
DDX19A,3.186946541070938,7
EMP2,3.18509304523468,7
CAPN7,3.1536979973316193,7
ELK4,3.1482073068618774,7
RHOQ,3.1388465464115143,7
ZNF771,3.1201157569885254,7
TWSG1,3.1156009435653687,7
HIVEP1,3.108124703168869,7
BCL6,3.0924638509750366,7
MTF2,3.0844671428203583,7
RRP12,3.073531985282898,6
ATP6V1B2,3.0471117198467255,7
RNF217,3.043722301721573,6
ANKRD49,3.043054223060608,7
KLF9,3.022098481655121,6
ADH5,3.007507085800171,6
HYPK,2.981500059366226,6
MCM7,2.9718773663043976,7
KPNA5,2.969010651111603,6
MIS12,2.958358556032181,7
LINC02001,2.957726389169693,6
TBC1D15,2.924448549747467,6
KDR,2.9235898852348328,6
CLDN7,2.9170915484428406,5
IGFBP4,2.8846475481987,6
TMEM251,2.8704083263874054,6
PIK3CA,2.854803740978241,6
DNMT1,2.854613333940506,6
SERTAD2,2.8481975495815277,6
HAUS8,2.845644235610962,6
CDC42EP4,2.8424313366413116,6
CRKL,2.840824455022812,6
METTL14,2.834024041891098,6
HSPH1,2.8292662501335144,6
CBX1,2.8193461894989014,6
LMBR1L,2.8154698312282562,6
BRD1,2.8133775293827057,5
VCPKMT,2.8123044967651367,6
PPP1R15B,2.799765944480896,6
DSEL,2.7997281551361084,6
FTX,2.7966076135635376,6
CLEC14A,2.794892191886902,6
HEG1,2.7751371264457703,6
CSKMT,2.7632795870304108,6
CCDC186,2.7417403161525726,6
PFKFB3,2.7394827604293823,6
AP1G1,2.7315576672554016,6
RNPC3,2.7314951419830322,6
EP300,2.730399876832962,6
ZNF574,2.7298837900161743,6
TUT7,2.720569133758545,6
LAMB3,2.6958125233650208,6
CDC27,2.6802695393562317,6
RNF139,2.6720829904079437,6
TAF1B,2.6628816723823547,6
RNF24,2.6478245854377747,6
TDRP,2.621424913406372,6
ZNF274,2.611210733652115,6
CTSK,2.5972242951393127,5
PPARG,2.5827027559280396,5
SPIN1,2.5652812123298645,6
KIF13A,2.560362994670868,6
NKIRAS1,2.5560247600078583,6
TCF7L1,2.524907886981964,5
LRRC32,2.468258887529373,5
ASAP2,2.450854390859604,5
CEBPD,2.440600037574768,5
SMG6,2.4391207695007324,5
BAG3,2.4307504296302795,5
GATAD2B,2.4160474836826324,5
NFX1,2.412663519382477,5
AC097376.2,2.3934088349342346,5
NFATC3,2.3565508127212524,5
LHFPL6,2.3527183830738068,5
POR,2.347566932439804,5
RFC2,2.3319488167762756,5
RALGAPA1,2.304545432329178,5
CCDC93,2.294186919927597,5
UBTD2,2.2890014946460724,5
SLC36A4,2.2841221690177917,5
RGMB,2.283015787601471,5
RBM33,2.2790540754795074,5
SLC37A3,2.2707290649414062,5
TMEM67,2.2651887834072113,5
UNK,2.264473170042038,5
TLE3,2.2534267902374268,5
KIAA1586,2.2483434677124023,5
SARNP,2.2432222068309784,5
LBR,2.2335783541202545,5
ELL,2.226663261651993,5
TWISTNB,2.217865973711014,5
PLXNA2,2.213429242372513,5
CREBZF,2.2076371908187866,5
DYRK3,2.182251274585724,5
RPRD2,2.1804910004138947,4
FCF1,2.1759023666381836,5
BOD1L1,2.16940838098526,5
ZC3H8,2.16828516125679,5
ELF1,2.1672020256519318,5
PDS5B,2.164761006832123,5
TNRC6B,2.1476856768131256,5
ZNF689,2.144807904958725,5
CLDN5,2.144532561302185,5
CBLL1,2.1426796913146973,4
TENT4A,2.134217381477356,5
CEP290,2.1336134672164917,5
CNRIP1,2.13321989774704,4
GLMN,2.1200127005577087,4
KRT17,2.1188296377658844,5
EPB41L2,2.116277366876602,5
RELT,2.1126265227794647,5
RNF19A,2.1041533648967743,5
TEX10,2.103824704885483,5
ADAMTS12,2.095118999481201,5
CREBRF,2.0658469796180725,4
PLK2,2.059433251619339,5
DDX28,2.048151046037674,4
MON2,2.037469744682312,4
VASN,2.024931490421295,4
PDGFRB,2.023518890142441,4
IQCB1,2.0188298523426056,4
