community,n_nodes
1,155
2,129
3,89
4,80
5,75
6,58
7,47
8,41
9,23
10,23
11,16
12,15
13,14
14,11
15,10
16,9
17,9
18,9
19,9
20,8
21,8
22,8
23,6
24,6
25,6
26,6
27,6
28,5
29,5
30,4
31,4
32,4
33,4
34,4
35,4
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
