gene_a,gene_b,weight
HLA-DRA,HLA-DRB1,0.8014647364616394
NUF2,ASPM,0.7762729525566101
HLA-C,PSMB8,0.7627547979354858
HLA-C,HLA-B,0.7597483992576599
CDCA8,CENPA,0.7412170171737671
HLA-B,B2M,0.7405987977981567
RBM19,LRRC37B,0.7313376069068909
COL5A2,COL1A2,0.7172194719314575
HCST,CD37,0.7112221121788025
KRT7,FXYD3,0.7059249877929688
C1S,COL6A2,0.7041430473327637
SPARC,PRSS23,0.7036686539649963
NUF2,AURKA,0.7017328143119812
RGP1,TEFM,0.7005676627159119
DCAF17,ASB6,0.6986119747161865
ATAD2B,IPO8,0.6982119083404541
MT-CO2,MT-ATP6,0.6979602575302124
TAPT1,EZH1,0.6968340277671814
MT-ATP6,MT-ND3,0.687468409538269
CCND1,NDRG2,0.6848028898239136
HLA-B,IFI6,0.6811962723731995
HLA-DRA,CD74,0.6760042905807495
ZC3H7A,SLC5A3,0.6738220453262329
TRIM39,BTRC,0.6715211868286133
ZNF445,ICE2,0.6633281707763672
CCNB2,TK1,0.663123607635498
RPS6,RPL21,0.6627190709114075
COL1A2,FBN1,0.6596123576164246
SLC5A3,PHC3,0.6582784652709961
ASPM,TPX2,0.657808244228363
TMEM167B,USF3,0.6562413573265076
BUB1,KNL1,0.6538581848144531
EPCAM,PERP,0.6530060172080994
C1S,NNMT,0.6528577208518982
KRT8,KRT18,0.652658998966217
CUL3,SMG1,0.6500418782234192
PSMB8,TAP1,0.6500217318534851
MT-CO2,MT-ND3,0.6478419303894043
PHC3,RNF4,0.6471430063247681
IPO8,USF3,0.6469108462333679
FBLN2,ISLR,0.6448631882667542
SP100,C19orf66,0.6408666968345642
ASPM,HMMR,0.6384630799293518
COL6A2,NNMT,0.6364884972572327
RBMS3,COL14A1,0.6351456642150879
ZNF26,BRF1,0.634741485118866
IFI6,ISG15,0.6331487894058228
WDTC1,SPHK2,0.6310974955558777
EPCAM,KRT18,0.6284893751144409
TAPT1,ZNF10,0.6283031105995178
BTRC,RPS6KB1,0.6264073252677917
FAM208A,E2F4,0.6259033679962158
USF3,ZC3H4,0.6254357099533081
CYTOR,MIR4435-2HG,0.6231688857078552
PERP,KRT8,0.6219571232795715
COL6A2,LHFPL6,0.6219426989555359
CENPE,TOP2A,0.6198543310165405
TMEM167B,METTL16,0.6197102069854736
KRT7,PERP,0.6195626854896545
WASHC1,HERC1,0.6172956824302673
S100A1,CD24,0.615539014339447
HLA-C,TAP1,0.6150140762329102
COL5A2,FBN1,0.614620566368103
TMEM167B,TCTN3,0.6131208539009094
PSMB8,HLA-B,0.6093736886978149
OTULIN,PHRF1,0.6074683666229248
EPCAM,KRT8,0.6070969104766846
POLK,CLK4,0.6053063273429871
FAM160B1,RORA,0.6050859093666077
TCTN3,HECTD4,0.6047412753105164
NUF2,TPX2,0.6041139960289001
ZC3H7A,INTS6L,0.6035783886909485
DCAF17,ZNF138,0.6025328636169434
RPS6KB1,NAA30,0.6024109721183777
ZDHHC18,NARFL,0.5984222292900085
RGP1,C21orf91,0.5977546572685242
HCST,FMNL1,0.5976033210754395
WASHC1,LENG8,0.5960384607315063
CLK1,SPTY2D1,0.5960107445716858
IPO8,TMEM167B,0.5958613157272339
ZC3H7A,MCPH1,0.5956178903579712
TIMP1,SERPING1,0.5952405333518982
COL6A2,AEBP1,0.5948368310928345
TPP1,PTPRE,0.5947455167770386
CCDC93,KLHL28,0.592261552810669
PERP,DSP,0.591981828212738
PRSS23,LHFPL6,0.5918141603469849
PITPNM1,COX10,0.5917743444442749
ASPM,KNL1,0.5914358496665955
PRSS23,NNMT,0.5892483592033386
TMEM167B,LENG8,0.5877988934516907
ELF3,CLDN4,0.5875877141952515
SLC5A3,C2orf49,0.5867218971252441
WDTC1,SLC26A11,0.5859236121177673
CD24,CLDN4,0.5844597220420837
KDM4C,AP1G1,0.5834064483642578
MRPL1,AQR,0.5829964876174927
HLA-C,B2M,0.5829375386238098
SACM1L,ANKRD49,0.5823274850845337
KRT7,KRT8,0.5816563367843628
SLC25A16,ZNF44,0.5814960598945618
EEFSEC,KDM6A,0.5812225937843323
RNF4,POLR2A,0.5809834599494934
NFKB1,DENND4A,0.5792523622512817
VAMP4,KLHL20,0.5773453712463379
KDM6A,ADAT1,0.5751372575759888
CBLL1,FBXW4,0.5750097036361694
SNRNP200,GABPB1-AS1,0.5746669769287109
SLC25A16,ORC2,0.5745778679847717
COL5A2,CFH,0.5736086368560791
RRNAD1,SETD4,0.5724651217460632
NUF2,CDCA8,0.5712828040122986
S100A14,MIA,0.5707056522369385
RBM19,ZNF26,0.5700046420097351
SNRNP200,ZNF431,0.5699260234832764
TMEM167B,ZC3H4,0.5697771906852722
PARP14,HLA-A,0.5683081150054932
TAP1,HLA-A,0.5682394504547119
AP1G1,WDR44,0.5677104592323303
ATAD2B,RNF6,0.5675127506256104
ASB6,SUPV3L1,0.5662429332733154
KDM6A,HMGN4,0.5653609037399292
HLA-DRA,SRGN,0.5652319192886353
OTULIN,KDM4C,0.5646889805793762
ATP7A,SLC12A6,0.5645051002502441
SPARC,LHFPL6,0.5638759732246399
AARSD1,CERS4,0.5634998083114624
SPARC,AEBP1,0.5631722211837769
WASHC1,COG3,0.562336802482605
CCNB1,BIRC5,0.5613124966621399
IPO8,ZBTB17,0.5611113905906677
KDM6A,EML2,0.5603232383728027
IPO8,USP24,0.5595855712890625
HECTD4,SCAI,0.5583716630935669
METTL16,TCTN3,0.55802983045578
KDM4C,ZBTB11,0.5579517483711243
CDK11A,EDRF1,0.5570806264877319
CARF,GTPBP10,0.5566277503967285
ZC3H4,USP24,0.5562893152236938
HLA-B,BST2,0.5562592148780823
FXYD3,KRT8,0.5559834241867065
NAA30,MSL2,0.5554220080375671
TAP1,STAT1,0.555134654045105
ZNF844,ALG12,0.554383397102356
CLK1,PRDM2,0.5537565350532532
SPG11,ZZEF1,0.5535773634910583
OTULIN,ZNF654,0.5532956719398499
RAPGEF6,R3HCC1L,0.5531646013259888
SMG1,RBM5,0.5528984069824219
C1S,AEBP1,0.5525200366973877
ZNF431,VPS13A,0.5513907670974731
FYCO1,SMG6,0.5501660108566284
OTULIN,RC3H1,0.5501190423965454
CHD2,MKNK2,0.5490754246711731
ASPM,AURKA,0.5485664010047913
PRSS23,RBMS3,0.5480538010597229
ZC3H7A,RNF4,0.5478851795196533
BRF1,CASD1,0.5478441119194031
NFKB2,RAB8B,0.5477805137634277
ATAD2B,USF3,0.5472450852394104
E2F4,KDM4C,0.5471227765083313
KRT14,KRT17,0.5466907024383545
SZT2,LRIG2,0.5464469194412231
METTL16,KLHL18,0.5463384985923767
RGP1,NIFK-AS1,0.5461361408233643
HECTD4,AARSD1,0.5453663468360901
LENG8,COG3,0.5448006987571716
IL6ST,SEC23A,0.544645369052887
SETD2,MALT1,0.5443676710128784
FXYD3,ELF3,0.5437785983085632
ZNF654,RC3H1,0.5435407757759094
KNL1,HMMR,0.5424612760543823
CD24,MAL2,0.5424273014068604
IFI6,BST2,0.5418398976325989
TMEM167B,KLHL18,0.5409613847732544
CBLL1,SSH2,0.5403984189033508
EZH1,SPATA2L,0.5399770736694336
AGK,TRAF2,0.5397696495056152
LENG8,POLR2A,0.5393878817558289
HERC1,EXOSC6,0.5389954447746277
PHC3,LENG8,0.5388407111167908
TEFM,TMEM161B,0.538662850856781
SLC5A3,CDK11A,0.5385655164718628
EML2,CSKMT,0.5383661985397339
EDRF1,GNB5,0.5380075573921204
FBN1,COL1A1,0.5379946231842041
SPARC,BMP1,0.5373417735099792
HLA-C,HLA-A,0.5368401408195496
RBM5,ZBED5,0.5365223288536072
MCPH1,POLR2A,0.5363627076148987
HERC1,SMG6,0.5361865758895874
ALG12,QSOX2,0.5358388423919678
KLHL28,CAPN7,0.5347015857696533
EEFSEC,HMGN4,0.5339404940605164
ATAD2B,ZBTB17,0.5337618589401245
TPX2,FANCD2,0.533623993396759
VTI1A,SHLD1,0.5327041149139404
ZC3H7A,PHC3,0.5324810147285461
OTULIN,AP1G1,0.532274067401886
CLK4,ENTPD4,0.5319709777832031
C21orf91,RNF6,0.5318599939346313
CBLL1,AGK,0.5317811965942383
TRIM39,RPS6KB1,0.5313782691955566
KDM4C,RC3H1,0.5313547849655151
HLA-B,TAP1,0.5312668085098267
DELE1,CYB5D2,0.5312191247940063
PRSS23,AEBP1,0.5311122536659241
HERC1,LENG8,0.5310583710670471
ZC3H7A,POLR2A,0.5309041738510132
HECTD4,MRPL10,0.5308257937431335
HECTD4,PGM2L1,0.5290777683258057
TCTN3,CYB5D2,0.5287184715270996
COL6A2,PRSS23,0.5284621119499207
OTULIN,ZBTB11,0.5281445384025574
SSR4,FKBP2,0.5277676582336426
IRF1,JUND,0.5276964902877808
ZC3H4,TYK2,0.5276120901107788
GTPBP10,MCM9,0.5273299813270569
RNF4,HUS1,0.5270658731460571
ALG12,CLK2,0.5269520282745361
MSL2,CMTR1,0.5269225239753723
MCM9,CNNM3,0.526901125907898
ATAD2B,PPP1R12C,0.5265740156173706
COL1A2,CFH,0.5259475708007812
LINC00909,GGA1,0.5257093906402588
STAT1,IFIH1,0.5251320600509644
COL5A2,PRSS23,0.5251240134239197
POLR2A,KLHL18,0.5251224040985107
VPS13D,DENND4C,0.5247898697853088
AP3M2,INPP5F,0.5247827768325806
PRSS23,COL14A1,0.5245369672775269
CAPN10,SKIV2L,0.5242971181869507
E2F4,OTULIN,0.5238751173019409
PHRF1,KDM4C,0.5238699316978455
EML2,LINC01089,0.5238544344902039
KDM6A,AP3S2,0.5235472321510315
KDM6A,LINC01089,0.523185670375824
ASB6,NAA30,0.5229222774505615
TENT5C,ICAM3,0.5227895975112915
RGP1,SCAI,0.5227439403533936
LHFPL6,SPRY1,0.5223761796951294
TPX2,TOP2A,0.5221272706985474
ICE2,FAM208A,0.5220186114311218
MAP3K12,TCP11L2,0.5199807286262512
HLA-DRB1,SRGN,0.5197963118553162
EZH1,FAN1,0.5197095274925232
COL6A2,COL6A1,0.5186971426010132
HLA-B,ISG15,0.5185428261756897
ARFGAP2,PAN3,0.5182139277458191
HMGN4,LINC01089,0.5177813172340393
CUL3,KDM5C,0.5175284147262573
C2orf49,TMEM161B,0.5175096392631531
NNMT,LHFPL6,0.5174503326416016
SCAF8,NXF1,0.5172877907752991
EPCAM,DSP,0.5160648822784424
COL5A2,AEBP1,0.5157263875007629
COL1A2,AEBP1,0.5154138207435608
TOP2A,BIRC5,0.5145554542541504
DGKD,SP4,0.5145114064216614
