gene,weighted_degree,degree
TMEM167B,16.626483470201492,40
LENG8,16.240739226341248,39
METTL16,14.183486133813858,36
HECTD4,13.938148200511932,34
TCTN3,13.919136822223663,35
CDK11A,12.89531061053276,30
HERC1,11.995461404323578,29
IPO8,11.77486976981163,28
EDRF1,11.600244402885437,28
PHC3,11.125946432352066,27
CBLL1,11.051683783531189,28
USF3,10.858127415180206,26
RNF4,10.699190765619278,26
POLR2A,10.413860112428665,25
ZC3H4,10.29117289185524,25
RBM5,10.003442704677582,25
AGK,9.899101376533508,24
ATAD2B,9.763270437717438,23
ZC3H7A,9.692838281393051,22
PRSS23,9.576625257730484,21
WASHC1,9.420107185840607,23
KLHL18,9.40328335762024,23
RNF6,9.310248911380768,23
C21orf91,9.138057321310043,23
RGP1,8.885174602270126,20
KDM5C,8.701146185398102,23
MCPH1,8.492336302995682,21
BRF1,8.369378387928009,20
OTULIN,8.169564753770828,18
RC3H1,8.028881907463074,18
FAM208A,7.759560793638229,19
SLC5A3,7.6287340223789215,17
TMEM161B,7.612664669752121,19
E2F4,7.493339240550995,17
USP24,7.388857662677765,18
SMG6,7.105971038341522,18
ICE2,7.09301882982254,17
ZNF44,7.0606037974357605,18
FAM160B2,7.001597017049789,18
KDM6A,6.986382216215134,15
NNMT,6.963389664888382,15
AEBP1,6.933665484189987,15
SPARC,6.908260732889175,15
B2M,6.90474858880043,16
TOP2A,6.890371203422546,17
TEFM,6.655596524477005,16
SIAH2,6.640968054533005,18
C2orf49,6.62798547744751,17
KDM4C,6.6123144924640656,15
EXOSC6,6.484119743108749,16
HLA-B,6.426871448755264,12
LINC00909,6.4082997143268585,16
HTT,6.319352924823761,17
HLA-C,6.29616767168045,13
SMG1,6.259568154811859,15
JADE1,6.250552743673325,16
SSH2,6.122923195362091,16
CWF19L1,6.027560353279114,16
RBMS3,5.987766325473785,15
LHFPL6,5.986430495977402,13
FBN1,5.965855121612549,14
COG3,5.918923556804657,15
GGA1,5.9078956842422485,16
COL5A2,5.8755936324596405,13
INTS6L,5.872525602579117,15
CYB5D2,5.816597074270248,15
PHRF1,5.805519551038742,14
POLR3E,5.760933309793472,15
HUS1,5.757223665714264,15
PRDM2,5.708047181367874,14
HLA-A,5.688477575778961,13
CDC42SE2,5.673017233610153,14
PSMB8,5.528564840555191,12
COL14A1,5.522809237241745,13
AP1G1,5.487892597913742,12
SETD2,5.473645120859146,14
HMGN4,5.462590396404266,13
EML2,5.449052929878235,13
SCAI,5.44575098156929,13
ZBTB11,5.385638028383255,12
TMPO,5.368092358112335,15
SLC25A16,5.334931701421738,13
WDR44,5.333961665630341,13
CUL3,5.309957355260849,12
GNB5,5.269216865301132,14
DELE1,5.249897301197052,14
COL6A2,5.245618671178818,10
SNRNP200,5.231044769287109,13
ASPM,5.230418264865875,10
MALT1,5.2206889390945435,13
TPX2,5.1797581017017365,11
ASB6,5.144328236579895,11
PARP14,5.134842127561569,13
CLK1,5.112991273403168,12
CLK4,5.111806511878967,13
DPYSL3,5.0723592936992645,13
NAA30,5.042428880929947,12
SPTY2D1,4.944936692714691,12
TYK2,4.943800210952759,13
KRT7,4.883051425218582,10
ZNF654,4.879239469766617,11
PGM2L1,4.857535243034363,13
BRWD3,4.841122806072235,13
AQR,4.7820199728012085,12
PPP2R5C,4.748001337051392,12
EEFSEC,4.737887382507324,12
C1S,4.737018167972565,10
FXYD3,4.712513595819473,10
MED9,4.6287761926651,12
DHX38,4.61491796374321,12
TAP1,4.614055663347244,9
GTF3C1,4.579573392868042,11
LINC01089,4.558057636022568,11
CEP95,4.524034559726715,12
MRPL1,4.504155516624451,12
PERP,4.4879588186740875,9
NUF2,4.48479688167572,9
PRPF39,4.476430237293243,12
KRT18,4.437528699636459,10
TRAF2,4.424168646335602,11
ADAT1,4.419570744037628,11
CLASP1,4.418317943811417,12
CMTR1,4.412317365407944,11
RASA2,4.408778786659241,11
KRT8,4.351810842752457,8
RABEP2,4.306443005800247,12
MSN,4.268277406692505,11
EPCAM,4.256118595600128,8
RPS6KB1,4.25073429942131,9
CCDC80,4.240580320358276,11
TRIM39,4.2358793914318085,10
ZNF335,4.2262930274009705,12
USP38,4.194920569658279,11
GRK2,4.103377312421799,11
USP12,4.093253552913666,10
CLDN4,4.092723876237869,10
IFI6,4.08587583899498,9
COL1A2,4.081470400094986,8
GPATCH11,4.054269850254059,10
RRAGB,4.050094246864319,11
SP100,4.009487599134445,10
FRYL,3.962904155254364,11
CDCA8,3.9512463212013245,9
ZDHHC18,3.9277017414569855,11
ZNF26,3.926082730293274,9
DCAF17,3.8623143136501312,9
TDRD3,3.7973122000694275,10
KANSL1-AS1,3.79063019156456,10
PPP1R12C,3.7323205173015594,10
NEK9,3.7215245068073273,10
CSKMT,3.691217601299286,9
C15orf40,3.6890960335731506,10
CAPN10,3.686304450035095,9
SH3D19,3.664254128932953,10
POLK,3.6324158906936646,9
RBM19,3.620352178812027,8
NCOA1,3.6164937615394592,10
CFH,3.6162534654140472,8
FAM160B1,3.5990819334983826,9
DCP2,3.58185151219368,10
ZNF92,3.567666858434677,10
BTRC,3.561888426542282,8
TTC13,3.5544556379318237,9
NAF1,3.5128233432769775,9
CALD1,3.4141191244125366,9
SRGN,3.4095778465270996,8
MAP3K12,3.3928961753845215,8
SDE2,3.3702136874198914,9
ZC3H8,3.3637880086898804,9
MOV10,3.3425265848636627,9
DGKD,3.3392992317676544,9
ZNF445,3.305479258298874,8
TTK,3.2882446348667145,9
MTRR,3.2811419665813446,9
AP3S2,3.2534789443016052,8
TCF7,3.249946177005768,9
AARSD1,3.2123663127422333,7
SLC25A44,3.2014163732528687,9
ISG15,3.189646601676941,7
CDC37L1,3.188087910413742,9
HMMR,3.179093509912491,7
SP4,3.17757910490036,8
C1R,3.171565055847168,8
ZBTB17,3.157513439655304,8
AEBP2,3.130929112434387,8
ARFGAP2,3.1046896278858185,8
MSL2,3.0867021083831787,7
SACM1L,3.072937160730362,7
SPARCL1,3.071226567029953,7
CCNB1,3.039125382900238,7
DENND4C,3.030815452337265,8
TATDN2,3.029241979122162,8
BST2,3.024482101202011,7
NOP14,3.0040203034877777,8
TRIM8,3.000164955854416,8
NIFK-AS1,2.9745545089244843,7
ZNF138,2.9670355319976807,7
IFI27L2,2.9460760354995728,7
PIKFYVE,2.9448244273662567,8
ZZEF1,2.9376133382320404,7
SENP7,2.935055822134018,8
FBXW4,2.9344062209129333,7
AURKA,2.9223183691501617,6
IGFBP6,2.8807945549488068,8
RAB2B,2.877487927675247,7
COL6A1,2.8596698939800262,7
KDM6B,2.8413895070552826,8
VAMP4,2.827734887599945,7
BUB1,2.8266826570034027,6
ANKRD49,2.7982952296733856,7
HIPK1,2.776786297559738,7
ERCC6,2.7600288689136505,7
WDR20,2.7567240595817566,8
CASD1,2.755643278360367,7
DSP,2.7454336285591125,6
BMP1,2.743036985397339,7
TAPT1,2.7369780242443085,6
BIRC5,2.705977976322174,6
HIVEP1,2.6994470059871674,7
ASCC3,2.687161773443222,7
ORC2,2.662245273590088,7
C2CD3,2.6537290513515472,7
VCPIP1,2.622333824634552,7
