gene_a,gene_b,weight
CD48,PTPRC,0.8936036825180054
CDC20,AURKB,0.8305487036705017
MT-ND2,MT-CYB,0.8198953866958618
MT-ND2,MT-ATP6,0.8192031979560852
MT-CO2,MT-ND4,0.8025309443473816
CYR61,NNMT,0.763914167881012
CALD1,BGN,0.7586693167686462
MT-CO2,MT-CO1,0.7544381618499756
MARCH1,MPEG1,0.7514338493347168
KRT14,SERPINB5,0.7441244125366211
NUF2,TOP2A,0.743625819683075
ACOT7,NUDT19,0.7296264171600342
TOP2A,GTSE1,0.724423348903656
CDCA8,PLK1,0.7239487171173096
MBD5,ZNF226,0.7222565412521362
ARID5A,CSRNP1,0.7203909158706665
TMEM47,EHD2,0.7087424397468567
GTSE1,FOXM1,0.7083368897438049
KRT14,SAA1,0.7074533700942993
MT-CYB,MT-ATP6,0.7003755569458008
WDR27,TUBGCP5,0.6938862800598145
SPRTN,ANKRD49,0.6887931227684021
CDK1,CDKN3,0.688184380531311
ANKRD49,CDC40,0.6822806596755981
AAK1,ZNF263,0.6793229579925537
MT-CYB,MT-ND4,0.6759952306747437
PGGT1B,TRIM13,0.6757413148880005
NNMT,CALD1,0.6739986538887024
OTUD4,MKLN1,0.6716118454933167
KRT14,KRT5,0.6684850454330444
TOP2A,CEP55,0.6680278182029724
MPEG1,LILRB4,0.6675972938537598
NUF2,GTSE1,0.6674718260765076
AKAP10,CTNNBL1,0.6673731803894043
BNIP1,MAPK9,0.6648141145706177
RRP8,MICU2,0.6644967198371887
MT-ND4,MT-CO1,0.6605924963951111
ZFC3H1,ARID4A,0.6596934199333191
OPA1,ZW10,0.6576073169708252
ZNF226,CENPT,0.6567264795303345
RPRD2,C15orf40,0.6560356616973877
NUSAP1,AURKA,0.6540696024894714
CNN3,S100A16,0.6527412533760071
KRT17,FXYD3,0.6503270268440247
SPEN,NIPBL,0.6491406559944153
RICTOR,PPWD1,0.6486758589744568
FBXO38,TRIM41,0.6453344225883484
ZCCHC9,MRPL10,0.6444892287254333
BAMBI,CLDN7,0.6431068778038025
S100A9,S100A8,0.6416459679603577
DPYSL3,LAMA4,0.6414883732795715
C15orf40,CTR9,0.640884280204773
EED,NPAT,0.6402561068534851
RPAP2,RNF113A,0.6394410133361816
S100PBP,TTC14,0.6392368078231812
CHD8,HELZ,0.637239396572113
KRT14,KRT17,0.6367244720458984
SAA1,KRT17,0.6344404220581055
COL1A2,PCOLCE,0.6341751217842102
UACA,CAVIN1,0.6333515644073486
ARHGAP29,MAGI1,0.633112907409668
KIDINS220,BTBD7,0.6288238167762756
RAI14,UNC5B,0.6281635761260986
UBR3,IPO8,0.6274102330207825
SAA2,SOX9,0.6273455023765564
UTRN,CDK17,0.6267310976982117
MT-ND2,MT-ND4,0.6267146468162537
TRMT2B,PLXNA3,0.6257632374763489
CSRNP1,TLE4,0.625195324420929
MTREX,CERS5,0.6210261583328247
RRM2,MKI67,0.6193361282348633
CTNNB1,BEX3,0.6192934513092041
RPRD2,CCDC174,0.6185452342033386
SLC25A53,GGACT,0.6165004968643188
CYR61,CALD1,0.6155720949172974
TOP2A,FOXM1,0.615479588508606
C15orf40,ZMYM5,0.6154724359512329
C15orf40,ETFRF1,0.6132673025131226
MKLN1,FTX,0.6126611232757568
MAGI1,PTPRK,0.6116626858711243
SERPINB5,SAA1,0.6114329695701599
CTR9,PHYKPL,0.6108441948890686
MT-ATP6,MT-ND4,0.6097573041915894
NUF2,CEP55,0.6097255945205688
ANKRD52,MED11,0.6075407266616821
CNN3,CTTN,0.6071614623069763
PGGT1B,GAK,0.6048869490623474
MS4A4A,CCL18,0.6039780974388123
LRCH3,PACS1,0.6036816835403442
FXYD3,ELF3,0.6029765009880066
ARID5A,TLE4,0.6021786332130432
SERPINB5,S100A2,0.6017656922340393
NPAT,LYRM7,0.6006982326507568
GAK,TAB2,0.6006566882133484
SPARC,COL6A2,0.5973621606826782
POM121,RBM28,0.5957424640655518
BSDC1,SH2B1,0.5950111746788025
MICU2,CABIN1,0.5945545434951782
FLVCR1,C22orf46,0.5940917134284973
OTULIN,USP42,0.5936807990074158
GTSE1,CEP55,0.5921274423599243
SART3,SUGP1,0.592024564743042
ZMYM5,ANKRA2,0.5906871557235718
MIA3,BDP1,0.5892862677574158
SFN,WFDC2,0.5890356302261353
S100A16,CTTN,0.5884673595428467
PPP2R5A,ZFYVE27,0.5877179503440857
PAG1,ADCY7,0.5873550772666931
GBF1,COG4,0.5871954560279846
ANKZF1,NCOA2,0.586147129535675
MKLN1,ZSWIM8,0.5856600403785706
SMARCD1,DHRS7B,0.5848978757858276
SERPINB5,KRT17,0.584827721118927
ZNF226,CYP20A1,0.5845209360122681
RRP8,CYLD,0.5840179324150085
MKLN1,KIDINS220,0.5839260816574097
TLK1,KRR1,0.5831845998764038
TRIM13,ZMYM5,0.5827904939651489
CCNT1,ZNF493,0.5824105739593506
UBE4B,ORC2,0.5819926857948303
ANKRD52,PIK3R4,0.5817949175834656
FERMT3,FMNL1,0.5811713337898254
CTNNBL1,PACS1,0.5777080059051514
KANSL3,FLYWCH1,0.5765231847763062
CSAD,INPP5K,0.5754196643829346
DMTF1,NCOA5,0.5752394795417786
PCID2,CFAP20,0.5743480324745178
RAP2C,FBXL3,0.5738195776939392
HIVEP3,SGF29,0.5732783079147339
EXOSC6,THOC1,0.5729302167892456
CAMTA2,PITPNC1,0.5725879669189453
MAPK9,ZNRF2,0.5724805593490601
EED,KAT6B,0.5721045732498169
PWWP2A,ZBTB24,0.5713850855827332
NUF2,FOXM1,0.5706332325935364
SMARCD1,SHPRH,0.5699714422225952
MT-ATP6,MT-ND1,0.5695858001708984
C15orf40,ZNF277,0.5694569945335388
ZFYVE27,ANKZF1,0.5690469145774841
ZNF281,FBRS,0.568554162979126
NIPBL,R3HDM2,0.568077802658081
CCDC174,ZMYM5,0.5679245591163635
BNIP1,WDR47,0.5666882991790771
BTBD7,ELF2,0.5663769841194153
TACSTD2,CLDN4,0.5663436651229858
MBD5,ESCO1,0.5648247599601746
SAA1,SFN,0.5643541812896729
MED11,PIK3R4,0.5632807016372681
MED7,NIN,0.5631090402603149
CCNT1,NIN,0.5630371570587158
DNMT3A,CCDC6,0.5629432201385498
ZNF263,R3HDM2,0.5606365203857422
NIN,MDFIC,0.5602991580963135
LAMC1,FSTL1,0.5600823163986206
LAPTM5,SRGN,0.5598689317703247
MIA3,DNAJB14,0.5589980483055115
RICTOR,ZNF688,0.5583360195159912
ZNF263,ETFRF1,0.5581701993942261
ELF3,KRT8,0.557951033115387
NPAT,KAT6B,0.5576894879341125
CCDC174,NAB1,0.5575597882270813
MBD5,CENPT,0.5569551587104797
ETFRF1,CLOCK,0.5569410920143127
HELZ,CDK12,0.5562271475791931
STK17B,AKNA,0.5557640194892883
COL1A2,DCN,0.5554172396659851
CCNT1,MED7,0.5541884303092957
SH2B1,ST7L,0.5540795922279358
C5orf46,FBLN1,0.5530097484588623
KIDINS220,ELF2,0.5519259572029114
CTR9,DMTF1,0.5518412590026855
FOXM1,CEP55,0.5500123500823975
OXCT1,PLEKHF1,0.5494579672813416
ZNF263,CCDC174,0.5490794777870178
RBM15,EP400,0.5490598678588867
ASB3,KRI1,0.5489199757575989
TBC1D2B,ZNF529,0.5484440922737122
LAMA4,UNC5B,0.547825276851654
ATAD2,CHEK1,0.5474791526794434
KRT17,SFN,0.5470961928367615
ATP1B1,SDC4,0.546684980392456
INPP5K,TBC1D17,0.5462760925292969
ATP6V0A2,NLRC5,0.546147882938385
ZMYM5,ATXN2L,0.5461066365242004
CDC20,CDKN3,0.5456910729408264
DZIP3,DDX60,0.5454306602478027
CTNNBL1,NBPF19,0.5451696515083313
C15orf40,DMTF1,0.5451642870903015
HBS1L,DIP2A,0.5447849631309509
PGGT1B,CTR9,0.5442529916763306
LIPT1,HINFP,0.5439460277557373
UBL3,LASP1,0.5437565445899963
KRT5,SFN,0.5434439182281494
CCDC174,CEP350,0.5430573225021362
SH2B1,SEC22A,0.5430566668510437
NEU1,DDIT3,0.5430543422698975
LRCH3,PAN3,0.543035626411438
FTX,CLASP1,0.5423632860183716
SAA1,FXYD3,0.5421576499938965
IL6ST,ELK3,0.5419857501983643
LST1,TYROBP,0.5413768291473389
MT-CYB,MT-CO2,0.5407705903053284
NIPBL,CEP350,0.540757954120636
C15orf40,CCDC174,0.5405449271202087
LSP1,ITGB2,0.5401025414466858
NCOA2,MAPKAPK5-AS1,0.5400351881980896
BTBD7,ZSWIM8,0.5399398803710938
CCDC174,CCDC117,0.5399073958396912
BTBD10,FAM76B,0.5399067401885986
ZCCHC9,PACS1,0.5398327112197876
SLC35A3,PREPL,0.5397308468818665
ANKRD49,TTC39C,0.5392556190490723
BTBD7,SAMD8,0.5388158559799194
RPRD2,ZMYM5,0.538241446018219
SAA1,SAA2,0.5380231142044067
FTX,SLC39A10,0.538020133972168
AKAP10,NBPF19,0.5378597378730774
INPP5K,ZNF277,0.5378553867340088
AQR,HERC1,0.5368289351463318
STMN1,MCM3,0.5365939140319824
CTNNBL1,ZCCHC9,0.5364722013473511
TAOK1,MED13,0.5359041094779968
FST,GAS1,0.5358675122261047
MALL,TM4SF18,0.5354933142662048
CHD8,CDK12,0.5354350209236145
PLXNA3,CCDC159,0.5354323983192444
AGFG1,OGG1,0.535245418548584
C15orf40,ANKRA2,0.5346834659576416
TRIM13,C15orf40,0.5339207649230957
SAMD8,SNX9,0.5335797071456909
CDK12,LNPEP,0.533394992351532
ZCCHC9,FAM217B,0.5331847071647644
KIDINS220,ZSWIM8,0.5327228307723999
NAA30,CPSF2,0.5324148535728455
CHEK1,CENPF,0.53139728307724
SERPINB5,SFN,0.5309953093528748
CCDC174,CEBPZ,0.5309809446334839
CCL18,OLR1,0.5307732224464417
MKLN1,BTBD7,0.5304010510444641
LAMA4,RAI14,0.5303941965103149
ELF3,WFDC2,0.5302232503890991
AQR,STK40,0.530180811882019
CHD8,ZSWIM8,0.5301263928413391
EXOG,POC5,0.5297598838806152
TOR1AIP1,PPIL4,0.529388427734375
RPAP2,USP42,0.5293232798576355
NNMT,BGN,0.5290689468383789
BSDC1,TLK1,0.5289823412895203
TULP4,PAXBP1,0.5288775563240051
