gene,weighted_degree,degree
C15orf40,17.40795198082924,38
MKLN1,16.70788151025772,39
CCDC174,15.842236965894699,35
RPRD2,15.41662535071373,35
ETFRF1,14.774388611316681,34
NIPBL,14.565311670303345,33
R3HDM2,13.677126467227936,33
ZMYM5,13.363848805427551,30
TRIM13,11.876694679260254,27
ANKRA2,11.562998980283737,28
CTR9,11.275264203548431,26
ZNF277,11.247480124235153,26
DDX23,10.953370809555054,26
CEP350,10.32009145617485,24
NAB1,10.092673361301422,24
ZNF263,9.83099153637886,22
PGGT1B,9.415355294942856,22
KIDINS220,8.88624420762062,20
SAA1,8.551844269037247,17
SPEN,8.429438650608063,20
USP42,8.395215839147568,19
DMTF1,8.064577668905258,19
FAM76B,8.044540911912918,20
AAK1,7.987103164196014,19
ELF2,7.680002391338348,18
ATXN2L,7.601976364850998,18
FTX,7.5455988347530365,18
INPP5K,7.505209267139435,17
BTBD7,7.247401148080826,16
PACS1,7.213040858507156,16
ELAC2,7.148482531309128,18
BSDC1,7.0349041223526,17
LTV1,6.96001011133194,17
OTUD4,6.938766926527023,16
GAK,6.836173087358475,16
BTBD10,6.692741364240646,16
NUDCD3,6.636858552694321,16
CHD8,6.52338233590126,15
OTULIN,6.468146204948425,15
FBXL3,6.411079436540604,16
SERPINB5,6.393188834190369,13
RFX1,6.361939251422882,16
TBC1D17,6.218685984611511,14
UHRF2,6.0168770253658295,15
KPNA3,5.958417236804962,15
COG4,5.957358479499817,14
AKAP10,5.947241187095642,13
CALD1,5.891078412532806,12
HELZ,5.84357276558876,13
TLK1,5.831525921821594,14
SFN,5.7937770783901215,12
WHAMM,5.759644389152527,14
DNAJB14,5.734203338623047,13
MRPL10,5.711681395769119,12
WDR75,5.685726225376129,14
CDK12,5.683127194643021,13
CTNNBL1,5.669809818267822,12
PPP2R5A,5.668235570192337,13
RPAP2,5.596297323703766,13
TOR1AIP1,5.568497806787491,14
ZC3H8,5.461610168218613,14
ZSWIM8,5.4609644412994385,12
CNN3,5.460414081811905,12
WFDC2,5.399477899074554,12
KRT17,5.332130402326584,10
PHYKPL,5.202682554721832,12
DHRS7B,5.1394400000572205,13
ZCCHC9,5.12785404920578,11
LETM1,5.104968339204788,12
GTSE1,5.090997904539108,10
DPP8,5.01146012544632,13
PLXNA3,5.008878797292709,12
KRT14,5.006498038768768,9
TOP2A,4.916902929544449,9
CEP55,4.887102842330933,10
PREPL,4.844145804643631,12
NCOA5,4.8410384356975555,12
ZNF91,4.831695705652237,12
ZFYVE27,4.797864347696304,10
LRCH3,4.7946619391441345,11
FAM172A,4.76434263586998,12
RNF113A,4.730526506900787,11
RICTOR,4.705050677061081,10
ECSIT,4.695138871669769,12
CNOT3,4.680799692869186,11
S100A14,4.652621567249298,11
ABTB1,4.625894278287888,11
ELF3,4.617514938116074,10
AHR,4.615300506353378,12
C19orf25,4.614981234073639,11
NUF2,4.587702989578247,9
ABCD4,4.580721437931061,11
ZNF160,4.579777359962463,11
MKI67,4.56626957654953,10
EXOSC6,4.555984020233154,11
CYP20A1,4.499719649553299,10
ASB3,4.499251544475555,10
MBD5,4.491525620222092,9
BGN,4.418365657329559,10
SIN3A,4.384846866130829,10
ARID5A,4.377471357584,10
