condition,source_conditions,selected_power,community_id,n_nodes,n_internal_edges,mean_internal_edge_weight,top_hub_genes,top_hub_1,top_hub_2,top_hub_3
ER_tumor,,20,1,114,261,0.15315748148836852,BBX | NUDCD3 | EIF2S1,BBX,NUDCD3,EIF2S1
ER_tumor,,20,2,66,138,0.1545896828714488,POGZ | PFDN1 | PKN2,POGZ,PFDN1,PKN2
ER_tumor,,20,3,64,96,0.1483737858167539,GATAD1 | SPIN1 | TMOD3,GATAD1,SPIN1,TMOD3
ER_tumor,,20,4,57,117,0.15563766129760662,KIAA1217 | TJP1 | EFCAB14,KIAA1217,TJP1,EFCAB14
ER_tumor,,20,5,46,66,0.1389278113616235,RYK | CHD3 | SLK,RYK,CHD3,SLK
ER_tumor,,20,6,45,149,0.17883965958084835,PPP2R2A | BDP1 | ACAP2,PPP2R2A,BDP1,ACAP2
ER_tumor,,20,7,45,199,0.1647185680255219,ZNF207 | IAH1 | MED10,ZNF207,IAH1,MED10
ER_tumor,,20,8,37,55,0.15275430449030614,DNAJA2 | CNIH1 | EBLN3P,DNAJA2,CNIH1,EBLN3P
ER_tumor,,20,9,37,114,0.1514340950208798,SRRM1 | SYF2 | DHX36,SRRM1,SYF2,DHX36
ER_tumor,,20,10,34,106,0.15727257637201614,HNRNPR | EMC10 | MARCH6,HNRNPR,EMC10,MARCH6
ER_tumor,,20,11,32,90,0.1416884692178832,ZC3H13 | ACTN4 | CEBPZ,ZC3H13,ACTN4,CEBPZ
ER_tumor,,20,12,31,51,0.15231336507142756,CELF1 | TNRC6B | PPP2R5E,CELF1,TNRC6B,PPP2R5E
ER_tumor,,20,13,30,47,0.1675731620572983,GGNBP2 | NUFIP2 | GLYR1,GGNBP2,NUFIP2,GLYR1
ER_tumor,,20,14,28,36,0.14600642439391875,PNISR | DDX17 | SCAF11,PNISR,DDX17,SCAF11
ER_tumor,,20,15,25,58,0.1527847686204417,TERF2IP | PPP6C | NKAP,TERF2IP,PPP6C,NKAP
ER_tumor,,20,16,21,27,0.1551032604442702,PHF20 | RBM26 | SLBP,PHF20,RBM26,SLBP
ER_tumor,,20,17,15,17,0.1468858004492872,HADHA | ARPC4 | R3HDM2,HADHA,ARPC4,R3HDM2
ER_tumor,,20,18,14,16,0.14896000642329452,ANXA7 | NEMF | CD47,ANXA7,NEMF,CD47
ER_tumor,,20,19,12,20,0.15473196096718309,LRPAP1 | DNAJC15 | TTC1,LRPAP1,DNAJC15,TTC1
ER_tumor,,20,20,10,10,0.1487367272377014,SPPL3 | SMARCC2 | PRKAR1A,SPPL3,SMARCC2,PRKAR1A
ER_tumor,,20,21,9,13,0.15545579676444715,PSMD11 | GLUD1 | YAF2,PSMD11,GLUD1,YAF2
ER_tumor,,20,22,9,9,0.15658695250749585,SDF4 | POLR3GL | FGFR1OP2,SDF4,POLR3GL,FGFR1OP2
ER_tumor,,20,23,8,11,0.20935919135808945,HLA-B | HLA-A | B2M,HLA-B,HLA-A,B2M
ER_tumor,,20,24,8,7,0.12841674791915075,PPAN | PMM1 | ZBTB43,PPAN,PMM1,ZBTB43
ER_tumor,,20,25,8,8,0.16281769145280117,ALKBH5 | SAMM50 | TINF2,ALKBH5,SAMM50,TINF2
ER_tumor,,20,26,7,8,0.18251178227365014,SELENOS | SSR4 | FKBP2,SELENOS,SSR4,FKBP2
ER_tumor,,20,27,6,7,0.15294864880187165,PNN | SNX6 | IMMT,PNN,SNX6,IMMT
ER_tumor,,20,28,6,5,0.14053900539875025,TRIM56 | NSRP1 | MAPK6,TRIM56,NSRP1,MAPK6
ER_tumor,,20,29,6,6,0.1337699530025323,C9orf16 | CCDC12 | SPAG7,C9orf16,CCDC12,SPAG7
ER_tumor,,20,30,6,5,0.11927495151758187,CYB5R3 | ITGB1 | ROCK1,CYB5R3,ITGB1,ROCK1
ER_tumor,,20,31,5,6,0.14856930822134015,ANAPC5 | PAFAH1B1 | ATP6AP2,ANAPC5,PAFAH1B1,ATP6AP2
ER_tumor,,20,32,5,8,0.1268443381413817,GRN | CTSZ | PSAP,GRN,CTSZ,PSAP
ER_tumor,,20,33,5,4,0.14333340525627133,CCNL2 | REST | NFE2L1,CCNL2,REST,NFE2L1
ER_tumor,,20,34,5,5,0.19315342307090752,KRAS | TIAL1 | GYG1,KRAS,TIAL1,GYG1
ER_tumor,,20,35,5,4,0.10552983731031415,NUBP1 | COPS4 | SNRNP35,NUBP1,COPS4,SNRNP35
ER_tumor,,20,36,5,6,0.22063458462556199,TAGLN | CALD1 | MYL9,TAGLN,CALD1,MYL9
ER_tumor,,20,37,5,4,0.15102051757276055,KPNB1 | METTL23 | AIMP1,KPNB1,METTL23,AIMP1
ER_tumor,,20,38,4,4,0.26609276980161667,KRT19 | KRT8 | KRT18,KRT19,KRT8,KRT18
ER_tumor,,20,39,4,4,0.18264443427324295,ILF3 | TAF15 | FBXW5,ILF3,TAF15,FBXW5
ER_tumor,,20,40,4,4,0.21101431176066396,MT-ATP6 | MT-ND4 | MT-CYB,MT-ATP6,MT-ND4,MT-CYB
ER_tumor,,20,41,4,3,0.15489647289117178,FBXL5 | WDR11 | SMG1,FBXL5,WDR11,SMG1
ER_tumor,,20,42,4,3,0.14513305326302842,MED28 | RSBN1 | CARHSP1,MED28,RSBN1,CARHSP1
ER_tumor,,20,43,4,3,0.12618314723173774,EWSR1 | ABHD17A | SVBP,EWSR1,ABHD17A,SVBP
ER_tumor,,20,44,4,3,0.1301725457111994,CHURC1 | CTNNA1 | TRIM33,CHURC1,CTNNA1,TRIM33
ER_tumor,,20,45,4,3,0.1386682142814,ARHGAP1 | MAP4 | CD276,ARHGAP1,MAP4,CD276
ER_tumor,,20,46,4,5,0.11237563639879225,YWHAH | CAP1 | ACTR3,YWHAH,CAP1,ACTR3
ER_tumor,,20,47,3,2,0.23579243198037145,MYH9 | PTTG1IP | ACTN1,MYH9,PTTG1IP,ACTN1
ER_tumor,,20,48,3,3,0.1962716182072957,PRPF40A | PSMC1 | CNPPD1,PRPF40A,PSMC1,CNPPD1
ER_tumor,,20,49,3,3,0.18689058224360142,STAT6 | SERINC5 | SLC11A2,STAT6,SERINC5,SLC11A2
ER_tumor,,20,50,3,2,0.16308505833148956,CASC4 | UBTF | NRBF2,CASC4,UBTF,NRBF2
ER_tumor,,20,51,3,3,0.14796156684557593,ZFP36 | JUNB | FOS,ZFP36,JUNB,FOS
ER_tumor,,20,52,3,2,0.16357667744159693,RPN1 | USO1 | CHCHD10,RPN1,USO1,CHCHD10
ER_tumor,,20,53,3,2,0.15904970094561577,NISCH | CUL4A | MAU2,NISCH,CUL4A,MAU2
ER_tumor,,20,54,3,2,0.1470858864486217,RPUSD3 | DHX30 | ACOT8,RPUSD3,DHX30,ACOT8
ER_tumor,,20,55,3,3,0.12845488389333085,PURA | MED13L | C1orf52,PURA,MED13L,C1orf52
ER_tumor,,20,56,3,2,0.1420131921768188,S100A4 | VIM | SH3BGRL3,S100A4,VIM,SH3BGRL3
ER_tumor,,20,57,3,2,0.13784422352910036,CD164 | BZW1 | ARF6,CD164,BZW1,ARF6
ER_tumor,,20,58,3,2,0.1496544033288955,XPC | MTAP | SHC1,XPC,MTAP,SHC1
ER_tumor,,20,59,3,3,0.13918229937553403,MAP1LC3B | CLK1 | PPP1R2,MAP1LC3B,CLK1,PPP1R2
ER_tumor,,20,60,3,2,0.12563302367925638,RNF13 | DICER1 | NAMPT,RNF13,DICER1,NAMPT
ER_tumor,,20,61,3,2,0.16005096584558487,HSPA1A | DNAJB1 | HSPA1B,HSPA1A,DNAJB1,HSPA1B
ER_tumor,,20,62,3,2,0.1282495930790901,URM1 | HEXA | NCSTN,URM1,HEXA,NCSTN
ER_tumor,,20,63,3,2,0.12732753530144686,MLLT6 | TSC2 | APTX,MLLT6,TSC2,APTX
ER_tumor,,20,64,3,2,0.1329756379127502,CYCS | PSMA4 | NOP58,CYCS,PSMA4,NOP58
ER_tumor,,20,65,3,2,0.128120582550764,ADD1 | CLSTN1 | ARL2,ADD1,CLSTN1,ARL2
ER_tumor,,20,66,3,2,0.12187964096665374,COMMD3 | UBE2L6 | SIL1,COMMD3,UBE2L6,SIL1
ER_tumor,,20,67,3,2,0.1239714138209819,ARIH2 | SAFB | JPX,ARIH2,SAFB,JPX
ER_tumor,,20,68,3,2,0.11447991430759424,CD2AP | RANBP9 | CDK5RAP1,CD2AP,RANBP9,CDK5RAP1
ER_tumor,,20,69,3,2,0.11303232610225669,RBM4 | UPF3B | COQ7,RBM4,UPF3B,COQ7
ER_tumor,,20,70,3,2,0.11257578805088994,PSMD12 | UBAP2 | CENPT,PSMD12,UBAP2,CENPT
ER_tumor,,20,71,3,2,0.12505306303501124,ERLEC1 | RRBP1 | SEC61A1,ERLEC1,RRBP1,SEC61A1
ER_tumor,,20,72,3,2,0.11191477626562116,AKAP13 | CREBRF | PBXIP1,AKAP13,CREBRF,PBXIP1
