condition,gene_a,gene_b,weight
ER_tumor,TMEM176B,TMEM176A,0.6863982677459717
ER_tumor,HLA-A,HLA-B,0.4493292570114136
ER_tumor,EFCAB14,PRRC2B,0.4468485116958618
ER_tumor,WDR43,LUC7L2,0.4291330873966217
ER_tumor,IAH1,MED10,0.4137957096099853
ER_tumor,ATG12,GGNBP2,0.4097772240638733
ER_tumor,ZC3H6,USP47,0.4093198180198669
ER_tumor,BDP1,PPP2R2A,0.4026036858558655
ER_tumor,PPP2R2A,AGO3,0.4014855921268463
ER_tumor,CALD1,TAGLN,0.3878470361232757
ER_tumor,ZNRD1,LSM8,0.3862110674381256
ER_tumor,SCNM1,DKC1,0.3679917156696319
ER_tumor,MRPS5,FAM204A,0.3665881752967834
ER_tumor,IAH1,ZNF207,0.3643475472927093
ER_tumor,HNRNPR,TPR,0.3638209700584411
ER_tumor,KRT18,KRT19,0.3625227808952331
ER_tumor,KRT19,KRT8,0.3601629436016083
ER_tumor,ZFX,XIAP,0.359365165233612
ER_tumor,TLK1,TCTN3,0.3580394089221954
ER_tumor,USP47,TLK1,0.3563385903835296
ER_tumor,PTPN12,IL13RA1,0.3562299013137817
ER_tumor,TAF15,ILF3,0.3532137870788574
ER_tumor,MYH9,PTTG1IP,0.3525676429271698
ER_tumor,HNRNPR,MARCH6,0.3497369289398193
ER_tumor,ARID1B,CDK12,0.3434767723083496
ER_tumor,SRRM1,NASP,0.3425396084785461
ER_tumor,SRRM1,SYF2,0.3409512937068939
ER_tumor,PPP2R2A,RBM6,0.332114428281784
ER_tumor,APBB2,NR2F2,0.3312488794326782
ER_tumor,RAB21,RDH11,0.3301204442977905
ER_tumor,WDR43,GON4L,0.3274821043014526
ER_tumor,KIAA1217,TJP1,0.3271532654762268
ER_tumor,ZC3H6,TRAPPC2,0.3263537287712097
ER_tumor,SSR4,SELENOS,0.3255597054958343
ER_tumor,LUC7L2,GON4L,0.3254076540470123
ER_tumor,HNRNPR,EMC10,0.3231612145900726
ER_tumor,USP47,TRAPPC2,0.3218676447868347
ER_tumor,FAM204A,SYNCRIP,0.3206465542316437
ER_tumor,SUPT16H,GMFB,0.3199588060379028
ER_tumor,IAH1,RAB6A,0.3197067379951477
ER_tumor,SRRM1,MRPL54,0.3161406219005584
ER_tumor,NUDCD3,ZADH2,0.3138866126537323
ER_tumor,MCL1,PPP1R10,0.3116537630558014
ER_tumor,SDHA,C21orf2,0.3093128204345703
ER_tumor,SETD5,PFDN1,0.308837890625
ER_tumor,DYNC1I2,ACTN4,0.308510273694992
ER_tumor,TAF1D,TERF2IP,0.3081023395061493
ER_tumor,PKN2,POGZ,0.3071638941764831
ER_tumor,EFCAB14,CCNY,0.3058047294616699
ER_tumor,CDK12,UBE2G2,0.3049620389938354
ER_tumor,PPP2R2A,RNF115,0.3046759366989136
ER_tumor,ZNF207,MCL1,0.3041421473026275
ER_tumor,RBM26,SUZ12,0.3041054010391235
ER_tumor,SRPRB,SSR3,0.3030789792537689
ER_tumor,PFDN1,PWP1,0.3022382855415344
ER_tumor,USP47,TCTN3,0.3021529912948608
ER_tumor,ZRANB2,EBLN3P,0.3021397888660431
ER_tumor,RAB6A,UBE2H,0.3017908632755279
ER_tumor,PRPF40A,PSMC1,0.3016090989112854
ER_tumor,LSM8,NSUN5,0.3015562295913696
ER_tumor,C1orf123,RBMX2,0.3006114363670349
ER_tumor,JAK1,ACAP2,0.3003270924091339
ER_tumor,LNPEP,TNKS2,0.3002757728099823
ER_tumor,KDM1A,SCAF4,0.2981746792793274
ER_tumor,LRPPRC,CCAR1,0.2980725467205047
