condition,gene,weighted_degree,degree
ER_tumor,ZNF207,5.388654604554176,29
ER_tumor,IAH1,5.178286954760552,28
ER_tumor,PPP2R2A,4.924919426441193,25
ER_tumor,SRRM1,4.3268396109342575,23
ER_tumor,MED10,3.870035119354725,23
ER_tumor,BDP1,3.615932740271092,20
ER_tumor,ARMCX3,3.600355513393879,20
ER_tumor,USP9X,3.499222911894321,19
ER_tumor,RAB6A,3.475695885717869,20
ER_tumor,BBX,3.4643785059452057,24
ER_tumor,HNRNPR,3.406985566020012,17
ER_tumor,KDM5A,3.374337449669838,21
ER_tumor,ACAP2,3.327929101884365,18
ER_tumor,AGO3,3.2770870327949524,15
ER_tumor,CCAR1,3.0444240123033524,16
ER_tumor,LSM8,3.033317483961582,16
ER_tumor,ZNRD1,3.0034212172031403,15
ER_tumor,MCL1,2.9534673765301704,16
ER_tumor,SYF2,2.9266294315457344,20
ER_tumor,EMC10,2.8531306087970734,15
ER_tumor,ANKRD10,2.8101432099938397,19
ER_tumor,RNF115,2.7776728868484497,14
ER_tumor,IFT20,2.728309653699398,17
ER_tumor,GOPC,2.705106668174267,17
ER_tumor,NUDCD3,2.6433071568608284,16
ER_tumor,KIAA1217,2.63692568987608,17
ER_tumor,TM2D3,2.631626337766648,15
ER_tumor,EIF2S1,2.616822011768818,17
ER_tumor,RBM6,2.59875936806202,14
ER_tumor,LUC7L2,2.5664516761898994,14
ER_tumor,JAK1,2.562496155500412,15
ER_tumor,PHIP,2.522139683365822,16
ER_tumor,RAB21,2.5124916657805443,18
ER_tumor,DHX36,2.5061554685235023,14
ER_tumor,POGZ,2.481187388300896,15
ER_tumor,PRPF4B,2.3652133494615555,16
ER_tumor,WDR43,2.361152715981006,12
ER_tumor,USP47,2.351928129792213,10
ER_tumor,MARCH6,2.25337366014719,13
ER_tumor,PPP1R10,2.2420666441321373,14
ER_tumor,INTS11,2.2340596690773964,14
ER_tumor,TJP1,2.2189198061823845,13
ER_tumor,TERF2IP,2.2141188755631447,14
ER_tumor,USP34,2.2085492461919785,14
ER_tumor,EFCAB14,2.205711103975773,12
ER_tumor,ORMDL1,2.1971834748983383,16
ER_tumor,PFDN1,2.1965874284505844,13
ER_tumor,TPR,2.1602191478013992,13
ER_tumor,TLK1,2.1398266181349754,11
ER_tumor,VGLL4,2.109547480940819,15
ER_tumor,SHOC2,2.1057013422250748,13
ER_tumor,LRPPRC,2.105619341135025,11
ER_tumor,DKC1,2.1038710102438927,12
ER_tumor,PKN2,2.0317656323313718,13
ER_tumor,TCTN3,2.016032449901104,10
ER_tumor,UBE2H,2.007870852947235,12
ER_tumor,C16orf72,2.002178743481636,13
ER_tumor,GIGYF2,1.9957487359642985,15
ER_tumor,ARID1B,1.9913449957966805,11
ER_tumor,RYK,1.9844147711992264,14
ER_tumor,FRG1,1.968055374920368,14
ER_tumor,IWS1,1.94828100502491,15
ER_tumor,CHD3,1.946907065808773,12
ER_tumor,SETD5,1.935995951294899,12
ER_tumor,C22orf39,1.9340756237506864,11
ER_tumor,SECISBP2,1.9101014211773872,12
ER_tumor,GON4L,1.8954923674464224,10
ER_tumor,SMARCB1,1.8702127784490583,11
ER_tumor,ZNF518A,1.8570179790258408,12
ER_tumor,CELF1,1.8503339812159536,13
ER_tumor,YME1L1,1.8463620990514755,13
ER_tumor,NSUN5,1.8133520036935808,10
ER_tumor,TM2D1,1.799733281135559,12
ER_tumor,ZC3H13,1.791859783232212,12
ER_tumor,PPP6C,1.7838099896907806,11
ER_tumor,NKTR,1.7823380455374718,11
ER_tumor,NKAP,1.7771783843636513,12
ER_tumor,ACTN4,1.7614604011178017,11
ER_tumor,CEBPZ,1.7576962187886238,12
ER_tumor,PPP3CB,1.7214080840349195,12
ER_tumor,ZC3H6,1.7194522321224213,7
ER_tumor,MRPL54,1.7147347778081894,12
ER_tumor,NCOA2,1.695365123450756,13
ER_tumor,ATRX,1.693969376385212,12
ER_tumor,LEPROT,1.6865021958947182,11
ER_tumor,SUPT16H,1.6561048477888107,10
ER_tumor,BCLAF1,1.6509189531207085,10
ER_tumor,SDHA,1.650507166981697,9
ER_tumor,RNMT,1.640302188694477,9
ER_tumor,GGNBP2,1.6269275173544884,9
ER_tumor,NRDE2,1.626141794025898,11
ER_tumor,TRAPPC2,1.6141087859869003,7
ER_tumor,AQR,1.6107611656188965,11
ER_tumor,TMEM30A,1.5992750152945518,11
ER_tumor,PRRC2B,1.576622486114502,8
ER_tumor,PWP1,1.573023997247219,10
ER_tumor,ELF2,1.568474963307381,10
ER_tumor,GATAD1,1.5653537213802338,10
ER_tumor,SPIN1,1.5605672970414162,11
ER_tumor,PHF20,1.5536538362503052,10
ER_tumor,UBE2G2,1.5515286847949028,9
ER_tumor,SNRNP40,1.5352048054337502,12
ER_tumor,YPEL5,1.5313699766993525,10
ER_tumor,TAF7,1.5306097567081451,10
ER_tumor,TMED7,1.5098560974001884,10
ER_tumor,DNAJA2,1.4905568063259125,10
